Old French	Old French	probability
ˈɛ_s	j	1.0
ˈỹ_j	ˈœ̃	1.0
ˈỹ	-	1.0
ˈũ_n	ˈɔ̃	1.0
ˈu_t	ˈɔ	1.0
ˈu_r	ˈuː	1.0
ˈo	ˈoː	1.0
ˈi_r	ˈi	1.0
ˈi_l	ˈɛ_j	1.0
ˈẽ_n	ˈɛ̃	1.0
ˈe_w	ˈøː	1.0
ˈe_r	ˈe	1.0
ˈã_n	ˈɑ̃	1.0
ˈã_j	ˈɛ̃	1.0
ˈa_w	ˈoː	1.0
ʧ	ʧ	1.0
ʦ_#>	#>	1.0
ʦ	s	1.0
ʤ_ə	ʧ	1.0
ʎ_ə	j	1.0
ʎ_#>	#>	1.0
ʎ	j	1.0
ɲ	ɲ	1.0
ɛ	-	1.0
ə_ˈy	ˈøː	1.0
ə_v	f	1.0
ə_r	ɛ_ʀ	1.0
ə_n	ɲː	1.0
ə_#>	#>	1.0
ŋ	-	1.0
y	-	1.0
w_ˈɛ	ˈuː	1.0
w_ˈa	w_ˈa	1.0
v_ə	v	1.0
v_r_ə_#>	f_#>	1.0
ũ	ɔ̃	1.0
t_ə	ˈɛ_s	1.0
t_r	t	1.0
s_ʧ	ʃ	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
r_t	ˈa_ʀ	1.0
r_#>	#>	1.0
o	-	1.0
n_t_#>	#>	1.0
l_ə	j	1.0
l	l	1.0
k	k	1.0
j_ˈɛ	ˈiː	1.0
j_ˈẽ	ˈẽ	1.0
j_ˈe	ˈiː	1.0
j_ə	j	1.0
j_t_#>	#>	1.0
j_t	ˈɛ	1.0
j_r	ʀ	1.0
ĩ	ẽ	1.0
i	-	1.0
f_#>	#>	1.0
f	f	1.0
e_s	s	1.0
d_r	t	1.0
d	d	1.0
b	b	1.0
ã_n	ɑ̃	1.0
ã	a	1.0
a_j	ɛː	1.0
<#_ɔ	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
p	p	0.944
v	v	0.885
m	m	0.867
ʤ	ʤ	0.857
r	ʀ	0.811
u	ɔ	0.769
ˈẽ	ˈɛ̃	0.7
ˈy	-	0.667
ˈe	-	0.667
ɡ	ɡ	0.667
z	ʒ	0.667
j_#>	ˈɛ_#>	0.667
t	t	0.619
s	s	0.615
j_s	ʃ	0.6
e	ɛ	0.571
a	a	0.556
ˈĩ	ˈẽ	0.545
w	w	0.5
w	-	0.5
l_#>	ˈa_#>	0.5
l_#>	#>	0.5
ˈɔ	w	0.486
n	n	0.472
ˈu	ˈɔ	0.462
a	ɛ	0.444
ˈã	-	0.429
e	-	0.429
j	-	0.421
ˈi	ˈi	0.409
ə	j	0.4
ə	-	0.4
j_s	ˈɛ	0.4
ˈu	ˈøː	0.385
s	ʃ	0.385
ˈɛ	j	0.371
ˈũ	ˈɔ̃	0.364
n	-	0.361
ˈã	ˈɑ̃	0.357
ˈy	ˈy	0.333
ˈe	ˈe	0.333
ɡ	-	0.333
z	-	0.333
j_#>	#>	0.333
ˈa	ˈɔː	0.316
ˈẽ	-	0.3
ˈɛ	ˈɛ	0.286
t	-	0.286
ˈũ	ˈɔ	0.273
ˈĩ	ˈɛ	0.273
ˈi	ˈiː	0.273
ˈa	ˈa	0.263
u	-	0.231
ˈã	ˈa	0.214
ˈa	ˈɛ	0.211
ˈa	-	0.211
ə	ɛ	0.2
ˈũ	ˈuː	0.182
ˈũ	-	0.182
ˈĩ	-	0.182
j	j	0.158
ˈu	-	0.154
ˈɛ	-	0.143
ˈɔ	ˈoː	0.143
ʤ	-	0.143
ˈi	ˈeː	0.136
m	-	0.133
j	ˈɛ	0.132
v	-	0.115
ˈɛ	ˈe	0.114
ˈɔ	ˈɔː	0.114
ˈɔ	ˈɔ	0.114
t	ʀ	0.095
ˈi	ˈɛ	0.091
ˈi	-	0.091
ˈɛ	ˈɔː	0.086
ˈɔ	-	0.086
n	ˈɛ̃	0.083
n	ˈɔ̃	0.083
j	ˈɛ̃ː	0.079
j	ˈɛː	0.079
j	w	0.079
r	-	0.075
ˈɔ	ˈøː	0.057
p	-	0.056
j	ˈiː	0.053
