Ripuarian	Ripuarian	probability
ˈʏ	-	1.0
ˈɛ_ɐ	ˈa_ʕ	1.0
ˈɔː	ˈɔ_ʕ	1.0
ˈɔʊ̯	ˈao̯	1.0
ˈøʏ̯	ˈəi̯	1.0
ˈu	-	1.0
ˈoʊ̯	ˈoː	1.0
ˈeɪ̯	ˈɔe̯	1.0
ˈe_ɐ	ˈʌ	1.0
ˈa_ŋ	ˈaː	1.0
ʋ	ʋ	1.0
ʃ	ʃ	1.0
ʀ_ˈoː	ʁ	1.0
ʀ	ʁ	1.0
ɫ	l	1.0
ɪ	-	1.0
ɣ̊	ɡ	1.0
ɣ	ɡ	1.0
ɡ̊	d	1.0
ŋ_ɡ̊	ŋ	1.0
z̥	s	1.0
z	s	1.0
x	x	1.0
v̥_#>	b_#>	1.0
v	b	1.0
t	d	1.0
n_#>	#>	1.0
m	m	1.0
l	l	1.0
h	h	1.0
f	f	1.0
e_ŋ	eə̯	1.0
d	d	1.0
b	b	1.0
<#_ˈʊ	<#_ˈo	1.0
<#	<#_ˈɛ	1.0
#>	a_#>	1.0
ʦ	ʦ	0.933
s	s	0.895
j	ɡ	0.867
ə	a	0.844
d̥	d	0.818
n	n	0.794
ˈa	ˈa	0.783
ɐ	ʌ	0.758
ˈɔ	ˈo	0.667
ˈɛ	ˈɛ	0.625
ˈœ	ˈu	0.6
ˈuː	ˈao̯	0.6
ˈo	ˈo	0.538
ˈɪ	-	0.5
ˈɛː	ˈɛ	0.5
ˈɛː	-	0.5
k	ɡ	0.5
k	kʰ	0.5
ɕ	ç	0.471
ˈaː	ˈa	0.455
ˈøː	-	0.429
ˈiː	ˈəi̯	0.429
ˈiː	-	0.429
ˈeː	ˈɔe̯	0.412
ˈe	ˈi	0.412
ɕ	ɡ	0.412
ˈœ	-	0.4
ˈuː	ˈoː	0.4
p	f	0.375
p	-	0.375
ŋ	ŋ	0.368
ˈaː	ˈaː	0.364
ˈɔ	ˈɔ	0.333
ˈyː	-	0.333
ˈoː	ˈuə̯	0.318
ˈøː	ˈiə̯	0.286
ˈøː	ˈae̯	0.286
ŋ	n	0.263
ˈɪ	ˈiː	0.25
ˈɪ	ˈi	0.25
ˈɛ	ˈɛː	0.25
p	b̥͡f	0.25
ɐ	ʕ	0.242
ˈe	ˈe	0.235
ˈo	ˈu	0.231
ˈo	-	0.231
ˈoː	ˈɔː	0.227
ˈyː	ˈəi̯	0.222
ˈyː	ˈeː	0.222
ˈyː	ˈae̯	0.222
ŋ	n_d	0.211
ˈaː	ˈɔː	0.182
ˈeː	ˈiə̯	0.176
ˈeː	-	0.176
ˈe	ˈɪ	0.176
ˈe	-	0.176
ŋ	-	0.158
ˈiː	ˈi	0.143
ˈoː	ˈuː	0.136
ˈoː	ˈoː	0.136
ˈoː	-	0.136
j	j	0.133
ˈa	-	0.13
ˈɛ	ˈe	0.125
ˈeː	ˈi	0.118
ˈeː	ˈeː	0.118
ɕ	x	0.118
ə	-	0.111
s	ʃ	0.105
d̥	ʕ_d	0.091
d̥	t	0.091
n	-	0.088
ˈa	ˈaː	0.087
ʦ	ʣ	0.067
n	ɡ_a	0.059
n	a	0.059
