Spanish	Spanish	probability
θ_o	θ_o	1.0
θ	θ	1.0
β_ˈa	β_ˈa	1.0
β	β	1.0
ˈu	ˈu	1.0
ˈo_ɾ	ˈo_ɾ	1.0
ˈo	ˈo	1.0
ˈi_o	ˈi_o	1.0
ˈi_a	ˈi_a	1.0
ˈi	ˈi	1.0
ˈe_s	ˈe_s	1.0
ˈe	ˈe	1.0
ˈa_m	ˈa_m	1.0
ˈa	ˈa	1.0
ʧ	ʧ	1.0
ʝ	ʝ	1.0
ɾ_ˈe	ɾ_ˈe	1.0
ɾ_ˈa	ɾ_ˈa	1.0
ɾ_t	ɾ_t	1.0
ɾ_o	ɾ_o	1.0
ɾ_n	ɾ_n	1.0
ɾ_k	ɾ_k	1.0
ɾ_a	ɾ_a	1.0
ɾ	ɾ	1.0
ɲ	ɲ	1.0
ɣ	ɣ	1.0
ɡ	ɡ	1.0
ɟ͡ʝ	ɟ͡ʝ	1.0
ŋ	ŋ	1.0
ð	ð	1.0
x	x	1.0
w	w	1.0
u	u	1.0
t_a	t_a	1.0
t	t	1.0
s_ˈe	s_ˈe	1.0
s_a	s_a	1.0
s	s	1.0
r	r	1.0
p_ɾ	p_ɾ	1.0
p	p	1.0
o_β	o_β	1.0
o_ɾ	o_ɾ	1.0
o_s	o_s	1.0
o_m	o_m	1.0
o	o	1.0
n_ˈo	n_ˈo	1.0
n	n	1.0
m_o	m_o	1.0
m	m	1.0
l_ˈe	l_ˈe	1.0
l_o	l_o	1.0
l_a	l_a	1.0
l	l	1.0
k_ɾ	k_ɾ	1.0
k	k	1.0
j	j	1.0
i	i	1.0
f	f	1.0
e	e	1.0
d	d	1.0
b	b	1.0
a_θ	a_θ	1.0
a_ɾ	a_ɾ	1.0
a_s	a_s	1.0
a_n	a_n	1.0
a_m	a_m	1.0
a	a	1.0
