German	West Frisian	probability
b	b	0.812
b	-	0.129
b	v	0.055
b_n	v	1.0
d	d	0.393
d	t	0.279
d	-	0.176
d	ʦ	0.123
d_ɐ	r	1.0
f	f	0.639
f	p	0.211
f	f_j	0.068
h	h	1.0
j	j	1.0
k	k	0.382
k	χ	0.298
k	-	0.171
k	ɣ	0.126
kʰ	k	0.758
kʰ	ʦ	0.158
kʰ	-	0.051
l	l	0.969
l_p	l	1.0
l_t	t	0.251
m	m	1.0
n	n	0.624
n	-	0.342
n_s	s	0.501
n_t	n	1.0
p	f	0.618
p	-	0.278
p	p	0.066
p͡f	p	0.803
p͡f	t	0.088
s	s	0.503
s	t	0.493
t	t	0.824
t	-	0.113
t	d	0.058
tʰ	d	0.848
tʰ	t	0.148
v	ʋ	0.443
v	v	0.426
v	-	0.126
x	χ	0.66
x	k	0.309
z	s	0.765
z	z	0.155
z	ɕ	0.078
ç	χ	0.421
ç	k	0.389
ç	ŋ	0.106
ç	-	0.065
ŋ	ŋ	0.901
ŋ	n	0.093
ɐ	r	0.919
ɐ	-	0.051
ɐ_t	t	1.0
ɐ_ʦ	t	1.0
ə	ə	0.533
ə	-	0.332
ə	j_ə	0.058
ɡ	ɡ	0.523
ɡ	-	0.278
ɡ	ɣ	0.096
ɡ	χ	0.055
ɪ	ɪ	0.556
ɪ	ə	0.422
ʁ	r	0.788
ʁ	-	0.127
ʃ	s	0.564
ʃ	s_k	0.434
ʦ	t	0.85
ʦ	d	0.093
ʦ	ʦ	0.055
ˈa	ˈa	0.363
ˈa	ˈaː	0.179
ˈa	ˈɔː	0.106
ˈa	ˈɪə̯	0.097
ˈa	ˈɛ	0.072
ˈa_l	ˈɔː	1.0
ˈaɪ̯	ˈiː	0.223
ˈaɪ̯	ˈi	0.19
ˈaɪ̯	ˈiə̯	0.185
ˈaɪ̯	ˈɛ_j	0.093
ˈaɪ̯	ˈɪ	0.081
ˈaɪ̯	j	0.053
ˈaʊ̯	ˈuː	0.465
ˈaʊ̯	ˈɪə̯	0.371
ˈaʊ̯	ˈaː	0.09
ˈaʊ̯	ˈyː	0.071
ˈaː	ˈa	0.262
ˈaː	ˈiə̯	0.251
ˈaː	ˈaː	0.13
ˈaː	ˈɛi̯	0.111
ˈaː	ˈoə̯	0.063
ˈaː	ˈiː	0.055
ˈeː	ˈeː	0.31
ˈeː	ˈiə̯	0.15
ˈeː	j	0.132
ˈeː	ˈø	0.132
ˈeː	ˈɛi̯	0.105
ˈeː	ˈa	0.076
ˈiː	ˈiə̯	0.205
ˈiː	j_ˈɪ	0.189
ˈiː	ˈɪə̯	0.165
ˈiː	ˈɔu̯	0.109
ˈiː	ˈɛ	0.109
ˈiː	ˈi	0.085
ˈiː	ˈɪ	0.067
ˈiː	ˈɔː	0.052
ˈoː	ˈoə̯	0.253
ˈoː	ˈuː	0.247
ˈoː	ˈɪə̯	0.187
ˈoː	ˈy	0.124
ˈoː	ˈeː	0.089
ˈoː	ˈu	0.067
ˈoː_t	ˈɪə̯	1.0
ˈuː	ˈuə̯	0.639
ˈuː	ˈoː	0.356
ˈyː	ˈiə̯	0.545
ˈyː	ˈuə̯	0.245
ˈyː	ˈɵ	0.153
ˈøː	ˈɪə̯	0.517
ˈøː	j	0.213
ˈøː	ˈeː	0.122
ˈœ	ˈɔ	0.5
ˈœ	ˈɪ	0.5
ˈɔ	ˈɔ	0.631
ˈɔ	ˈoə̯	0.096
ˈɔ	ˈuː	0.096
ˈɔ	ˈuə̯	0.076
ˈɔ	ˈɔu̯	0.062
ˈɔ_ɐ	ˈoə̯	1.0
ˈɔʏ̯	ˈuː	0.226
ˈɔʏ̯	j	0.18
ˈɔʏ̯	j_ˈuə̯	0.149
ˈɔʏ̯	ˈuə̯	0.149
ˈɔʏ̯	ˈyː	0.149
ˈɔʏ̯	ˈøə̯	0.079
ˈɛ	ˈɛ	0.183
ˈɛ	ˈɪ	0.159
ˈɛ	ˈø	0.136
ˈɛ	ˈiə̯	0.118
ˈɛ	ˈɛː	0.118
ˈɛ	ˈi	0.068
ˈɛ	ˈɔ	0.068
ˈɛ	ˈaː	0.057
ˈɛ	ˈɛi̯	0.057
ˈɛː	ˈiə̯	0.259
ˈɛː	ˈiː	0.225
ˈɛː	ˈɪə̯	0.225
ˈɪ	ˈɪ	0.493
ˈɪ	ˈi	0.163
ˈɪ	j_ˈɔ	0.103
ˈɪ	ˈɔ	0.089
ˈɪ	ˈiː	0.053
ˈɪ	ˈɛ	0.052
ˈʊ	ˈɔ	0.261
ˈʊ	ˈoə̯	0.204
ˈʊ	ˈuː	0.178
ˈʊ	ˈuə̯	0.117
ˈʊ	j	0.091
ˈʊ	ˈyː	0.081
ˈʏ	ˈɪ	0.478
ˈʏ	ˈiː	0.22
ˈʏ	ˈɛː	0.146
ˈʏ	-	0.096
