Old Frisian	Luxembourgish	probability
θ	d	1.0
ˈɔː_n	ˈəʊ̯	1.0
ˈi̯aː_ɣ	ˈɜɪ̯_ə	1.0
ˈe_j	ˈeː	1.0
ˈa_r	ˈaː	1.0
ʦ	kʰ	1.0
ɣ̥	ɕ	1.0
ɡː	k	1.0
ə_r	ɐ	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
ð	d	1.0
x	ɕ	1.0
v	v	1.0
tː	ʦ	1.0
t_ə	s	1.0
s_w	z	1.0
s_k	ʃ	1.0
r_ˈeː	ʀ	1.0
r_ə	ɐ	1.0
r_n	ʀ	1.0
pː	p	1.0
p_ə	f	1.0
nː	n	1.0
n_d	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l_ˈi	l	1.0
l	l	1.0
kː	k	1.0
j_ə	ə_n	1.0
iː	e	1.0
i	ə	1.0
h_w	v	1.0
h_r	ʀ	1.0
h_l	l	1.0
h	h	1.0
bː	ˈu	1.0
b	b	1.0
n	n	0.857
ɡ	ɡ	0.828
p	f	0.823
f	f	0.823
ˈiː	ˈæːɪ̯	0.715
z	z̥	0.657
ˈi̯aː	ˈɜɪ̯	0.649
ˈɛː	ˈeː	0.641
ˈoː	ˈu	0.633
ɣ	-	0.628
s	ʃ	0.618
d	d̥	0.599
w	v	0.595
k_ə	χ	0.563
ˈu	ˈo	0.555
k	k	0.537
ˈi̯uː	-	0.534
ˈa	ˈaː	0.528
r	ɐ	0.492
ə	-	0.481
ˈi̯uː	ˈɑɪ̯	0.466
ˈi	ˈɑ	0.46
t	s	0.459
k_ə	ɕ	0.437
t	t	0.392
r	ʀ	0.391
ˈuː	ˈɑʊ̯	0.389
s	z	0.382
ˈeː	-	0.377
j	-	0.374
ɣ	ə	0.372
j	ɡ	0.364
w	w	0.357
ˈo	ˈo	0.351
ˈi̯aː	-	0.351
z	-	0.343
ˈuː	ˈæːʊ̯	0.341
ˈɔː	ˈɑ	0.338
ˈa	ˈɑ	0.314
ˈɔː	ˈaː	0.308
ˈeː	ˈoː	0.308
ˈo	ˈuː	0.303
ə	ə_n	0.302
ˈaː	ˈəʊ̯	0.298
k	ɕ	0.278
ˈuː	-	0.27
ˈɛː	ˈɜɪ̯	0.268
ˈaː	ˈaː	0.259
ˈɔː	-	0.234
ˈo	ˈiː	0.227
j	j	0.191
ˈoː	ˈəʊ̯	0.188
ˈaː	ˈeː	0.186
k	χ	0.186
ˈe	ˈə	0.18
ˈoː	-	0.178
p	p	0.177
f	v̥	0.177
ˈu	ˈu	0.176
ˈi	ˈə	0.172
ɡ	ɡ̊	0.172
ˈe	ˈaː	0.167
d	d	0.164
ˈi	ˈe	0.161
ˈe	-	0.161
d	t	0.161
ˈa	ˈuə̯	0.158
ˈiː	-	0.154
ˈaː	ˈɜɪ̯	0.151
ˈeː	ˈɜɪ̯	0.149
t	ʦ	0.149
ˈe	ˈiː	0.145
n	-	0.143
ˈu	ˈɔ	0.135
ˈu	ˈə	0.133
ˈiː	ˈɑɪ̯	0.131
ˈɔː	ˈo	0.12
ə	n	0.119
ˈo	-	0.118
ˈeː	ˈɑɪ̯	0.106
ˈaː	ˈoː_ə	0.106
ˈe	ˈiə̯	0.099
ˈe	ˈe	0.099
ə	ə	0.098
ˈɛː	-	0.091
ˈi	-	0.085
ˈe	ˈɛ	0.08
r	ˈaː	0.079
d	-	0.076
ˈi	ˈiː	0.073
j	ʑ	0.071
ˈe	ˈɛː	0.07
ˈeː	ˈi	0.06
