Old Frisian	Faroese	probability
ˈu_ŋ	ɲ	1.0
ˈo_r	ˈɔ	1.0
ˈiː	ˈʊ̯iː	1.0
ˈe_r	ˈa_ɹ	1.0
ˈa_x	ˈɔ	1.0
ʦ	ʧʰ	1.0
ɡː	ɡ̊ː	1.0
ŋ_k	ʰk	1.0
ŋ	ŋ	1.0
ð	-	1.0
z	-	1.0
x_t	ʰt_ʊ	1.0
v	v	1.0
tː	ʰt	1.0
t_e	ʰt͡n̥	1.0
s_ˈa	s_ˈa	1.0
s_k	ʃ	1.0
r_n	t͡n̥	1.0
pː	ʰp	1.0
nː	nː	1.0
mː	m_j	1.0
lː	t͡l̥	1.0
l_d	t͡l̥	1.0
kː	ʰʧ	1.0
j_ə	a	1.0
iː	a	1.0
i	-	1.0
h_w	kʰ_v	1.0
h	h	1.0
f	f	1.0
e	-	1.0
dː	j	1.0
bː	v	1.0
b	b̥	1.0
a	a	1.0
m	m	0.945
s	s	0.913
r	ɹ	0.904
ˈu	ˈʊ	0.832
l	l	0.807
θ	tʰ	0.788
ɡ	ɡ̊	0.777
ə_r	ɪ_ɹ	0.758
n	n	0.736
w	v	0.712
j	-	0.694
t	t	0.639
ˈi̯uː	ˈʊ̯iː	0.616
ˈuː	ˈʉːu̯	0.603
ɣ	-	0.589
ˈoː	ˈɔːu̯	0.578
ˈi	ˈɪ	0.569
ˈaː	ˈɛːi̯	0.549
p	p	0.549
ə	a	0.516
ˈeː	ˈøː	0.425
x	v_ʊ	0.422
ˈi̯aː	ˈɔːu̯	0.411
ɣ	ɡ̊_v̥	0.411
d	-	0.41
ˈa	ˈa	0.406
ˈɔː	ˈa	0.397
ˈi̯uː	-	0.384
ˈɛː	ˈai̯	0.383
k	kʰ	0.376
k	k	0.375
ˈɛː	ˈaːi̯	0.351
p	ʰp	0.343
ˈɔː	-	0.339
ˈa	ˈɛːa̯	0.331
t	ʰt	0.33
ˈaː	ˈɔ̯aː	0.315
ˈeː	ˈɔ̯aː	0.312
j	ɡ̊	0.306
ˈo	-	0.292
d	d̥	0.29
x	ɡ̊	0.289
x	v̥	0.289
w	-	0.288
ˈɔː	ˈɔ̯aː	0.264
ˈeː	-	0.263
ˈuː	ˈʊ	0.261
ˈoː	-	0.253
ˈo	ˈɔ	0.253
ˈe	ˈɛ	0.248
ə_r	ɹ	0.242
ˈo	ˈoː	0.241
ˈi̯aː	-	0.239
ɡ	-	0.223
ˈi	ˈiː	0.208
n	-	0.195
ə	ʊ	0.188
ˈi̯aː	ˈʉːu̯	0.179
ˈi̯aː	ˈʊ_ʤ̊ː	0.171
ˈoː	ˈɛ_ɡ̊	0.169
ˈu	-	0.168
ˈe	ˈɛːa̯	0.16
ˈa	ˈɛ	0.154
ˈɛː	ˈɔːi̯	0.153
k	ʧ	0.151
ˈaː	-	0.136
ˈuː	ˈɪ_ɡ̊	0.135
ˈo	ˈiː	0.125
ə	ʊ_ɹ	0.124
l	l̥	0.121
ˈɛː	-	0.114
ˈi	ˈeː	0.112
ˈi	ˈʊ̯iː	0.11
ˈa	ˈɔ	0.11
p	pʰ	0.108
θ	ɹ	0.106
θ	nː	0.106
d	w	0.104
ˈe	ˈa	0.103
ˈe	ˈɔ	0.1
ˈe	ˈeː	0.099
k	ʧʰ	0.098
ˈo	ˈœ	0.09
ə	ɪ	0.09
ˈe	ˈœ	0.087
ˈe	j_ˈœ	0.087
s	ʃ	0.087
l	t͡l̥	0.072
n	n̥	0.069
d	ʤ̊	0.067
r	ˈa	0.066
d	j_ʊ	0.066
d	j	0.064
ˈe	ˈɪ	0.059
ə	-	0.057
ˈe	-	0.056
m	mː	0.055
