Štokavian	Štokavian	probability
̂_ʋ	̂_ʋ	1.0
̂_t	̂_t	1.0
̂_n	̂_n	1.0
̂_k	̂_k	1.0
̂_#>	̂_#>	1.0
ʨ	c	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʎ	l	1.0
ʋ	ʋ	1.0
ʃ	ʃ	1.0
ɲ	ɲ	1.0
ɡ̊	ɡ̊	1.0
ɡ_#>	ɡ̊_#>	1.0
ɡ	ɡ	1.0
z	z	1.0
x	x	1.0
uː	uː	1.0
u	u	1.0
t	t	1.0
s_#>	s_#>	1.0
s	s	1.0
r̩ː	r̩	1.0
r̩	r̩	1.0
r	r	1.0
p	p	1.0
oː	oː	1.0
o_̌	o	1.0
o_#>	l_#>	1.0
n	n	1.0
m	m	1.0
l	l	1.0
j_eː	iː	1.0
j	-	1.0
iː	iː	1.0
e_̌	e	1.0
e_̂	e_̂	1.0
e_#>	e_#>	1.0
d_#>	d̥_#>	1.0
d	d	1.0
b_#>	b̥_#>	1.0
b	b	1.0
aː_̌	aː	1.0
aː	aː	1.0
a_r	a_r	1.0
a_m	a_n	1.0
<#_p	<#	1.0
<#_l	<#_l	1.0
<#_j	<#_j	1.0
#>	̂_#>	1.0
o	o	0.929
k	k	0.913
i	i	0.857
̂	̂	0.815
ʒ	ʒ	0.778
e	e	0.7
a	a	0.648
̌	-	0.643
eː	eː	0.643
j_e	i	0.571
̌_l	̂_l	0.5
̌_l	l	0.5
̌_d	̂_d	0.5
̌_d	d	0.5
j_e	i_̂	0.429
eː	e	0.357
e	-	0.3
a	a_̂	0.241
ʒ	ʒ̊	0.222
̌	̂	0.214
̂	̌	0.185
̌	̌	0.143
i	iː	0.143
k	x	0.087
a	aː	0.074
o	-	0.071
