Shanghainese	Shanghainese	probability
⁵⁵	²	1.0
⁵³	²⁴	1.0
⁵	²	1.0
ʨʰ	h	1.0
ʨ	k	1.0
ʦʰ	ʦʰ	1.0
ʥ	kʰ	1.0
ʑ	ʨʰ	1.0
ɪ_ʔ	t̚	1.0
ɪ	e	1.0
ɥ	e	1.0
ɤ	u	1.0
ɡ	kʰ	1.0
ə_ʔ	u_t̚	1.0
ə_n	a_ŋ	1.0
ŋ̍	ŋ̍	1.0
ŋ	ŋ	1.0
y	-	1.0
w	o	1.0
v	f	1.0
tʰ	tʰ	1.0
t	t	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
nʲ	ɲ	1.0
l	l	1.0
k	k	1.0
j_ɪ	i	1.0
d	tʰ	1.0
b	pʰ	1.0
ã	o_ŋ	1.0
a	a	1.0
<#_ŋ	<#_ŋ	1.0
n	n	0.882
m	m	0.818
j	j	0.818
i	i	0.81
ɑ̃	o_ŋ	0.778
z̩	ɨ	0.75
ʦ	ʦ	0.7
¹²	⁵	0.7
ɕ	ɕ	0.667
h	h	0.667
³⁴	³¹	0.655
ə	u	0.625
o	u	0.625
²³	¹¹	0.603
ɜ	u	0.6
z	s	0.6
kʰ	kʰ	0.6
<#_ɦ	<#	0.6
f	f	0.571
u	o	0.545
ʔ	k̚	0.522
ø	o_n	0.5
e	o_j	0.5
u	u	0.455
ɔ	o	0.444
ʔ	t̚	0.435
ɦ	h	0.429
f	p	0.429
ɜ	e_w	0.4
z	ʦʰ	0.4
kʰ	h	0.4
<#_ɦ	<#_j	0.4
ə	e	0.375
³⁴	⁵⁵	0.345
ɕ	s	0.333
ɔ	w	0.333
h	-	0.333
ø	a_m	0.3
¹²	²	0.3
e	a_n	0.3
ɦ	v	0.286
ɦ	f	0.286
z̩	-	0.25
ɔ	e_w	0.222
ɑ̃	ŋ	0.222
ʦ	t	0.2
ø	n	0.2
e	a	0.2
i	e_n	0.19
m	v	0.182
j	e	0.182
²³	⁵⁵	0.175
o	a	0.167
²³	²⁴	0.143
o	o	0.125
n	m	0.118
ʦ	ʨ	0.1
o	e	0.083
²³	³¹	0.079
