Proto-Slavic	Kashubian	probability
a	a	1.0
aˀ	ˈɞ	1.0
ǎ	a	1.0
b	b	1.0
ê	ˈɛ	1.0
ẽ̂ː	ˈa_ŋ	1.0
i	ˈə	1.0
ĭ̌	ˈɛ	1.0
ǐ	ˈi	1.0
j	-	1.0
n	n	1.0
ǒ	u̯ˈɛ	1.0
s	s	1.0
ŭ̂	-	1.0
x	x	1.0
z	z	1.0
ɛˀ	j_ˈa	1.0
ɛː	ˈɞ	1.0
ɛ̂ː	ˈa	1.0
ɨ̌	ˈə	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
e	ˈɔ	0.11
ẽ	a_ŋ	0.241
ô	ˈu	0.121
r	r	0.721
ɛ	e	0.131
e	<#_j	0.12
o	ˈɔ	0.072
o	u̯ˈɛ	0.322
p	p_j	0.502
ŭ	i	0.382
v	f_j	0.2
d	ʣ	0.343
e	ˈɛ	0.153
ĭ	ə	0.473
k	-	0.323
r	ʐ	0.133
ʒ	ʃ	0.463
t	ʦ	0.174
d	d	0.655
ĭ̂	-	0.205
ĭ̂	ˈɞ	0.795
m	m_j	0.365
m	m	0.635
ôː	w_ˈɔ	0.485
ôː	ˈɔ	0.515
r	ʂ	0.145
ɡ	-	0.05
ɡ	ɡ	0.95
l	l	0.376
t	t	0.826
e	-	0.147
e	ɛ	0.447
ĭ	-	0.527
k	k	0.677
o	u̯ɛ	0.147
ʒ	ʒ	0.537
p	p	0.498
ŭ	-	0.618
v	v_j	0.328
v	v	0.458
ẽ	ˈa_ŋ	0.759
l	w	0.59
o	ɔ	0.459
ô	u̯ˈɛ	0.879
ɛ	-	0.869
