Icelandic	Icelandic	probability
ˈʏː	-	1.0
ˈɪ_r̥	ˈʌ	1.0
ˈɛi̯	ˈɔe̯	1.0
ˈɔː	ˈɔː	1.0
ˈɑu̯	ˈa	1.0
ˈœː	-	1.0
ˈœ_ʰt	ʣ	1.0
ˈuː	ˈao̯	1.0
ˈu	ˈo	1.0
ˈou̯_ŋ	i	1.0
ˈaːu̯	-	1.0
ˈai̯	-	1.0
ʰt͡n̥	s_ʌ	1.0
ʰk	ŋ_ɡ	1.0
ʰc	ɡ	1.0
ʏ_r̥_#>	#>	1.0
ʏ_#>	#>	1.0
ʏ	-	1.0
ɲ	ˈɪ	1.0
ɪ_r̥	ʌ	1.0
ɣ	ɡ	1.0
ɡ̊_ʏ	ʌ	1.0
ɡ̊	ɡ	1.0
ɟ̊ː	ɡ	1.0
ɟ̊	ɡ	1.0
ɛ	f	1.0
ɑu̯	ɪ	1.0
ŋ_ɡ̊	ŋ	1.0
ŋ	ŋ	1.0
ð_ʏ	d	1.0
ð	d	1.0
ç	h	1.0
x	-	1.0
v_ʏ_r̥_#>	b_#>	1.0
v_ʏ	b	1.0
tʰ	ʦ	1.0
s_t	ʃ_d	1.0
s_k	ʃ	1.0
s_j	s	1.0
s_c	ʃ	1.0
s_#>	s_#>	1.0
r̥_t	ʕ_ʦ	1.0
r̥_#>	#>	1.0
pʰ	p͡f	1.0
n̥	a	1.0
nː	n	1.0
n_d̥	d	1.0
m	m	1.0
l̥	l	1.0
l	l	1.0
k_#>	x_#>	1.0
k	ç	1.0
j_ˈɛː	ˈi	1.0
j_ˈɛ	ˈɛ	1.0
j_ˈuː	ˈiə̯_ɡ	1.0
j_a	a	1.0
h	h	1.0
f	f	1.0
d̥	d	1.0
cʰ	kʰ	1.0
c	-	1.0
b̥	b	1.0
aːu̯	eə̯	1.0
a_r̥	ʌ	1.0
a_#>	#>	1.0
a	a	1.0
<#_θ	<#_d	1.0
<#_ɡ̊	<#_ɡ	1.0
<#_r̥	<#_ʁ	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d̥	<#_d	1.0
<#	<#_ʋ	1.0
t	s	0.875
ɪ	-	0.833
p	f	0.778
t͡l̥	l	0.75
n	n	0.733
kʰ	kʰ	0.714
ˈʏ	ˈo	0.667
ˈɛːi̯	ˈɔe̯	0.667
t͡n̥	n	0.667
ˈa	ˈa	0.647
v	ʋ	0.64
r̥	ʌ	0.615
j	-	0.615
ˈœ	ˈaː	0.6
ˈi	-	0.6
ʰt	d	0.6
ˈiː	ˈəi̯	0.588
s	s	0.583
ˈɪː	ˈi	0.571
ˈœːy̯	ˈoː	0.571
ˈaː	ˈa	0.571
#>	a_#>	0.556
ˈɔu̯	x	0.5
ˈɔu̯	-	0.5
ˈɔ	ˈo	0.5
ˈɔ	-	0.5
ˈau̯	ˈɛ	0.5
ˈau̯	ˈa	0.5
r	ʁ	0.5
ˈoːu̯	-	0.438
ˈɪː	-	0.429
ˈɛː	-	0.429
ˈɑːu̯	ˈɔː	0.429
ˈœːy̯	ˈao̯	0.429
ˈaːi̯	-	0.429
ˈaː	ˈaː	0.429
ˈɛ	ˈɛ	0.4
ˈœ	-	0.4
ˈi	ˈe	0.4
ʰt	x_d	0.4
r̥	ʕ	0.385
ˈoːu̯	ˈuə̯	0.375
ˈʏ	-	0.333
ˈɛːi̯	-	0.333
ˈɛ	-	0.333
t͡n̥	-	0.333
s	ʃ	0.333
r	ʕ	0.333
ˈɪ	-	0.286
ˈɛː	ˈɛː	0.286
ˈɛː	ˈɛ	0.286
ˈɑːu̯	ˈeː	0.286
ˈɑːu̯	-	0.286
ˈaːi̯	ˈuə̯	0.286
ˈaːi̯	ˈiə̯	0.286
kʰ	-	0.286
n	-	0.267
t͡l̥	l_e	0.25
v	-	0.24
ˈiː	-	0.235
ˈa	ˈɛ	0.235
j	ˈi	0.231
p	-	0.222
#>	s_#>	0.222
#>	d_#>	0.222
ˈɪ	ˈɛ	0.214
ˈɪ	ˈi	0.214
ˈiː	ˈae̯	0.176
ɪ	ʌ	0.167
j	ˈiː	0.154
ˈɪ	ˈɪ	0.143
ˈɪ	ˈu	0.143
ˈɛ	ˈae̯	0.133
ˈɛ	ˈa	0.133
ˈoːu̯	ˈu	0.125
t	ʦ	0.125
v	b	0.12
ˈa	-	0.118
r	-	0.1
s	d	0.083
r	ʁ_ˈae̯	0.067
ˈoːu̯	ˈɔə̯	0.062
