Alsatian	Saterland Frisian	probability
b̥	b	0.868
b̥	v	0.051
d̥	d	0.753
d̥	t	0.14
d̥	-	0.107
e	w	1.0
eː	i	1.0
f	f	0.694
f	p	0.225
h	h	1.0
i	ɪ	0.51
i	ə	0.49
j	j	0.661
j	z	0.162
j	-	0.101
j	ˈi	0.075
k	k	0.532
k	x	0.416
k	ɣ	0.052
kʰ	k	0.592
kʰ	s	0.377
l	l	0.955
m	m	0.962
n	n	0.886
n	-	0.09
p	p	1.0
p͡f	p	0.825
p͡f	d	0.175
s	s	0.56
s	t	0.347
s	z	0.093
t	d	0.595
t	t	0.316
t	-	0.089
v	-	0.467
v	ɣ	0.36
v	v	0.173
w	v	0.695
w	ˈʊ	0.305
x	x	0.533
x	k	0.467
ŋ	ŋ	1.0
ə	ə	0.811
ə	-	0.135
ɡ̊	ɣ	0.531
ɡ̊	j	0.26
ɡ̊	ɡ	0.154
ɡ̊	k	0.055
ʁ	r	0.873
ʁ	-	0.127
ʃ	s	0.711
ʃ	x	0.149
ʃ	-	0.105
ʋ	v	0.957
ʦ	t	1.0
ˈai̯	ˈeː	1.0
ˈaː	ˈaːi̯	0.539
ˈaː	-	0.301
ˈaː	ˈɔː	0.16
ˈe	ˈɔː	0.234
ˈe	ˈeː	0.225
ˈe	ˈiː	0.161
ˈe	ˈɔ	0.138
ˈe	ˈɛ	0.088
ˈe	ˈɪ	0.088
ˈe	-	0.066
ˈei̯	ˈɛɪ̯	0.873
ˈei̯	ˈi	0.127
ˈeː	ˈeː	0.538
ˈeː	j	0.157
ˈeː	ˈʊ	0.096
ˈeː	ˈɛɪ̯	0.095
ˈeː	ˈi	0.058
ˈeː	ˈa	0.056
ˈi	ˈɪ	0.433
ˈi	ˈiː	0.258
ˈi	ˈʊ	0.057
ˈi	ˈyː	0.052
ˈi	ˈɔ	0.05
ˈiː	j	0.226
ˈiː	ˈɛː	0.156
ˈiː	ˈɛɪ̯	0.148
ˈiː	ˈiː	0.113
ˈiː	ˈaːu̯	0.112
ˈiː	ˈi	0.11
ˈiː	-	0.052
ˈo	ˈoːu̯	0.479
ˈo	ˈɔ	0.278
ˈo	ˈʊ	0.208
ˈoː	ˈoː	0.264
ˈoː	ˈoːu̯	0.238
ˈoː	ˈiː	0.177
ˈoː	ˈuː	0.108
ˈoː	ˈɔː	0.064
ˈoː	ˈɛ	0.064
ˈu	ˈʊ	0.418
ˈu	ˈuː	0.36
ˈu	ˈɔː	0.102
ˈu	ˈɛː	0.072
ˈyː	ˈuː	0.715
ˈyː	ˈu	0.142
ˈyː	ˈɛɪ̯	0.142
ˈæ	ˈi	0.257
ˈæ	ˈaːi̯	0.235
ˈæ	ˈiː	0.235
ˈæ	ˈeːu̯	0.126
ˈæ	ˈɛ	0.088
ˈæ	ˈiːu̯	0.059
ˈæː	j	0.325
ˈæː	ˈɔː	0.292
ˈæː	ˈoː	0.18
ˈæː	ˈiː	0.086
ˈæː	ˈeː	0.061
ˈæː	-	0.056
ˈø	ˈuː	1.0
ˈøi̯	ˈuː	1.0
ˈøː	ˈuː	0.663
ˈøː	ˈoːu̯	0.337
ˈœ	ˈoː	1.0
ˈɒ	ˈɔː	0.235
ˈɒ	ˈoːu̯	0.229
ˈɒ	ˈoː	0.129
ˈɒ	ˈɛ	0.083
ˈɒ	ˈɪ	0.08
ˈɒ	ˈɔ	0.072
ˈɒ	ˈa	0.053
ˈɒ	ˈaː	0.052
ˈɒː	ˈoː	0.435
ˈɒː	ˈɛ	0.133
ˈɒː	ˈiː	0.13
ˈɒː	ˈɛː	0.126
ˈɒː	ˈɔː	0.085
ˈɒː	ˈɛɪ̯	0.051
ˈəi̯	ˈeː	0.735
ˈəi̯	ˈɔːɪ̯	0.11
ˈəi̯	ˈaː	0.066
ˈʊː	ˈoːu̯	0.498
ˈʊː	ˈoː	0.345
ˈʊː	ˈuː	0.066
ˈʊː	ˈɛɪ̯	0.066
