Mainland North Frisian	Mainland North Frisian	probability
ˈɛ_#>	j_ˈɛː_r̥_#>	1.0
ˈɒː_d	ʰt͡n̥	1.0
ˈœi̯	ˈoːu̯	1.0
ˈai̯	-	1.0
ˈa_ʀ	r	1.0
ɛi̯	aːu̯	1.0
ŋ_k	ʰk	1.0
ç	r̥	1.0
z̥	ð	1.0
z	-	1.0
w	ˈuː	1.0
v̥	v_ʏ	1.0
t_#>	ʏ_r̥_#>	1.0
nʲ_#>	#>	1.0
nʲ	n_d̥	1.0
n_#>	#>	1.0
m	m	1.0
l_ə	l	1.0
j_ˈa	ˈɛ	1.0
j_ə	ɡ̊	1.0
h_ˈœ	h	1.0
d̥	ð	1.0
dʲ	ð	1.0
b	b̥	1.0
<#_ˈeː	<#_ˈa	1.0
<#_ʀ	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#	<#_kʰ	1.0
ʀ_#>	r̥_#>	0.917
f	f	0.905
s	s	0.889
ʀ	r	0.825
h	h	0.81
ŋ	ŋ	0.778
s_#>	s_#>	0.778
<#_v	<#_v	0.769
i	-	0.75
ˈɔː	-	0.727
d	d̥	0.722
ˈɔu̯	-	0.714
ˈyː	ˈœːy̯	0.714
ˈɛ	ˈaːi̯	0.667
v	v	0.667
p	p	0.667
ɡ	ɡ̊	0.625
ˈɒ	-	0.6
ˈaː	ˈɔː	0.6
ə	a	0.597
ˈi	ˈiː	0.579
ˈɔ	ˈɔ	0.571
ˈɒː	-	0.571
l	l	0.562
tʲ	t_ʏ	0.556
ʃ	s_c	0.545
ˈʏ	ˈuː	0.5
ˈɛi̯	ˈai̯	0.5
ˈɛi̯	ɣ_ʏ	0.5
lʲ	l	0.5
lʲ	-	0.5
d_ə	ð_ʏ	0.5
d_ə	ð_ɪ	0.5
#>	ʏ_r̥_#>	0.494
t	t	0.463
ʃ	s_k	0.455
tʲ	t	0.444
ˈɔ	-	0.429
ˈɒː	ˈaː	0.429
ˈœː	ˈʏ	0.429
ˈuː	-	0.429
k	k	0.429
ˈaː	ˈɪː	0.4
ˈœ	ˈoːu̯	0.385
ˈɛː	j	0.375
ˈɛː	-	0.375
ɡ	ɟ̊	0.375
x	ʰt	0.375
x	-	0.375
ˈɛ	-	0.333
ˈeː	-	0.333
v	-	0.333
j	ɡ̊	0.333
j	j	0.333
j	-	0.333
#>	r̥_#>	0.321
ˈœ	ˈa	0.308
ˈœ	-	0.308
ˈa	ˈa	0.294
ˈʏ	-	0.286
ˈɔu̯	ˈoːu̯	0.286
ˈœː	ˈuː	0.286
ˈœː	ˈiː	0.286
ˈyː	ˈaːu̯	0.286
ˈuː	ˈœːy̯	0.286
k	kʰ	0.286
ˈʊ	ˈʏ	0.278
ˈʊ	ˈu	0.278
ˈɔː	j	0.273
ˈiː	ˈɛːi̯	0.259
ˈɛː	ˈɛː	0.25
x	ˈɔu̯	0.25
i	ɑu̯	0.25
n	n	0.243
ˈa	-	0.235
<#_v	<#	0.231
ˈeː	ˈɛ	0.222
ˈeː	ˈaː	0.222
ˈeː	ˈau̯	0.222
ŋ	ɡ̊	0.222
s_#>	#>	0.222
p	ʰp	0.222
t	tʰ	0.22
l	t͡l̥	0.219
l	l̥	0.219
n	t͡n̥	0.216
ˈʏ	ˈɪ	0.214
ˈi	ˈɪ	0.211
ˈɒ	ˈɑu̯	0.2
ˈɒ	ˈa	0.2
t	θ	0.195
h	ç	0.19
n	n_d̥	0.189
ˈiː	j_ˈoːu̯	0.185
#>	a_#>	0.185
ˈa	ˈɪ	0.176
ˈa	ˈɛ	0.176
ˈʊ	-	0.167
d	θ	0.167
ˈuː	ˈɑːu̯	0.143
ˈuː	ˈa	0.143
k	-	0.143
n	nː	0.135
ə	-	0.129
ʀ	r̥	0.125
t	ʰt	0.122
ˈa	ˈɪː	0.118
ə	ɪ	0.113
ˈʊ	ˈa	0.111
ˈʊ	ŋ	0.111
ˈiː	ˈɑːu̯	0.111
ˈiː	j_ˈuː	0.111
ˈiː	-	0.111
p	pʰ	0.111
d	t	0.111
ˈi	ˈɛ	0.105
ˈi	-	0.105
ə	ʏ	0.097
k	cʰ	0.095
f	-	0.095
ʀ_#>	#>	0.083
s	s_j	0.083
n	n̥	0.081
n	-	0.081
ˈiː	ˈɛi̯	0.074
ˈiː	ˈoːu̯	0.074
ˈiː	ˈeːi̯	0.074
ˈʊ	ɲ	0.056
n	ʏ	0.054
