Neapolitan	Megleno-Romanian	probability
ʧ	k	1.0
ʦː	z	1.0
ʦ	ˈi_ʦ	1.0
ʤː	j	1.0
ʤ	ʒ	1.0
ʎː	ʎ	1.0
ʃː	-	1.0
ɲː	ʤ	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ŋ_k	n_ʦ	1.0
w_ˈɔ	ˈo	1.0
w	-	1.0
u	u	1.0
tː	p_t	1.0
s	s	1.0
rː	r	1.0
r	r	1.0
o	-	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
l	r	1.0
kː	k	1.0
k_j	p_l	1.0
k	k	1.0
j_ə	ʎ_u	1.0
i	i	1.0
f	f	1.0
dː	ʦ	1.0
b	b	1.0
ɾ	r	0.928
n	n	0.898
t	t	0.802
ʃ	ʦ	0.766
p	p	0.759
ˈu	ˈu	0.696
j_ˈɛ	ˈe	0.653
d	d	0.645
ˈa	ˈa	0.571
v	v	0.55
ˈi	ˈi	0.515
ˈo	ˈu	0.508
j	j	0.506
ˈo	o̯ˈa	0.492
ə	ə	0.48
ˈɛ	ˈa	0.462
ˈɔ	o̯ˈa	0.448
ə	i	0.439
ˈa	ˈɔ	0.371
ˈe	ˈe	0.369
d	z	0.355
j_ˈɛ	ˈi	0.347
ˈɔ	ˈo	0.333
ˈe	e̯ˈa	0.324
ˈe	ˈi	0.308
ˈu	ˈo	0.304
j	ʎ	0.256
ˈi	ˈe	0.246
ˈi	e̯ˈa	0.239
j	-	0.238
ʃ	s	0.234
ˈɛ	ˈi	0.219
ˈɔ	ˈu	0.219
t	ʦ	0.198
v	w	0.187
ˈɛ	ˈe	0.164
ˈɛ	-	0.155
v	-	0.149
p	-	0.126
v	b	0.115
p	kʲ	0.115
n	j_n	0.102
ə	u	0.08
ɾ	d	0.072
ˈa	ɔ	0.058
