Upper Franconian	Upper Franconian	probability
β	v	1.0
ˈɛː	-	1.0
ˈɒː	ˈɑː	1.0
ˈɒ_l	ˈɔː	1.0
ˈeː	-	1.0
ˈaʊ̯	ˈɑːu̯	1.0
ˈa	k_ˈɑ	1.0
ʃ_l	l̥	1.0
ʃ_d̥	s_t	1.0
ɡ̊_ə	rː	1.0
ɡ̊_n	ɡː	1.0
ɐ_n	nː	1.0
ɐ_#>	#>	1.0
ç_d̥_#>	tː_#>	1.0
x_d̥	tː	1.0
t	t	1.0
r	r	1.0
l_ˈɒ	ɽ	1.0
j	-	1.0
h	j	1.0
f_a	v	1.0
eː	ɔ̃	1.0
d̥_n	ð_ɑ	1.0
d̥_#>	#>	1.0
b̥͡v̥	-	1.0
<#_ˈɒ	<#	1.0
<#_v	<#	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_h	<#	1.0
v	w	0.864
f	f	0.857
b̥	b	0.833
a	ɑ	0.8
m	m	0.792
z̥	t	0.714
ɐ	r	0.675
l	ɽ	0.639
s	s	0.605
ˈʊ	ˈʉ	0.6
ˈaː	ˈiːe̯	0.6
ɾ	ð_ɛ	0.6
f_#>	p_#>	0.6
ˈɪ	ˈɪ	0.583
ʦ	tʰ	0.545
#>	n_#>	0.533
ˈuː	ˈʉːə̯	0.5
x	ɣ	0.5
x	k	0.5
ʃ	s	0.476
ˈɒ	ˈɑ	0.474
#>	ɑ_#>	0.467
ç	ɣ	0.455
ˈaɪ̯	ˈɑːi̯	0.444
d̥	d	0.436
ˈʊ	-	0.4
ɾ	-	0.4
n	n	0.4
f_#>	#>	0.4
ˈɛ	ˈɛ	0.381
ˈɛ	-	0.381
ˈɔ	ˈʉə̯	0.375
ˈɔ	-	0.375
ˈiː	j_ˈʉːə̯	0.348
ʃ	s_ʨ	0.333
ˈoː	ˈɔː	0.312
ˈoː	ˈɑː	0.312
ɡ̊	ɡ	0.296
ɡ̊	kʰ	0.296
ŋ	ŋ_ɡ	0.294
z̥	-	0.286
ʦ	t	0.273
ç	k	0.273
ç	-	0.273
n	ɑ	0.267
d̥	ð	0.255
ˈɪ	-	0.25
ˈɔ	ˈʉ	0.25
ˈoː	-	0.25
ˈɛ	ˈæ	0.238
s	t	0.237
ŋ	-	0.235
ɐ	ɛ_r	0.225
ˈaɪ̯	ˈɪː	0.222
ˈɒ	ˈɑː	0.211
ˈaː	ˈœː	0.2
ˈaː	-	0.2
a	ɡ_ɑ	0.2
ʃ	s_k	0.19
ˈuː	ˈœː	0.188
ˈuː	-	0.188
ʦ	tː	0.182
ŋ	ɣ_ɑ	0.176
ŋ	ŋ	0.176
ˈiː	ˈɪː	0.174
ˈaɪ̯	ˈʏː	0.167
ˈaɪ̯	-	0.167
b̥	v	0.167
d̥	tʰ	0.164
f	p	0.143
l	lː	0.139
v	-	0.136
n	-	0.133
ˈiː	j	0.13
ˈɪ	ˈʏ	0.125
ˈuː	ˈoː	0.125
ˈoː	ˈoː	0.125
m	-	0.125
ŋ	ɑ	0.118
ɡ̊	k	0.111
ɡ̊	-	0.111
n	nː	0.111
l	l	0.111
ˈɒ	ˈɔ	0.105
ˈɒ	ˈo	0.105
ˈɒ	-	0.105
ˈiː	ˈʉːə̯	0.087
ˈiː	ˈɪ	0.087
ˈiː	ˈæː	0.087
ˈiː	ˈyːœ̯	0.087
m	ɔ	0.083
s	s_j	0.079
s	-	0.079
ɡ̊	ʥ	0.074
ɡ̊	kː	0.074
d̥	t	0.073
l	ˈʉːə̯	0.056
l	-	0.056
