Venetian	Neapolitan	probability
#>	#>	1.0
<#	<#	0.967
a	ə	0.664
a	a	0.164
b	b	0.408
b	v	0.408
b	-	0.106
b	ʎ	0.071
d	d	0.573
d	t	0.2
d	ɾ	0.077
d	-	0.067
d	n	0.062
e	ə	0.682
e	i	0.133
f	f	1.0
f_j	ʃ	1.0
i	i	0.622
i	a	0.125
i	ə	0.1
i	-	0.098
i	j	0.064
j	j	0.473
j	ʎ	0.144
j	ɲ	0.109
j	i	0.073
j	-	0.058
j	w	0.058
j	ɾ	0.058
j	ˈi	0.051
k	k	1.0
l	l_ə	0.355
l	l	0.302
l	-	0.101
l	r	0.088
l	w	0.088
l	ɾ	0.068
m	m	0.991
n	n	0.929
n	ɲ	0.051
o	ə	0.604
o	u	0.106
o	l_ə	0.074
p	p	0.876
p	k	0.112
r	ɾ	0.679
r	r	0.26
r	-	0.051
r_#>	#>	1.0
s	s	0.506
s	ʃ	0.398
s	ʦ	0.09
t	t	0.972
u	u	0.53
u	a	0.322
v	v	0.661
v	p	0.146
v	v_j	0.088
v	-	0.071
w	w	0.527
w	-	0.459
z	ʃ	0.291
z	ʤ	0.243
z	-	0.152
z	s	0.07
z	ɲ	0.06
z	ʦ	0.052
ŋ	n_ə	0.356
ŋ	n	0.327
ŋ	ŋ	0.154
ŋ	ɲ	0.077
ŋ	m	0.056
ɡ	ɡ	0.426
ɡ	k	0.371
ɡ	-	0.198
ɰ	l	0.933
ɰ	l_w	0.07
ɲ	ɲ	0.754
ɲ	ʤ	0.119
ɲ	n	0.115
ʤ	ʎ	0.422
ʤ	ɡ	0.223
ʤ	ɲ	0.223
ʤ	-	0.103
ʧ	k_k	0.567
ʧ	k_j	0.238
ʧ	k	0.116
ˈa	ˈa	1.0
ˈe	ˈe	0.314
ˈe	ˈɛ	0.277
ˈe	ˈi	0.25
ˈe	ˈi_l	0.072
ˈi	ˈi	0.732
ˈi	ˈi_ʎ	0.073
ˈo	ˈu	0.357
ˈo	ˈɔ	0.331
ˈo	ˈo	0.31
ˈu	ˈu	0.739
ˈu	ˈu_j	0.093
ˈu	j_ˈu	0.061
ˈu	t_ˈu	0.057
ˈu	ˈa	0.056
ˈɔ	ˈɔ	0.789
ˈɔ	ˈu	0.121
ˈɔ	ˈo	0.081
ˈɛ	ˈɛ	0.546
ˈɛ	ˈɛ_l	0.177
ˈɛ	ˈe	0.149
