Emilian	Emilian	probability
θ	θ	1.0
ˈiː_r	ˈi_ɾ	1.0
ˈi	ˈe	1.0
ˈa_ŋ	ˈa_n	1.0
ˈa_j	ˈe	1.0
ʤ	-	1.0
ŋ_#>	ŋ_#>	1.0
z_#>	θ_#>	1.0
w	w	1.0
v_ˈɛ	b_ˈɛ	1.0
u_l	o	1.0
s_e	θ_ˈe	1.0
r_t	ɾ_t	1.0
r_e	ɾ	1.0
p_j	ʧ	1.0
p	p	1.0
o	-	1.0
m_#>	m_ɪ_#>	1.0
m	m	1.0
k_#>	k_ʊ_#>	1.0
k	k	1.0
j_l	l_ʊ	1.0
j_a	ɐ	1.0
f_j	ʧ	1.0
f	f	1.0
a_ŋ	ɑ	1.0
a_r	e_ɾ	1.0
<#_ˈɔː	<#_ˈɔ	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈaː	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_ð	<#_ʃ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#	<#_a	1.0
r	ɾ	0.891
ɡ	ɣ	0.812
ˈe	ˈi	0.789
l	l	0.784
ɲ	ɲ	0.778
ʧ	ɟ	0.75
a	ɐ	0.75
ˈɛː	ˈɛ	0.714
ˈæ	ˈe	0.714
l_#>	l_#>	0.714
b	b	0.714
ˈʌu̯	ˈo	0.7
ˈʌ	ˈo	0.7
#>	ʊ_#>	0.697
s	s	0.694
t	t	0.667
ˈaː	ˈa	0.625
ð	-	0.6
v	b	0.6
e	e	0.6
ˈɛ	ˈa	0.592
i	i	0.571
n	-	0.562
ˈuː	ˈu	0.545
ˈiː	ˈe	0.545
ˈɔː	ˈɔ	0.529
ˈɔ	ˈɔ	0.5
ˈɔ	ˈo	0.5
z	s_e	0.5
z	-	0.5
v_#>	β_ʊ_#>	0.5
v_#>	β_ɪ_#>	0.5
j	ɟ	0.5
e_r	ɾ	0.5
e_n	ɪ	0.5
e_n	n_ʊ	0.5
d	d	0.484
ˈo	ˈu	0.471
u	o	0.455
ŋ	n	0.444
n	n	0.438
i	-	0.429
ˈa	ˈe	0.407
ð	ʃ	0.4
v	β	0.4
e	ˈi	0.4
u	u	0.364
j	-	0.333
ˈʌu̯	ˈɔ	0.3
ˈʌ	-	0.3
d	ð	0.29
ˈɛː	-	0.286
ˈæ	-	0.286
l_#>	#>	0.286
ˈuː	ˈɔ	0.273
ˈiː	-	0.273
ˈa	ˈɑ	0.259
ŋ	ŋ	0.259
ˈaː	-	0.25
ʧ	ʧ	0.25
e_r	ɾ_ʊ	0.25
e_r	ɾ_ɪ	0.25
ˈo	ˈo	0.235
ɲ	-	0.222
l	-	0.216
ˈe	-	0.211
#>	ɪ_#>	0.211
s	e_s	0.194
ɡ	ɡ	0.188
ŋ	ɲ	0.185
ˈɛ	ˈɛ	0.184
ˈuː	-	0.182
ˈiː	ˈi	0.182
u	-	0.182
a	a	0.181
ˈɔː	ˈo_w	0.176
ˈɔː	ˈo	0.176
ˈo	-	0.176
j	ˈe	0.167
d	-	0.161
t	ð	0.154
ˈa	ˈa	0.148
b	β_o	0.143
b	β	0.143
t	j_t	0.128
ˈaː	ˈe	0.125
ˈɔː	-	0.118
ˈo	ˈɔ	0.118
ˈa	ˈɛ	0.111
ŋ	-	0.111
ˈɛ	ˈe	0.082
r	r	0.078
ˈa	-	0.074
#>	s_#>	0.066
d	a_ð	0.065
ˈɛ	-	0.061
s	ʃ	0.056
s	j_ʃ	0.056
t	-	0.051
