Zeelandic	Bokmål Norwegian	probability
ˈɒː	-	1.0
ˈɑu̯	-	1.0
ˈæi̯	ˈæɪ̯	1.0
ˈæ_ɾ	ɾ	1.0
ˈuːə̯	-	1.0
ˈoː	-	1.0
ˈiːə̯	ˈeː	1.0
ʋ	ʋ	1.0
ɾ_t	ʈː	1.0
ɫ_ə	lː	1.0
ə_ɾ	ɾ_ə	1.0
z_ə	s_ə	1.0
z	s	1.0
x_t	tː	1.0
v_ə	ʋ_ə	1.0
v	f	1.0
s_x	ʂ	1.0
n_d	nː	1.0
l	l	1.0
k	k	1.0
iː	ə	1.0
i	ɪ	1.0
d̥	d	1.0
b	b	1.0
ɫ	l	0.942
ɾ	ɾ	0.906
ə	ə	0.81
s	s	0.805
m	m	0.791
ˈyː	ˈʉː	0.775
ˈu	ˈʉ	0.755
ŋ	ŋː	0.754
p	p	0.744
ˈiː	ˈyː	0.696
ˈøː	-	0.657
ˈʏ	-	0.651
ˈɑ	ˈɑ	0.632
t	t	0.629
ˈʊə̯	ˈøː	0.626
ˈuː	ˈuː	0.577
ˈɪ	ˈɪ	0.546
ˈɛː	ˈoː	0.546
ˈi	ˈiː	0.543
x	-	0.497
n	n	0.478
ˈæ	ˈɛ	0.476
ˈi	ˈɪ	0.457
d	d	0.457
d	tʰ	0.437
ˈuː	-	0.423
ˈeː	ˈeː	0.421
n	nː	0.408
ˈɪə̯	-	0.398
ˈɔ	ˈʉ	0.369
ˈʏ	ˈʉ	0.349
ˈøː	ˈœ	0.343
ˈɪə̯	ˈæɪ̯	0.33
ˈeː	ˈʉː	0.29
ˈeː	ˈiː	0.29
ˈɪə̯	ˈøː	0.271
ˈæ	ˈɑ	0.271
ˈɛː	-	0.254
ˈæ	-	0.253
ˈɪ	-	0.246
ŋ	-	0.246
ˈu	ˈuː	0.245
x	ɡː	0.232
t	tː	0.227
ˈyː	-	0.225
m	mː	0.209
ˈɪ	ˈiː	0.208
ˈɛː	ˈɑː	0.199
ˈiː	ˈiː	0.197
s	s_k	0.195
p	-	0.194
x	j	0.167
ˈʊə̯	-	0.166
ˈʊə̯	ˈuː	0.159
ˈɔ	ɾ	0.156
ˈɔ	ˈɔ	0.153
ˈɔ	ˈœ	0.13
ˈɔ	-	0.13
n	-	0.114
ˈiː	-	0.107
d	-	0.106
ˈɑ	ˈɑː	0.103
x	ɡ	0.103
ˈɑ	-	0.094
t	-	0.091
ˈɑ	ˈɛ	0.086
ˈɑ	ˈɔ	0.085
ə	-	0.081
p	pː	0.063
ˈɔ	ˈʏ	0.061
ɫ	lː	0.058
t	ʈ	0.053
