Campidanese	Campidanese	probability
ˈɔ_i	ˈɔ_f	1.0
ˈo_ɣ	j_ˈɛ	1.0
ˈo_u	ˈɔ_f	1.0
ʃ	s	1.0
ɲ	-	1.0
ɛ	-	1.0
ɖː	l	1.0
ɔ̆	-	1.0
ɔ_z	s	1.0
ŋ	ŋ	1.0
ð_u	t	1.0
z_ĭ	s	1.0
w	-	1.0
ŭ	-	1.0
t_i	ʨ	1.0
r	r	1.0
p_u_z_ŭ_#>	p_#>	1.0
p	p	1.0
o	-	1.0
nː	n	1.0
n_ʤ	ɲ	1.0
m	m	1.0
k_ɾ	k	1.0
j	-	1.0
i_n_i_#>	#>	1.0
i_#>	#>	1.0
f	f	1.0
b_ɾ	v	1.0
ă	-	1.0
a_#>	#>	1.0
<#_ʤ	<#_ʥ	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_a_r	<#_r	1.0
l	l	0.931
a	ə	0.93
u_#>	#>	0.929
n	n	0.896
t	t	0.875
d	d	0.846
ʒ	ʃ	0.818
ʧ	ʧ	0.778
ð	d	0.75
ɾ	r	0.735
s	s	0.686
ɡ	-	0.667
t_u_#>	ʨ_#>	0.667
e	ə	0.667
z	s	0.636
ʤ	ʃ	0.6
ɔ	o	0.6
<#_ˈa	<#_ˈa	0.6
ˈe	ˈɛ	0.571
ɭː	ʎ	0.571
ˈu	ˈu	0.567
ɣ	-	0.545
k	ʨ	0.541
β	r	0.5
β	-	0.5
<#	<#_ˈa	0.5
<#	<#_d	0.5
#>	ə_#>	0.5
#>	t_#>	0.5
i	r	0.486
ɣ	ʎ	0.455
b	v	0.452
ɭː	l	0.429
b	b	0.419
k	k	0.405
ˈɔ	ˈu	0.4
ʤ	-	0.4
ɔ	-	0.4
<#_ˈa	<#_ˈɔ	0.4
ˈa	ˈa	0.377
ˈo	ˈu	0.375
ˈa	ˈaː	0.358
ɡ	ɡ	0.333
u	-	0.333
t_u_#>	#>	0.333
e	-	0.333
ˈi	ˈiː	0.316
ˈɛ	ˈɛ	0.3
ˈe	-	0.286
ˈi	ˈi	0.263
ˈo	ˈɔ	0.25
ˈo	-	0.25
ð	t	0.25
ˈɔ	ˈuː	0.24
s	ʃ	0.229
ʧ	-	0.222
u	r	0.222
ˈɛ	ˈa_j	0.2
i	-	0.2
ɾ	l	0.184
ʒ	-	0.182
z	ʦ	0.182
z	-	0.182
ˈu	ˈiː	0.167
ˈu	ˈi	0.167
ˈɔ	ˈɔː	0.16
ˈi	ˈa_j	0.158
d	t	0.154
ˈe	ˈe	0.143
ˈɛ	ˈɛː	0.133
ˈo	ˈɔː	0.125
t	-	0.125
ˈɔ	ˈo	0.12
i	j	0.114
i	i	0.114
ˈa	ˈa_w	0.113
u	w	0.111
u	n	0.111
u	k	0.111
u	i	0.111
n	-	0.104
ˈɛ	ˈeː	0.1
ˈu	ˈuː	0.1
s	-	0.086
i	ə	0.086
ˈɔ	-	0.08
ˈi	ˈeː	0.079
ˈi	ˈe	0.079
u_#>	w_#>	0.071
l	ʎ	0.069
ˈɛ	ˈiə̯	0.067
ˈɛ	j_ˈa	0.067
ˈɛ	j	0.067
ˈɛ	-	0.067
b	ʒ	0.065
b	-	0.065
ˈa	ˈɔ	0.057
ˈa	w	0.057
k	-	0.054
ˈi	ˈɛ	0.053
ˈi	ˈi_n	0.053
