Nuorese	Nuorese	probability
β_u	f	1.0
ˈɛ_s	ɛ	1.0
ˈɛ_n	ɑ̃	1.0
ˈɔ_t	u	1.0
ˈɔ_n	ɔ̃	1.0
ˈu_ɾ	u	1.0
ˈu_t	ɥ	1.0
ˈu_k	u	1.0
ˈo_n	ɔ̃	1.0
ˈo_k	ø	1.0
ˈi_n	ɛ̃	1.0
ˈe_ɖː	o	1.0
ˈa_β	o	1.0
ˈa_ɾ	e	1.0
ˈa_ð	e	1.0
ˈa_t	ɛ	1.0
ˈa_n	ɛ̃	1.0
ˈa_k	ɛ	1.0
ʦ	s	1.0
ʣ_a	j	1.0
ɾ_t	ʁ	1.0
ɣ_ɛ	a	1.0
ɛ̆	-	1.0
ɛ_ɾ	ʁ	1.0
ɖː	-	1.0
ɔ_n	ɔ̃	1.0
ŋ	-	1.0
ð_ɛ	a	1.0
ð	-	1.0
z_ɔ̆_#>	#>	1.0
z	-	1.0
ŭ	-	1.0
u_z	ø	1.0
s_ˈɛ	s_w	1.0
s_u	o	1.0
s_t	t	1.0
s_p	p	1.0
s_k	k	1.0
r	ʁ	1.0
p_ɾ	p_l	1.0
nː_u	ɑ̃	1.0
n_ɛ_#>	#>	1.0
n_u_#>	ɛ̃_#>	1.0
n_t	ɑ̃	1.0
n_a	n	1.0
m_a_#>	m_#>	1.0
k_ˈɔ	k	1.0
k_ˈa	ʃ	1.0
k_ɛ	a	1.0
k_a	ʃ	1.0
f	f	1.0
b_ˈe	v	1.0
ă	-	1.0
a_#>	#>	1.0
<#_ˈo	<#_œ	1.0
<#_ʣ	<#_ʒ	1.0
<#_ɾ	<#_ʁ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_k	1.0
ɛ_#>	#>	0.958
u_#>	#>	0.941
i	-	0.905
l	l	0.889
ɾ	ʁ	0.857
d	d	0.818
p	p	0.778
m	m	0.769
ˈo	ɔ	0.75
ɔ	-	0.75
t_a_#>	t_#>	0.75
j	-	0.667
e	-	0.667
<#_i	<#_e	0.667
a	a	0.636
ˈe	-	0.615
ʣ	-	0.6
s	s	0.6
k_ɾ	j	0.6
<#_ˈa	<#_a	0.6
o	ɔ	0.571
t	-	0.56
β	-	0.545
ɣ	ɡ	0.5
ɣ	-	0.5
nː	n	0.5
nː	d	0.5
b	v	0.486
ˈi	i	0.463
b	b	0.459
β	v	0.455
o	-	0.429
ˈɔ	œ	0.4
ʣ	j	0.4
s	-	0.4
k_ɾ	k_l	0.4
<#_ˈa	<#	0.4
ˈu	y	0.391
ˈe	ɛ	0.385
ɡ	ʒ	0.385
ɡ	ɡ	0.385
n	ɑ̃	0.375
n	n	0.375
t	t	0.36
ˈɔ	ɔ	0.35
ˈɛ	ɛ	0.348
j	ʒ	0.333
e	ə	0.333
<#_i	<#	0.333
u	u	0.3
u	-	0.3
k	k	0.289
k	-	0.289
ˈa	ɛ	0.281
ˈa	a	0.281
ɛ	a	0.267
ɛ	-	0.267
ˈu	u	0.261
ˈo	u	0.25
ɔ	ɔ	0.25
t_a_#>	#>	0.25
n	-	0.25
k	s	0.237
ɡ	-	0.231
m	-	0.231
a	l	0.227
p	-	0.222
ɛ	ə	0.2
u	ø	0.2
u	l	0.2
k	ʃ	0.184
d	-	0.182
ˈɛ	w	0.174
ˈɛ	j	0.174
ˈɛ	i	0.174
ˈu	w	0.174
ˈu	-	0.174
ˈi	ɛ	0.171
ˈi	w	0.171
ˈɔ	u	0.15
a	-	0.136
ɛ	j	0.133
ɛ	i	0.133
ˈɛ	-	0.13
l	-	0.111
ˈɔ	-	0.1
ˈi	w_a	0.098
ɾ	-	0.095
i	z	0.095
ˈa	ɛ̃	0.094
ˈa	o	0.094
ˈa	e	0.094
ˈa	-	0.094
t	ʁ	0.08
ˈa	ʁ	0.062
u_#>	i_#>	0.059
b	-	0.054
