Gascon	Italian	probability
d	d	1.0
y	u	1.0
ɡ	ɡ	1.0
i	i	0.701
l	j	0.291
r	r	0.611
w	-	0.131
ɔ	a	0.931
ʎ	kː_j	0.251
ˈɛ	j_ˈɛ	0.161
b	b	0.382
e	a	0.072
e	i	0.202
i	o	0.22
l	l	0.562
n	n	0.802
p	p_o	0.062
s	s	0.602
ð	t	0.72
ŋ	n	0.102
ŋ	n_o	0.442
ɣ	-	0.402
ʒ	ʤ	0.902
ʦ	ʧ_e	0.682
ˈi	ˈi	0.912
e	o	0.113
e	e_r	0.143
h	ʤ	0.073
r	r_o	0.073
w	o	0.173
w	e	0.23
z	z	0.123
z	-	0.403
ɣ	k	0.173
ˈa	ˈa_r	0.163
ˈe	ˈe	0.443
ˈu	ˈo	0.613
ˈy	ˈu	0.793
ˈɔ	ˈɔ	0.773
ˈɛ	ˈa	0.223
a	a	0.94
e	e	0.24
j	sː_o	0.124
l	lː	0.094
s	ʧ	0.144
t	t_o	0.084
t	-	0.094
t	tː_e	0.134
u	o	0.864
ɲ	n	0.104
ɾ	e_r	0.144
ʎ	ʎː_o	0.174
j	-	0.355
s	-	0.065
t	tː_o	0.155
w	w	0.155
ɣ	ɡ	0.425
j	o	0.226
s	ʧː	0.166
t	t	0.356
u	ˈo	0.136
z	ʤ	0.276
ʎ	-	0.096
ˈu	ˈo_r	0.086
ˈu	w_ˈɔ	0.156
ˈɛ	ˈɛ	0.616
h	f	0.927
k	kː	0.077
k	k_o	0.107
k	k	0.747
r	r_n	0.157
z	ʧ	0.197
ŋ	n_e	0.207
ɲ	ɲː	0.697
ˈu	ˈu	0.087
ˈɔ	w_ˈɔ	0.137
β	p	0.267
β	v	0.597
b	v	0.618
j	j	0.158
m	m	0.968
n	n_t	0.198
p	p	0.938
w	l_o	0.098
w	l	0.158
ð	d	0.28
ɾ	r	0.708
ʒ	ʤː	0.098
ʦ	ʦː_o	0.318
ˈu	ˈɔ	0.058
ˈy	ˈu_r	0.128
e	r_e	0.169
i	e	0.079
j	ʤː	0.09
r	-	0.129
t	t_e	0.059
t	tː	0.079
ŋ	ŋ	0.249
ɲ	ɲː_o	0.199
ɾ	-	0.129
ʎ	ʎː	0.199
ʎ	l	0.279
ˈa	ˈa	0.789
ˈe	e	0.079
ˈe	ˈɛ	0.449
ˈɔ	ˈo	0.09
β	p_r	0.09
