Belarusian	Czech	probability
b	b	1.0
bʲ	b	1.0
d	d	1.0
i	iː	1.0
j	j	1.0
k	k	1.0
kʲ	k	1.0
lʲ	l	1.0
mʲ	m	1.0
n	n	1.0
p	p	1.0
pʲ	p	1.0
s	s	1.0
sʲ	s	1.0
t	t	1.0
u	ˈu	1.0
v	v	1.0
x	x	1.0
xʲ	x	1.0
z	z	1.0
zʲ	z	1.0
ɣ	ɦ	1.0
ɨ	iː	1.0
ʂ	ʃ	1.0
ʐ	ʒ	1.0
ʦ	ʦ	1.0
ˈu	ˈu	1.0
ˈɛ	ˈɛ	1.0
ˈɵ	ˈɛ	1.0
a	ˈɛ	0.051
r	ˈr̩	0.061
vʲ	v_j	0.631
ʣʲ	d	0.801
ˈo	l_ˈu	0.061
ˈo	ˈaː	0.061
ˈo	ˈɛ	0.171
ˈæ	ɛ	0.521
a	-	0.052
nʲ	ɲ	0.532
æ	ˈɛ	0.82
ˈa	a	0.882
ˈo	ɛ	0.062
ˈɨ	ˈɪ	0.92
a	a	0.163
a	ˈo	0.173
e	-	0.533
m	m	0.803
r	r	0.593
ˈo	ˈuː	0.193
ˈæ	ˈa	0.33
ɫ	l	0.904
ʦʲ	c	0.224
ʧ	ʧ	0.644
ˈi	ɪ	0.4
w	f	0.445
w	-	0.555
ˈa	ˈaː	0.05
ˈe	ˈiː	0.185
a	o	0.286
ɫ	d_l	0.096
ʦʲ	t	0.776
ˈe	-	0.086
ˈi	ˈɪ	0.6
e	ɛ	0.467
m	m̩	0.197
r	r̝̊	0.077
ˈe	ˈɛ	0.597
ˈo	ˈo	0.387
nʲ	n	0.468
æ	ɛ	0.18
ʧ	c	0.128
ʧ	ʦ	0.228
ˈa	ˈa	0.068
ˈe	ɛ	0.088
ˈɨ	ˈiː	0.08
a	ɛ	0.159
r	r̝	0.269
vʲ	v	0.369
ʣʲ	ɟ	0.199
ˈæ	ˈɛ	0.149
