Old English	Dutch	probability
a	-	1.0
b	b	0.979
bː	b	1.0
d	t	0.504
d	d	0.401
d	-	0.095
dː	d	1.0
e	ə	0.635
e	ˈɑu̯	0.263
e	ˈoː	0.093
eo̯	ə	1.0
f	v	0.717
f	f	0.283
h	ɦ	0.976
i	-	0.549
i	ɪ	0.238
i	ə	0.213
iː	ə	1.0
iːy̯	i	1.0
j	χ	0.743
j	j	0.164
k	k	0.923
kː	k	1.0
l	ɫ	0.971
lː	ɫ	1.0
l̥	ɫ	1.0
m	m	0.973
mː	m	1.0
n	n	0.966
nː	n	1.0
o	ə	0.943
o	-	0.057
p	p	1.0
pː	p	1.0
r	ɾ	0.966
rː	ɾ	1.0
r̥	ɾ	1.0
s	z	0.579
s	s	0.402
t	t	0.99
tː	t	1.0
v	v	0.647
v	f	0.353
w	ʋ	0.79
w	-	0.153
x	χ	1.0
z	z	0.64
z	s	0.36
ç	χ	0.888
ç	-	0.112
ð	-	0.632
ð	d	0.368
ŋ	ŋ	1.0
ɑ	ə	0.917
ɑ	-	0.083
ɡ	χ	0.729
ɡ	-	0.271
ɣ	χ	1.0
ɫ	ɫ	0.719
ɫ	-	0.197
ɫ	n	0.066
ʃ	s	1.0
ʃː	s	1.0
ʍ	ʋ	1.0
ʤ	χ	1.0
ʤː	χ	1.0
ʧ	k	1.0
ʧː	k	1.0
ˈe	ˈɛ	0.429
ˈe	ˈeː	0.41
ˈe	-	0.125
ˈeo̯	ˈɛ	0.467
ˈeo̯	ˈɑ	0.192
ˈeo̯	ˈaː	0.171
ˈeo̯	ˈeː	0.143
ˈeː	ˈu	0.495
ˈeː	ˈɛi̯	0.256
ˈeː	ˈi	0.119
ˈeː	ˈɪ	0.082
ˈeːo̯	ˈi	0.717
ˈeːo̯	ˈɛi̯	0.084
ˈeːo̯	-	0.081
ˈeːo̯	ˈɪ	0.075
ˈi	ˈɪ	0.664
ˈi	ˈɛ	0.173
ˈi	ˈeː	0.085
ˈiy̯	ˈɑ	0.489
ˈiy̯	ˈeː	0.327
ˈiy̯	ˈɪ	0.184
ˈiː	ˈɛi̯	0.852
ˈiː	ˈi	0.08
ˈiː	ˈɪ	0.068
ˈiːy̯	ˈi	0.367
ˈiːy̯	ˈoː	0.355
ˈiːy̯	ˈyː	0.246
ˈo	ˈoː	0.648
ˈo	ˈɔ	0.285
ˈoː	ˈu	0.601
ˈoː	ˈaː	0.227
ˈoː	ˈɑ	0.172
ˈu	ˈɔ	0.721
ˈu	ˈoː	0.223
ˈu	ˈʏ	0.056
ˈuː	ˈœy̯	0.643
ˈuː	ˈyː	0.149
ˈuː	ˈu	0.108
ˈuː	ˈɔ	0.1
ˈy	ˈʏ	0.487
ˈy	ˈɔ	0.213
ˈy	ˈoː	0.175
ˈy	-	0.125
ˈyː	ˈœy̯	0.541
ˈyː	-	0.209
ˈyː	ˈyː	0.129
ˈyː	ˈɛ	0.12
ˈæ	ˈɑ	0.8
ˈæ	ˈaː	0.2
ˈæɑ̯	ˈɑ	0.559
ˈæɑ̯	ˈaː	0.248
ˈæɑ̯	ˈɑu̯	0.121
ˈæɑ̯	ˈɛ	0.072
ˈæː	ˈaː	0.791
ˈæː	ˈeː	0.122
ˈæːɑ̯	ˈoː	0.625
ˈæːɑ̯	ˈaː	0.375
ˈɑ	ˈɑ	0.716
ˈɑ	ˈaː	0.259
ˈɑː	ˈeː	0.721
ˈɑː	ˈɛi̯	0.124
ˈɑː	ˈaː	0.071
ˈɛ	ˈɑ	0.839
ˈɛ	ˈɛ	0.161
θ	d	0.671
θ	t	0.32
