Saterland Frisian	Dutch	probability
a	-	0.525
a	ə	0.475
b	b	0.983
d	d	0.451
d	t	0.396
d	-	0.091
f	v	0.891
f	f	0.109
h	ɦ	0.951
j	ˈi	0.446
j	-	0.205
j	χ	0.168
j	j	0.116
j	ˈeː	0.065
k	k	0.695
k	χ	0.249
k	-	0.055
l	ɫ	0.974
m	m	0.952
n	n	0.978
p	p	1.0
r	ɾ	0.964
s	s	0.555
s	z	0.373
s	k	0.067
t	t	0.866
t	d	0.095
v	ʋ	0.785
v	v	0.101
v	f	0.057
v	-	0.057
w	ˈɛi̯	0.669
w	ʋ	0.331
x	χ	0.832
x	f	0.085
x	ŋ	0.068
z	z	0.614
z	s	0.386
ŋ	ŋ	0.92
ŋ	n	0.08
ə	ə	0.906
ə	-	0.091
ɡ	χ	1.0
ɣ	χ	0.956
ɪ	ə	0.606
ɪ	-	0.273
ɪ	ɪ	0.121
ɫ	ɫ	1.0
ˈa	ˈɑ	0.462
ˈa	ˈɛ	0.34
ˈa	ˈɔ	0.197
ˈaː	ˈɑ	0.722
ˈaː	ˈeː	0.278
ˈaːi̯	ˈaː	0.51
ˈaːi̯	ˈɑ	0.245
ˈaːi̯	ˈɛ	0.245
ˈaːu̯	ˈi	0.722
ˈaːu̯	ˈoː	0.183
ˈaːu̯	ˈɔ	0.095
ˈeː	ˈeː	0.682
ˈeː	ˈoː	0.213
ˈeː	ˈɛi̯	0.059
ˈeːu̯	ˈeː	1.0
ˈi	ˈɛi̯	0.585
ˈi	ˈi	0.205
ˈi	ˈeː	0.14
ˈi	ˈɪ	0.07
ˈiː	ˈɪ	0.348
ˈiː	ˈaː	0.199
ˈiː	ˈɛ	0.167
ˈiː	ˈi	0.077
ˈiː	ˈɛi̯	0.066
ˈiː	-	0.063
ˈiː	ˈeː	0.063
ˈiːu̯	ˈeː	1.0
ˈoː	-	0.439
ˈoː	ˈoː	0.253
ˈoː	ˈaː	0.112
ˈoː	ˈɑ	0.085
ˈoː	ˈeː	0.059
ˈoːu̯	ˈɑ	0.329
ˈoːu̯	ˈu	0.256
ˈoːu̯	ˈaː	0.161
ˈoːu̯	ˈoː	0.157
ˈoːu̯	ˈɔ	0.063
ˈu	ˈœy̯	0.595
ˈu	ˈu	0.248
ˈu	ˈɔ	0.156
ˈuː	ˈoː	0.273
ˈuː	ˈyː	0.231
ˈuː	ˈœy̯	0.215
ˈuː	ˈɔ	0.104
ˈuː	ˈu	0.098
ˈuː	-	0.064
ˈyː	ˈi	0.868
ˈyː	ˈœy̯	0.132
ˈøː	ˈœy̯	1.0
ˈœː	ˈoː	1.0
ˈɔ	ˈɑ	0.357
ˈɔ	ˈɔ	0.263
ˈɔ	ˈʏ	0.231
ˈɔ	ˈɛ	0.149
ˈɔː	ˈɑ	0.274
ˈɔː	ˈaː	0.259
ˈɔː	ˈɛ	0.128
ˈɔː	ˈɔ	0.114
ˈɔː	ˈeː	0.101
ˈɔː	ˈoː	0.088
ˈɔːɪ̯	ˈɛi̯	1.0
ˈɛ	ˈɛ	0.478
ˈɛ	ˈɑ	0.281
ˈɛ	ˈaː	0.12
ˈɛ	ˈɛi̯	0.12
ˈɛɪ̯	ˈaː	0.362
ˈɛɪ̯	ˈu	0.355
ˈɛɪ̯	ˈi	0.084
ˈɛɪ̯	ˈeː	0.069
ˈɛː	ˈɛ	0.473
ˈɛː	ˈʏ	0.227
ˈɛː	ˈɑ	0.215
ˈɛː	-	0.085
ˈɪ	ˈɪ	0.867
ˈɪ	ˈɛ	0.095
ˈʊ	ˈɔ	0.787
ˈʊ	ˈaː	0.09
ˈʊ	ˈɛ	0.064
