Russian	Kashubian	probability
ˈɵ	ˈɛ	1.0
ˈɨ	ˈə	1.0
ˈu	ˈõ	1.0
ˈo_ɫ	w	1.0
ʨ	ʧ	1.0
ʦ	ʦ	1.0
ʐ	ʒ	1.0
ʂ	ʃ	1.0
ɫ_ɨ	w	1.0
ɫ	w	1.0
ɨ	i	1.0
ɡ	ɡ	1.0
zʲ	z	1.0
z	z	1.0
x	x	1.0
v	v	1.0
t	t	1.0
sʲ	s	1.0
s_#>	s_#>	1.0
s	s	1.0
rʲ	ʐ	1.0
r	r	1.0
pʲ	p	1.0
p	p	1.0
nʲ	ɲ	1.0
n_ɨ	n	1.0
n	n	1.0
m	m	1.0
lʲ	l	1.0
kʲ	ʧ	1.0
k	k	1.0
j_#>	#>	1.0
j	i	1.0
dʲ	ʣ	1.0
d	d	1.0
<#_ɐ	<#_u̯ˈɛ	1.0
<#_j	<#_j	1.0
<#	<#_j	1.0
tʲ	ʦ	0.789
mʲ	m_j	0.714
ˈa	a	0.65
vʲ	v_j	0.5
ɐ	u̯ˈɛ	0.444
ə	ɔ	0.381
ˈe	ˈɛ	0.368
ˈi	ˈə	0.333
ˈi	ˈi	0.333
ˈi	-	0.333
ɐ	ˈɔ	0.333
ˈe	ˈa	0.316
vʲ	v	0.3
mʲ	m	0.286
ɪ	-	0.25
ɐ	-	0.222
ˈe	ˈe	0.211
ˈo	ˈu	0.208
ˈo	u̯ˈɛ	0.208
vʲ	f_j	0.2
ə	a	0.19
ə	-	0.19
ˈo	ˈɛ	0.167
ˈo	ˈɔ	0.167
ˈa	ˈa	0.15
ɪ	j_ˈɞ	0.15
ə	u̯ɛ	0.143
ˈo	ˈɞ	0.125
ˈo	-	0.125
ˈe	ɛ	0.105
tʲ	ʧ	0.105
tʲ	t	0.105
ˈa	ˈɞ	0.1
ˈa	ˈa_ŋ	0.1
ɪ	ˈe	0.1
ɪ	ˈa_ŋ	0.1
ɪ	ʤ	0.1
ɪ	ɛ	0.1
ɪ	e	0.1
ɪ	a_ŋ	0.1
ə	ɛ	0.095
