Belarusian	Belarusian	probability
ˈ	-	1.0
ʦʲ_æ	ʨ_ɛ	1.0
ʦ	ʦ	1.0
ʤ̥	ʨ	1.0
ʐ̊	ʒ̊	1.0
ʐ	ʒ	1.0
ʌ_ɫ	l	1.0
ʌ	-	1.0
ʉ	u	1.0
ʂ	ʃ	1.0
ɫ_#>	w_#>	1.0
ɣʲ	ɦ	1.0
ɣ	ɦ	1.0
ɛ	-	1.0
æ_z	a_z	1.0
z̥	z̥	1.0
zʲ	z	1.0
z	z	1.0
xʲ	xʲ	1.0
w_#>	w_#>	1.0
w	w	1.0
vʲ	ɥ	1.0
v	w	1.0
u	u	1.0
t_o	t_ɔ	1.0
t	t	1.0
sʲ	s	1.0
s	s	1.0
pʲ	pʲ	1.0
p	p	1.0
nʲ	ɲ	1.0
n	n	1.0
m	m	1.0
lʲ	l	1.0
kʲ	kʲ	1.0
k	k	1.0
j	j	1.0
d̥ʲ	d̥	1.0
d̥	d̥	1.0
d	d	1.0
b̥	b̥	1.0
b	b	1.0
a_ˈ	a	1.0
a_ʦʲ	x_ʨ	1.0
a_r	ʀ	1.0
a_d	ɔ_d	1.0
a_#>	ɔ_#>	1.0
<#_r	<#_ʀ	1.0
<#_a	<#_w_ɔ	1.0
#>	ɔ_#>	1.0
ʦʲ	ʨ	0.895
ɫ	w	0.875
x	x	0.833
ʣʲ	ʥ	0.75
ɨ	ɪ	0.706
ʧ	ʧ	0.667
i	i	0.667
ɵ	-	0.625
mʲ	mʲ	0.625
r	ʀ	0.607
bʲ	bʲ	0.6
e	e	0.484
o	ɔ	0.463
bʲ	b	0.4
æ	a	0.389
ɵ	ɔ	0.375
mʲ	m	0.375
a	a	0.355
ʧ	ʦ	0.333
e	ɛ	0.323
a	ɔ	0.323
r	ʀʲ	0.321
æ	ɛ	0.278
o	o	0.268
ʣʲ	d	0.25
ɨ	i	0.176
æ	e	0.167
æ	-	0.167
x	-	0.167
i	ɪ	0.167
i	-	0.167
a	ɛ	0.161
a	-	0.161
ɫ	d_w	0.125
ʦʲ	t	0.105
o	-	0.098
e	ɔ	0.097
e	-	0.097
o	e	0.073
r	ʃ	0.071
ɨ	u	0.059
ɨ	-	0.059
