Portuguese	Eastern Lombard	probability
b	b	1.0
f	f	1.0
k	k	1.0
l	l	1.0
m	m	1.0
p	p	1.0
s	s	1.0
w̃	ˈu	1.0
z	z	1.0
ɡ	ɡ	1.0
ɣ	ɡ	1.0
ɫ	l	1.0
ʁ	r	1.0
ʒ	z	1.0
ˈa	ˈa	1.0
β	-	1.0
j	e	0.311
v	-	0.481
ð	d	0.401
ɐ	n_a	0.051
ɐ	a	0.771
ʃ	ʧ	0.081
ˈe	ˈe	0.31
ˈɐ	ˈa	0.821
ˈɐ̃	-	0.331
ˈɔ	ˈø	0.131
ˈɔ	ˈu	0.301
ˈɛ	ˈɛ	0.781
u	o_l	0.052
ʃ	s	0.752
ˈe	ˈɛ	0.392
ˈẽ	ˈe	0.312
ˈo	ˈu	0.182
i	i	0.643
v	ʋ	0.13
w	-	0.093
ɨ	a	0.093
ɨ	i	0.183
ɨ	e	0.683
ˈɔ	ˈɔ	0.243
u	ˈø	0.084
ð	-	0.084
ɐ	-	0.104
ɾ	r_e	0.064
ʎ	j	0.274
ˈi	-	0.084
ˈɐ̃	ˈa_n	0.204
ˈɐ̃	ˈa	0.464
t	s	0.085
t	t	0.915
ð	t	0.515
ɐ	e	0.075
ɲ	ɲ	0.495
ɲ	n	0.505
ˈo	ˈø	0.205
ˈɔ	ˈo	0.325
n	n	0.956
ʎ	-	0.726
ˈo	ˈo	0.216
ˈu	ˈø	0.316
i	e	0.357
u	e	0.157
w	w	0.907
ʃ	-	0.167
ˈi	ˈe	0.257
ˈo	ˈɔ	0.397
ˈu	ˈo	0.17
d	d	0.988
u	j	0.168
u	o	0.28
v	b	0.388
ɾ	-	0.348
ɾ	r	0.588
ˈe	-	0.248
ˈẽ	n	0.688
ˈu	ˈy	0.478
j	-	0.689
u	-	0.259
ˈi	ˈi	0.659
ˈɐ	ˈɛ	0.179
ˈɛ	ˈe	0.219
