Dutch	Middle High German	probability
χ_ˈɑ	ɡ_ˈɑ	1.0
χ_ɾ	ɡ_r	1.0
χ_t	x_t	1.0
ˈʏ	ˈy	1.0
ˈɑu̯	ˈɑ_l	1.0
ˈøː	ˈɑ	1.0
ˈyː	ˈyː	1.0
ˈaː_t	ˈɑ_s̻ː	1.0
ʋ	w	1.0
ɾ_ə	r	1.0
ɾ_t	r_ʦ	1.0
ɪ	ə	1.0
ɦ	h	1.0
ə_ɫ	ə_l	1.0
ə_v̥	f	1.0
ə	ə	1.0
z_ˈoː	s_ˈu	1.0
z_ə	s_ə	1.0
w	-	1.0
v_ə	b_ə	1.0
v	v	1.0
s_χ	ʃ	1.0
s_t	s_t	1.0
p_ə	f_ə	1.0
n_z̥	n_s	1.0
n_d	n_t	1.0
k_n	kʰ_n	1.0
j	j	1.0
i	ɛ	1.0
d_ə	t_ə	1.0
b	b	1.0
ɫ	l	0.975
ɾ	r	0.968
m	m	0.963
ˈɑ	ˈɑ	0.944
n	n	0.896
ˈɪ	ˈi	0.874
χ	ɡ	0.814
z	s	0.805
ˈœy̯	ˈuː	0.786
ˈu	ˈuə̯	0.715
ˈi	ˈiə̯	0.691
ˈɛi̯	ˈiː	0.685
v̥	b̥	0.63
ˈɔ	ˈu	0.624
z̥	s	0.571
d̥	d̥	0.518
s	ʃ	0.51
ˈaː	ˈɑː	0.509
d	d	0.505
d̥	t	0.482
ŋ	ŋ	0.451
ˈeː	ˈei̯	0.438
z̥	s_ə	0.429
d	t	0.427
t	s̻	0.4
p	f	0.396
p	p͡f	0.369
ŋ	ŋ_ɡ	0.354
ˈoː	ˈo	0.339
ˈaː	ˈɑ	0.335
ˈɔ	ˈo	0.332
ˈeː	ˈɛ	0.329
ˈɛ	ˈɛ	0.325
k	kʰ	0.306
ˈu	ˈyə̯	0.285
t	ʦ	0.253
ˈɛ	ˈe	0.244
s	ʃː	0.219
k	xː	0.219
k	x	0.215
ˈœy̯	ˈyː	0.214
t	t	0.211
ˈɛi̯	ˈi_r	0.208
ˈoː	ˈou̯	0.196
ŋ	ɡ̊	0.195
z	ʃ	0.195
ˈoː	ˈoː	0.192
v̥	f	0.187
χ	kː	0.186
v̥	b_ə	0.182
ˈɛ	-	0.169
ˈi	-	0.159
ˈi	ˈɛ_h	0.15
k	k	0.147
ˈɛ	ˈi	0.144
s	s	0.142
ˈaː	-	0.131
s	x_s	0.129
p	p	0.127
ˈɛ	ˈɑ	0.118
ˈoː	ˈy	0.115
k	kː	0.113
p	fː	0.108
ˈɛi̯	ˈei̯	0.106
ˈeː	ˈeː	0.106
ˈoː	ˈøː	0.091
t	s̻ː	0.085
ˈɪ	-	0.078
ˈeː	-	0.077
d	tː	0.068
ˈɑ	-	0.056
t	ʦː	0.051
ˈeː	ˈi	0.05
