French	French	probability
ɲ	-	1.0
ɛ_ʁ	e_ɾ	1.0
ɛ_z	a_θ	1.0
ɔ_ʁ	o_ɾ	1.0
ø	ˈe_ɣ	1.0
z	θ	1.0
w_a	ˈe	1.0
v_ʁ	β_ɾ	1.0
p_l	ɟ͡ʝ	1.0
m	m	1.0
j_ɛ	j_ˈe	1.0
i_ʁ	ˈi_ɾ	1.0
b_#>	β_a_#>	1.0
a_ʁ	ɾ	1.0
<#_ʒ	<#	1.0
<#_ʁ	<#_r	1.0
<#_ɔ	<#_ˈo	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_f	<#	1.0
p	p	0.933
k	k	0.857
y	ˈu	0.818
v	b	0.8
ə	e	0.778
ʁ	ɾ	0.766
t	t	0.727
ʃ	k	0.714
b	b	0.714
d	d	0.706
l	l	0.704
ɡ	ɡ	0.7
n	n_a	0.684
s	s	0.651
f	f	0.625
œ	ˈo	0.615
a_#>	θ_#>	0.6
ɔ	w_ˈe	0.579
ɥ	ˈo	0.571
ɑ̃	n	0.538
<#_a	<#_ˈa	0.5
<#_a	<#_a	0.5
ɛ	ˈa	0.486
u	ˈo	0.474
ʒ	x	0.444
#>	o_#>	0.433
ɥ	ˈu	0.429
a_#>	j_#>	0.4
i	ˈi	0.394
ɔ̃	ˈo_n	0.385
œ	w	0.385
f	ˈe_β	0.375
a	a	0.344
ʒ	ɟ͡ʝ	0.333
o	ˈo	0.333
e	ˈa_ɾ	0.323
ɛ̃	ˈa_n	0.318
u	o	0.316
n	n	0.316
ɛ	ˈe	0.314
a	ˈa	0.312
ɑ̃	n_t	0.308
ɡ	ɣ	0.3
#>	a_#>	0.299
d	-	0.294
w	ˈe	0.292
ʃ	k_a	0.286
s	θ	0.256
w	-	0.25
o	ˈe_s	0.25
o	ˈa_l	0.25
j	x_a	0.235
ɔ̃	ˈe_n	0.231
ɔ̃	n	0.231
e	e_s	0.226
ʒ	-	0.222
ə	a	0.222
ɔ	o	0.211
v	β	0.2
ɛ̃	n_o	0.182
y	-	0.182
t	-	0.182
j	ˈe	0.176
j	x_o	0.176
j	-	0.176
#>	e_#>	0.172
w	e	0.167
o	ˈi_ʝ	0.167
a	ˈe	0.156
ɔ̃	-	0.154
ɑ̃	ˈa_ŋ	0.154
i	ˈe	0.152
i	j	0.152
l	ʝ_a	0.148
ɛ	j_ˈe	0.143
k	k_w	0.143
b	β	0.143
b	b_w	0.143
ɛ̃	ŋ	0.136
e	ˈa_ð	0.129
w	ˈu	0.125
j	ˈo	0.118
j	j_ˈe	0.118
ɔ	ˈo	0.105
ɔ	o_ɾ	0.105
u	ˈo_ð	0.105
u	-	0.105
e	ɾ	0.097
e	-	0.097
ɛ̃	ˈa	0.091
ɛ̃	ɲ_o	0.091
ɛ̃	t_o	0.091
ɛ̃	n	0.091
t	θ_ˈe	0.091
i	ˈi_ɣ	0.091
i	-	0.091
w	ˈu_n	0.083
w	ˈe_ð	0.083
l	ʝ	0.074
l	ɟ͡ʝ	0.074
p	ɟ͡ʝ	0.067
e	ˈa	0.065
e	o	0.065
a	β_ˈe	0.062
a	o	0.062
a	-	0.062
i	ʧ_o	0.061
i	o	0.061
ɛ	a	0.057
