Swiss German	Faroese	probability
fː	ʰp	1.0
k	-	1.0
lː	l̥	1.0
nː	nː	1.0
s	s	1.0
tː	j	1.0
ˈau̯	ˈɛːi̯	1.0
ˈe	ˈɛ	1.0
ˈeː	ˈɔ̯aː	1.0
ˈiː	ˈʊ̯iː	1.0
ˈuə̯	ˈɔːu̯	1.0
ˈyə̯	ˈøː	1.0
r	ɹ_ʊ	0.051
r	ɹ	0.821
sː	t	0.451
t	w	0.121
ə	a	0.541
ʃ	ʃ	0.301
ʋ	v	0.871
ʦ	ʰtː	0.121
ˈiə̯	ˈɔːu̯	0.821
ˈu	ˈɔ	0.301
ˈuː	ˈʉːu̯	0.711
ˈæ	ˈɛ	0.431
ˈæi̯	ˈaːi̯	0.361
d̥	tʰ	0.292
l	l_ʊ	0.052
ŋ	ɹ_#>	0.132
ə	ɪ	0.12
ˈi	ˈeː	0.092
ˈi	ˈɪ	0.682
ˈo	ˈuː	0.092
ˈyː	ˈɪ	0.322
ˈɒ	ˈɛːa̯	0.162
ˈɒː	ˈa	0.122
b̥	v_ʊ	0.103
b̥	b̥	0.683
n	n̥	0.113
t	j	0.103
ɡ̊	ɡ̊_v̥	0.123
ɡ̊ː	ɡ̊ː	0.273
ˈæ	j	0.243
ˈæi̯	ˈai̯	0.293
ˈɒ	ˈɔ	0.273
ˈɒː	ˈɛːa̯	0.323
h	-	0.264
i	ʊ	0.484
n	-	0.154
sː	ʰt	0.124
ɡ̊	-	0.274
ʃ	s_k	0.094
ˈy	ˈɪ	0.794
χ	-	0.294
d̥	d̥	0.395
f	p	0.05
l	l	0.755
sː	t_ʊ	0.425
t	tʰ	0.065
ŋ	ŋ	0.085
ə	-	0.15
ʃ	s	0.605
ʦ	tʰ	0.765
ˈoː	ˈoː	0.255
ˈɒ	ˈa	0.565
d̥	w	0.116
h	h	0.736
i	-	0.516
m	m_ʊ	0.226
n	n	0.66
ɡ̊	ɡ̊	0.446
ʋ	kʰ_v	0.06
ˈy	ˈiː	0.206
χ	k_ʊ	0.086
t	t	0.297
ɡ̊ː	ʤ̊ː	0.727
ˈæ	ˈeː	0.057
ˈæi̯	ˈai̯_n	0.147
ˈɒː	ˈɛːa̯_v	0.087
l	t_l̥	0.08
m	m	0.738
t	d̥	0.368
ŋ	n_d̥	0.198
ɡ̊	ɡ̊_ʊ	0.08
ˈi	ˈɛːa̯	0.188
ˈoː	ˈɔ	0.098
ˈoː	ˈɛːi̯	0.548
ˈyː	ˈʊ̯iː	0.678
ˈɒː	ˈɔ̯aː	0.468
χ	k	0.158
b̥	v	0.189
d̥	j	0.059
d̥	-	0.139
f	f	0.879
l	l̥	0.099
r	-	0.09
ŋ	ŋ_ɡ̊	0.539
ə	ʊ	0.189
ʋ	-	0.069
ʦ	ʈ	0.069
ˈiə̯	ˈʊ̯iː	0.179
ˈo	ˈœ	0.109
ˈo	ˈɔ	0.359
ˈo	ˈʊ	0.439
ˈoː	ˈɔ̯aː	0.099
ˈu	ˈʊ	0.699
ˈuː	ˈʊ	0.289
ˈæ	ˈøː	0.269
ˈæi̯	ˈɛ	0.199
χ	kʰ	0.429
