Eastern Lombard	Eastern Lombard	probability
ˈɛ_t	ˈɛ_tː	1.0
ˈu_n	ˈɔ_n	1.0
ˈi_f	ˈi_v	1.0
ˈe_l	ˈi_l	1.0
ˈa_r	ˈa_ɾ	1.0
ø	-	1.0
w	w	1.0
r_a	ɾ_a	1.0
p_j	c	1.0
p_#>	p_ʊ_#>	1.0
p	p	1.0
o_l	ʊ	1.0
l_ˈɛ	l_ˈi	1.0
l_s	w_s	1.0
f_j	ç	1.0
e_s	ɪ_ɕ	1.0
e_r	ɽ_ɪ	1.0
e_d	ˈi_ɾ	1.0
e_#>	ɪ_#>	1.0
d_a	t_a	1.0
a	a	1.0
<#_ˈɛ	<#_ˈa	1.0
<#_ˈø	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_ʐ	1.0
<#_o	<#_a	1.0
<#_n	<#_n	1.0
m	m	0.893
k	k	0.889
f	f	0.864
ˈu	ˈu	0.765
i	i	0.75
<#	<#_v	0.75
n	n	0.742
ɲ	ɲː	0.727
ŋ	ŋ	0.714
ˈa	ˈa	0.704
t	t	0.703
ˈɔ	ˈɔ	0.688
ˈo	ˈu	0.667
b	b	0.667
l	l	0.653
r	ɾ	0.652
ˈɛ	ˈɛ	0.625
ˈy	ˈu	0.6
ˈi	ˈi	0.577
ʤ	-	0.571
#>	ʊ_#>	0.566
j	ɟː	0.533
ˈø	ˈɔ	0.5
ˈa_s	ˈa_ʃː	0.5
ˈa_s	ˈa	0.5
ʧ	cː	0.5
ʋ	v	0.5
ʋ	-	0.5
e	i	0.45
ɡ	ɡ	0.417
ˈø	ˈu	0.409
ʧ	tː	0.4
#>	ɪ_#>	0.396
d	d	0.389
s	s	0.379
ˈe	ˈɛ	0.37
z	ʤ	0.357
z	j	0.357
ˈo	ˈɔ	0.333
ɡ	k	0.333
o	u	0.333
j	-	0.333
ˈɛ	ˈi	0.312
e	ɪ	0.3
ˈe	ˈi	0.296
ʤ	ʤː	0.286
ŋ	nː	0.286
l	ɖː	0.286
s	ɕ	0.276
r	r	0.261
ɡ	-	0.25
o	ʊ	0.25
o	-	0.25
i	-	0.25
d	ɾ	0.222
d	t	0.222
ˈy	ˈu_n	0.2
ˈy	-	0.2
ˈɔ	ˈu	0.188
ɲ	-	0.182
o	o	0.167
d	ʈ	0.167
b	v	0.167
t	tː	0.162
n	nː	0.161
ˈi	ˈi_n	0.154
e	-	0.15
<#	<#_j	0.15
ʤ	ɟ	0.143
z	ɕ	0.143
z	z	0.143
f	v	0.136
j	ˈi	0.133
ˈa	ˈa_n	0.13
ˈɔ	ˈa_w	0.125
s	ʃ	0.121
ˈu	ˈu_n	0.118
ˈu	ˈo	0.118
ˈi	ɪ	0.115
ˈe	ˈɛ_n	0.111
b	-	0.111
t	-	0.108
m	mː	0.107
ʧ	dː	0.1
e	a	0.1
<#	<#_a	0.1
n	-	0.097
ˈa	ˈa_r	0.093
ˈø	-	0.091
ɲ	ɲ	0.091
ˈi	v	0.077
ˈi	i_ɾ	0.077
ˈe	ˈe	0.074
ˈe	n	0.074
ˈe	-	0.074
ˈa	ˈa_ɾ	0.074
s	ʦː	0.069
s	sː	0.069
k	kː	0.067
ˈɛ	-	0.062
l	-	0.061
b	bː	0.056
s	ʃː	0.052
