Dutch	Icelandic	probability
b	b̥	0.942
b	v	0.058
d	d̥	0.408
d	θ	0.304
d	ð	0.284
f	v_ʏ	0.601
f	f	0.268
f	m	0.103
j	ˈu	0.574
j	ˈɑːu̯	0.269
k	k	0.307
k	kʰ	0.304
k	c	0.154
k	cʰ	0.089
k	ʰk	0.06
l	l̥	0.538
l	l	0.457
m	m	0.559
m	m_ʏ	0.309
m	-	0.087
m	p	0.041
n	n	0.54
n	-	0.221
n	t_n̥	0.097
n	nː	0.062
n	n̥	0.044
n_d	nː	1.0
n_s	s	0.468
n_t	nː	0.468
p	p	0.398
p	p_ʏ	0.389
p	v	0.13
p_ə	ʰp	1.0
s	s	0.689
s	s_k	0.101
s	s_c	0.069
s	v	0.046
s	sː	0.044
t	t	0.239
t	ð	0.207
t	t_ʏ	0.144
t	tʰ	0.099
t	ð_ʏ	0.074
v	f	0.637
v	v	0.163
v	-	0.075
v	f_j	0.07
v	p	0.04
w	ˈoːu̯	0.309
w	r̥	0.145
z	s	0.906
z	s_j	0.091
ŋ	ŋ	0.897
ŋ	ɲ	0.102
ŋ_k	ʰk	1.0
ə	-	0.39
ə	ɪ	0.224
ə	ʏ	0.122
ə	a	0.09
ə	ɡ̊_ʏ	0.079
ə_n	a	1.0
ə_χ	ɡ̊	1.0
ɦ	h	0.905
ɦ	ç	0.091
ɪ	-	0.574
ɪ	ɑu̯	0.269
ɫ	l	0.691
ɫ	l̥	0.13
ɫ	t_l̥	0.059
ɫ	l_j	0.045
ɫ	-	0.031
ɾ	r	0.511
ɾ	r̥	0.383
ɾ	r_j	0.032
ɾ	-	0.026
ɾ	r_a	0.025
ʋ	v	0.503
ʋ	-	0.252
ʋ	kʰ	0.192
ʋ	ç	0.039
ʋ	ˈu	0.027
ˈaː	ˈɑːu̯	0.236
ˈaː	ˈaː	0.165
ˈaː	ˈœ	0.132
ˈaː	ˈa	0.1
ˈaː	ˈɛ	0.076
ˈeː	j	0.282
ˈeː	ˈɛːi̯	0.157
ˈeː	ˈœː	0.126
ˈeː	ˈɛː	0.101
ˈeː	ˈɪː	0.086
ˈi	ˈiː	0.206
ˈi	j_ˈoːu̯	0.175
ˈi	ˈɑːu̯	0.14
ˈi	ˈɛː	0.122
ˈi	ˈuː	0.122
ˈoː	ˈœːy̯	0.244
ˈoː	ˈɔ	0.183
ˈoː	ˈɛːi̯	0.073
ˈoː	ˈʏ	0.057
ˈoː	ˈou̯	0.044
ˈu	ˈoːu̯	0.666
ˈu	ˈaːi̯	0.161
ˈu	ˈai̯	0.07
ˈu	ˈɔu̯	0.07
ˈu	ˈiː	0.03
ˈyː	ˈɛ	0.285
ˈyː	ˈiː	0.133
ˈyː	ˈʏː	0.133
ˈøː	ˈɛː	1.0
ˈœy̯	ˈuː	0.639
ˈœy̯	ˈʏ	0.195
ˈœy̯	ˈiː	0.129
ˈœy̯	ˈi	0.033
ˈɑ	ˈa	0.381
ˈɑ	ˈɑu̯	0.165
ˈɑ	ˈaː	0.103
ˈɑ	v_ˈaː	0.083
ˈɑ	ˈɛ	0.08
ˈɑu̯	ˈa	0.644
ˈɑu̯	ˈʏ	0.229
ˈɔ	ˈʏ	0.215
ˈɔ	ˈɔ	0.169
ˈɔ	ˈu	0.159
ˈɔ	-	0.136
ˈɔ	ˈʏ_t	0.081
ˈɛ	ˈɛ	0.398
ˈɛ	ˈa	0.19
ˈɛ	ˈai̯	0.081
ˈɛ	ˈaː	0.081
ˈɛ	ˈɪ	0.081
ˈɛi̯	ˈiː	0.599
ˈɛi̯	ˈɛ	0.086
ˈɛi̯	ˈeːi̯	0.086
ˈɛi̯	ˈɪ	0.066
ˈɛi̯	ˈɛːi̯	0.066
ˈɪ	ˈɪ	0.275
ˈɪ	ˈi	0.267
ˈɪ	ˈiː	0.157
ˈɪ	ˈɛ	0.107
ˈɪ	ˈɪː	0.093
ˈʏ	ˈɪ	0.53
ˈʏ	ˈʏ	0.285
χ	ɡ̊	0.311
χ	ɟ̊	0.237
χ	-	0.199
χ	c	0.07
χ	ɣ_a	0.061
χ_t	ʰt	1.0
χ_ə	ɡ̊	1.0
