Dutch	Icelandic	probability
b	b̥	0.846
b	b̥_j	0.104
d	d̥	0.403
d	θ	0.312
d	ð	0.28
f	v_ʏ	0.598
f	f	0.221
f	m	0.168
j	ˈu	0.574
j	ˈɑːu̯	0.268
k	kʰ	0.292
k	k	0.281
k	c	0.112
k	cʰ	0.097
k	-	0.074
k	ɣ	0.058
k	ʰk	0.058
m	m	0.576
m	m_ʏ	0.311
m	-	0.054
n	n	0.511
n	-	0.219
n	n̥	0.146
n	nː	0.062
n_d	nː	1.0
n_t	nː	1.0
p	p	0.481
p	p_ʏ	0.303
p	ʰp	0.112
p_ə	ʰp	0.467
s	s	0.843
s	s_c	0.072
t	t	0.245
t	ð	0.204
t	t_ʏ	0.126
t	tʰ	0.107
t	d̥	0.066
t	d̥_ʏ	0.066
t	ð_ʏ	0.066
v	f	0.727
v	v	0.158
w	ˈoːu̯	0.574
w	r̥	0.268
z	s	1.0
ŋ	ŋ	0.918
ŋ	ɲ	0.074
ŋ_k	ʰk	1.0
ə	-	0.307
ə	ɪ	0.253
ə	ʏ	0.123
ə	a	0.08
ə	ɡ̊_ʏ	0.08
ə_n	a	1.0
ə_ɫ	l	1.0
ə_χ	ɡ̊	1.0
ɦ	h	0.904
ɦ	ç	0.09
ɪ	-	0.5
ɪ	ɑu̯	0.5
ɫ	l	0.609
ɫ	l̥	0.172
ɫ	t_l̥	0.095
ɾ	r	0.528
ɾ	r̥	0.374
ʋ	v	0.548
ʋ	-	0.283
ʋ	kʰ	0.145
ˈaː	ˈɑːu̯	0.235
ˈaː	ˈaː	0.148
ˈaː	ˈœ	0.137
ˈaː	ˈa	0.119
ˈaː	ˈɛ	0.078
ˈaː	ˈɔ	0.062
ˈaː	ˈaːu̯	0.061
ˈaː	-	0.059
ˈeː	j	0.286
ˈeː	ˈɛːi̯	0.173
ˈeː	ˈɛː	0.112
ˈeː	ˈɛi̯	0.078
ˈeː	ˈɪː	0.076
ˈeː	ˈœː	0.072
ˈeː	ˈɛ	0.063
ˈeː	ˈœ	0.052
ˈi	ˈɛː	0.202
ˈi	ˈiː	0.197
ˈi	ˈoːu̯	0.12
ˈi	j	0.111
ˈi	j_ˈoːu̯	0.111
ˈi	ˈai̯	0.059
ˈi	j_ˈuː	0.053
ˈi	ˈɑːu̯	0.053
ˈi	ˈʏː	0.053
ˈoː	ˈœːy̯	0.243
ˈoː	ˈɔ	0.147
ˈoː	ˈɛːi̯	0.118
ˈoː	ˈʏ	0.065
ˈu	ˈoːu̯	0.666
ˈu	ˈaːi̯	0.162
ˈu	ˈai̯	0.07
ˈu	ˈɔu̯	0.051
ˈyː	ʏ	0.165
ˈyː	ˈiː	0.144
ˈyː	ˈʏː	0.089
ˈøː	ˈɛː	1.0
ˈœy̯	ˈuː	0.622
ˈœy̯	ˈʏ	0.251
ˈœy̯	ˈiː	0.061
ˈɑ	ˈa	0.383
ˈɑ	ˈɑu̯	0.154
ˈɑ	ˈaː	0.116
ˈɑ	ˈɛ	0.088
ˈɑ	ˈœ	0.065
ˈɑ	ˈaːi̯	0.065
ˈɑ	v_ˈaː	0.057
ˈɑu̯	ˈa	0.683
ˈɑu̯	ˈʏ	0.21
ˈɔ	ˈʏ	0.246
ˈɔ	ˈu	0.166
ˈɔ	ˈɔ	0.163
ˈɔ	-	0.13
ˈɔ	ˈʏ_t	0.099
ˈɔ	ˈɪ	0.065
ˈɛ	ˈɛ	0.378
ˈɛ	ˈa	0.181
ˈɛ	ˈai̯	0.071
ˈɛ	ˈaːi̯	0.071
ˈɛ	ˈɪ	0.071
ˈɛ	ˈɛː	0.057
ˈɛ	ˈaː	0.054
ˈɛ	ˈɔu̯	0.054
ˈɛ	ˈɛːi̯	0.054
ˈɛi̯	ˈiː	0.577
ˈɛi̯	ˈeːi̯	0.091
ˈɛi̯	ˈɛ	0.091
ˈɛi̯	ˈɪ	0.091
ˈɛi̯	ˈɛːi̯	0.068
ˈɪ	ˈɪ	0.261
ˈɪ	ˈi	0.23
ˈɪ	ˈiː	0.155
ˈɪ	ˈɛ	0.122
ˈɪ	ˈɪː	0.106
ˈɪ	ˈu	0.055
ˈʏ	ˈɪ	0.561
ˈʏ	ˈʏ	0.262
χ	ɡ̊	0.24
χ	-	0.199
χ	ɟ̊	0.19
χ	ɣ	0.14
χ	c	0.076
χ_t	ʰt	1.0
χ_ə	ɡ̊	1.0
