Upper Franconian	Upper Franconian	probability
ˈɪ	ˈi	1.0
ˈɛ_n	ˈa_nː	1.0
ˈɛ_l	ˈi_l	1.0
ˈɒ	ˈa	1.0
ˈaʊ̯	ˈuː	1.0
ˈa	k_ˈa	1.0
ʦ	t	1.0
ʃ_d̥	s_t	1.0
ʃ	s_k	1.0
ɐ_n	r_n	1.0
x_d̥	h_t	1.0
v̥	p	1.0
v	w	1.0
t	t	1.0
r	r	1.0
j	j	1.0
h	h	1.0
<#_ˈɒ	<#_ˈa	1.0
<#_ʦ	<#_t	1.0
<#_ʃ	<#_s	1.0
<#_ɡ̊	<#_k	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d̥	<#_d	1.0
<#	<#_h	1.0
l	l	0.885
m	m	0.818
b̥	b	0.812
n	n	0.806
ˈʊ	ˈu	0.778
#>	s_#>	0.773
ɡ̊	ɡ	0.75
ˈɛ	ˈɛ	0.714
ç	k	0.714
s	s	0.714
ˈaː	ˈɛː	0.667
ˈaɪ̯	ˈiː	0.615
ˈeː	ˈi	0.6
f	f	0.591
ˈɔ	ˈu	0.556
ɐ	r	0.536
ˈuː	ˈoː	0.533
ŋ	ŋ_ɡ	0.5
z̥	t_a	0.5
z̥	t	0.5
x	k	0.5
x	-	0.5
d̥	θ	0.5
a	a_n	0.5
ˈiː	ˈi	0.471
ˈɔ	ˈɔ	0.444
ˈoː	ˈeː	0.417
ˈoː	ˈa	0.417
ˈiː	ˈiu̯	0.412
ˈeː	-	0.4
ˈuː	ˈɔː	0.333
a	oː	0.3
ˈɛ	ˈa	0.286
ç	-	0.286
s	t_s	0.286
f	p	0.273
ɡ̊	-	0.25
ŋ	ɣ	0.25
ŋ	ŋ	0.25
d̥	d	0.237
ˈaɪ̯	ˈiu̯	0.231
ˈʊ	-	0.222
a	i_f	0.2
b̥	f_s	0.188
m	β	0.182
ɐ	a_r	0.179
#>	n_#>	0.173
ˈoː	ˈu	0.167
ˈaː	ˈɔː	0.167
ˈaː	-	0.167
d̥	t	0.158
ˈaɪ̯	-	0.154
f	-	0.136
ˈuː	ˈɔ	0.133
ˈiː	-	0.118
l	lː	0.115
ɐ	a	0.107
ɐ	-	0.107
n	j_a	0.083
ɐ	oː	0.071
n	n_θ	0.056
n	a	0.056
d̥	θ_iː	0.053
d̥	ð	0.053
#>	a_#>	0.053
