West Flemish	English	probability
b	b	1.0
d	d	0.453
d	θ	0.334
d	ð	0.15
d	-	0.053
f	f	0.761
f	-	0.232
h	-	0.954
h	f	0.051
j	ˈəʊ̯	0.53
j	j	0.298
k	k	0.303
k	kʰ	0.253
k	ʧ	0.242
k	-	0.152
k	h	0.038
k_ə	ʧ	1.0
l	l	0.759
l	ɫ	0.239
l_ə	ɫ	1.0
m	m	1.0
m_ə	m	0.489
n	n	0.66
n	-	0.289
n	əʊ̯	0.028
n	ɫ	0.028
n_t	θ	1.0
n_ə	n	1.0
p	p	0.871
p	pʰ	0.069
p	d	0.05
s	s	0.626
s	ʃ	0.18
s	z	0.106
s	k_s	0.072
t	t	0.473
t	d	0.291
t	tʰ	0.117
t	θ	0.06
t	ɫ_d	0.048
t_n	t	1.0
t_ə	t	1.0
v	f	0.848
v	v	0.142
v	kʰ	0.03
v_ə	v	1.0
w	-	0.341
w	ˈɑː	0.208
w	ɫ	0.117
w	ˈəʊ̯	0.117
z	s	0.963
z	z	0.045
ç	-	0.239
ŋ	ŋ	1.0
ə	-	0.877
ə	ɪ	0.075
ə	ˈaɪ̯	0.039
ə	ˈiː	0.032
ə_l	ɫ	1.0
ə_ɾ	ə	0.489
ɦ	-	0.499
ɦ	ɡ	0.42
ɦ	j	0.049
ɦ	h	0.042
ɪ	-	0.239
ɾ	ɹ	0.469
ɾ	ə	0.384
ɾ	-	0.143
ɾ_m	m	1.0
ɾ_s	s	0.489
ɾ_t	d	1.0
ɾ_ə	ˈɔː	0.45
ɾ_ə	ə	0.334
ʃ	ʃ	1.0
ʋ	w	0.866
ʋ	-	0.068
ʋ	ˈuː	0.06
ˈeː	ˈe	0.499
ˈeː	ˈaɪ̯	0.119
ˈeː	ˈeɪ̯	0.119
ˈeː	ˈiː	0.088
ˈeː	ˈɪ	0.088
ˈi	ˈaɪ̯	0.544
ˈi	ˈiː	0.23
ˈi	ˈɪ	0.2
ˈiə̯	ˈiː	0.451
ˈiə̯	ˈɪ	0.171
ˈiə̯	ˈe	0.104
ˈiə̯	-	0.073
ˈiə̯	j	0.073
ˈiə̯_ɦ	ˈaɪ̯	0.489
ˈoː	ˈiː	0.245
ˈoː	ˈe	0.214
ˈoː	ˈaɪ̯	0.153
ˈoː	ˈɪ	0.13
ˈoː	ˈeɪ̯	0.069
ˈoː_ɾ	ˈɔː	1.0
ˈu	ˈɐ	0.277
ˈu	ˈaʊ̯	0.241
ˈu	ˈəʊ̯	0.208
ˈu	ˈɒ	0.107
ˈu	-	0.039
ˈuə̯	ˈiː	0.354
ˈuə̯	ˈɐ	0.226
ˈuə̯	ˈʊ	0.208
ˈuə̯	ˈuː	0.102
ˈuə̯	ˈaʊ̯	0.089
ˈyː	ˈaʊ̯	0.862
ˈyː	ˈaɪ̯	0.117
ˈæ	ˈɪ	0.272
ˈæ	-	0.179
ˈæ	ˈaɪ̯	0.179
ˈæ	ˈeɪ̯	0.179
ˈæ	ˈɜː	0.125
ˈæ_ɾ	ˈɑː	1.0
ˈøː	ˈɐ	0.425
ˈøː	ˈaʊ̯	0.239
ˈøː	ˈəʊ̯	0.134
ˈœ	ˈʊ	0.372
ˈœ	ˈaɪ̯	0.282
ˈœ	ˈɪ	0.282
ˈœ	ˈɐ	0.04
ˈɑ	ˈæ	0.296
ˈɑ	ˈɑː	0.223
ˈɑ	ˈeɪ̯	0.156
ˈɑ	ˈɒ	0.1
ˈɑ	ˈaɪ̯	0.084
ˈɑ_n	ˈuː	0.239
ˈɑ_ɾ	ˈɔː	1.0
ˈɒː	ˈeɪ̯	0.306
ˈɒː	ˈiː	0.276
ˈɒː	ˈɑː	0.164
ˈɒː	ˈɔː	0.124
ˈɒː	ˈuː	0.066
ˈɔ	ˈɔː	0.32
ˈɔ	ˈɒ	0.278
ˈɔ	ˈe	0.19
ˈɔ	-	0.165
ˈɛ	ˈɪ	0.394
ˈɛ	ˈaɪ̯	0.221
ˈɛ	ˈe	0.168
ˈɛ	ˈəʊ̯	0.082
ˈɛ	ˈeɪ̯	0.079
ˈɛː	ˈəʊ̯	0.639
ˈɛː	ˈɜː	0.14
ˈɛː	ˈɐ	0.101
ˈɛː	ˈiː	0.052
ˈɛː	ˈuː	0.052
ˈɪ	ˈɪ	0.668
ˈɪ	ˈaɪ̯	0.195
ˈɪ	-	0.129
ˈʏ	ˈɪ	1.0
