Old West Norse	Northern Low Saxon	probability
θ	d	1.0
ˈɔː	ˈaʊ̯	1.0
ˈɒu̯	ˈaʊ̯	1.0
ˈɑu̯	ˈaʊ̯	1.0
ˈɑ_r	ˈaː	1.0
ˈøː	ˈɔʏ̯	1.0
ˈuː	ˈuː	1.0
ˈa	-	1.0
ʦ	d	1.0
ʝː	ŋ	1.0
ɾ	ɐ_t	1.0
ɣ_r̥	ç	1.0
ɣ_l	ɡ_l	1.0
ɡː	-	1.0
ɡ	-	1.0
ɑː	aɪ̯	1.0
ŋ_ɟ	ŋ	1.0
v_n	m	1.0
tʰ	tʰ	1.0
s_t	s	1.0
s_k	ʃ	1.0
s_c	ʃ	1.0
r̥ː	ɐ	1.0
r_ð	ɐ_d	1.0
r_t	d	1.0
r_n	ɐ_n	1.0
r_i	ɐ	1.0
pː	b	1.0
pʰ	pʰ	1.0
p_i	p	1.0
p	b	1.0
n̥	n	1.0
nː	n	1.0
n_d	n	1.0
mː	-	1.0
m_ˈa	m	1.0
m	m	1.0
l̥	l	1.0
lː	l	1.0
l	l	1.0
kʰ	kʰ	1.0
k	ɡ	1.0
j_ˈuː	ˈaɪ̯	1.0
j_ɑ	n	1.0
h	h	1.0
f	f	1.0
e	-	1.0
d	d	1.0
cː	ɡ	1.0
cʰ	kʰ	1.0
n	n	0.949
b	b	0.924
ˈi	ˈɪ	0.899
ŋ	ŋ	0.836
kː	-	0.811
ˈɔ	-	0.798
ˈɛi̯	ˈaɪ̯	0.785
ɟ	ɡ	0.779
t	d	0.77
j	-	0.754
ð	d	0.744
ˈiː	ˈiː	0.692
j_ˈoː	ˈaɪ̯	0.667
ˈoː	ˈaʊ̯	0.663
ɡ_r̥	ç	0.662
ˈɑ_l	l	0.646
ɑ	n	0.63
a	-	0.625
tː	t	0.597
ˈu	ˈʊ	0.596
ˈøy̯	ˈɔʏ̯	0.562
ˈɛ	ˈa	0.561
ˈɑ	ˈa	0.538
s	z	0.529
i	-	0.521
r	r	0.514
r̥	ɐ	0.512
ˈeː	ˈiː	0.51
v	v	0.509
ˈɑː	ˈoː	0.492
v	m	0.491
r̥	ç	0.488
i	ɐ	0.479
ɣ	x	0.455
ˈy	-	0.451
u	-	0.447
ˈɛ	-	0.439
ˈøy̯	ˈaʊ̯	0.438
ˈe	-	0.433
ˈyː	-	0.421
u	n	0.413
tː	x_d	0.403
a	n	0.375
ˈyː	ˈyː	0.361
ɣ	ŋ	0.359
ˈɑ_l	ˈaː	0.354
ɡ_r̥	ɐ	0.338
ˈoː	ˈɔ	0.337
j_ˈoː	ˈeɪ̯	0.333
ˈeː	-	0.33
ˈy	ˈʏ	0.322
ɑ	-	0.263
s	ʃ	0.261
ˈo	ˈaʊ̯	0.259
ð	-	0.256
ˈo	-	0.252
ˈɑː	ˈaʊ̯	0.247
j	ˈaɪ̯	0.246
ˈe	ˈɛ	0.232
t	t	0.23
ˈy	ˈɪ	0.227
ˈɑ	ˈoː	0.222
ɟ	j	0.221
ˈyː	ˈiː	0.218
ˈɛi̯	ˈɪ	0.215
s	s	0.21
ˈɔ	ˈa	0.202
ˈe	ˈeː	0.191
kː	k	0.189
ɣ	-	0.187
ˈiː	ˈaɪ̯	0.183
ˈu	ˈʏ	0.174
ˈɑ	-	0.167
ŋ	ɪ	0.164
ˈeː	ˈɛː	0.159
r	ɐ	0.157
r	ˈoː	0.151
ˈe	ˈɪ	0.144
u	i	0.14
ˈo	ˈoː	0.139
ˈɑː	ˈa	0.138
ˈo	ˈœ	0.135
ˈo	ˈøː	0.127
ˈiː	-	0.126
ˈu	ˈuː	0.123
ˈɑː	-	0.122
r	-	0.11
ɑ	m	0.108
ˈi	ˈeː	0.101
ˈo	ˈʊ	0.089
b	-	0.076
ˈɑ	ˈaʊ̯	0.074
r	ˈɔː	0.068
ˈu	ˈɔ	0.055
ˈu	-	0.052
n	ɐ	0.051
