Gascon	Corsican	probability
a	a	1.0
h	f	1.0
nː	m	1.0
ʃ	sː	1.0
ʒ	ɟ	1.0
j	t	0.131
k	k_u	0.101
m	m_e	0.061
p	p	0.981
s	-	0.131
z	z	0.281
ð	t	0.691
ŋ	ŋ	0.291
ɣ	k	0.551
ʎ	c	0.151
ʦ	ʧ_e	0.931
ˈa	u_#>	0.111
ˈi	ˈi	0.951
ˈu	ˈo	0.271
ˈɛ	ˈa	0.061
β	b	0.121
β	p	0.31
e	i	0.112
t	tː_e	0.052
w	e	0.072
d	d	0.973
k	k	0.773
ɡ	ɡ	0.423
ˈe	ˈe	0.203
ˈu	ˈɔ	0.663
ˈɔ	ˈo	0.243
b	v	0.644
i	u	0.774
t	t_r	0.064
u	u	0.894
w	-	0.134
w	u	0.374
z	-	0.494
ɔ	u	0.054
ɔ	a	0.944
ɲ	ɲ	0.754
k	kː	0.075
r	-	0.055
t	t	0.365
z	ʧ	0.225
ŋ	n_u	0.5
ʎ	c_u	0.165
ˈa	ˈa	0.795
b	b	0.356
e	a	0.126
i	i	0.226
j	u	0.096
j	-	0.586
l	-	0.136
n	n_t	0.206
u	-	0.106
w	l_u	0.116
ɲ	ɲ_u	0.246
ɾ	-	0.066
ʎ	ʎ	0.616
ˈe	-	0.066
ˈɛ	ˈɛ	0.526
e	r_e	0.057
e	u	0.167
j	e	0.187
m	m	0.87
r	r	0.817
s	ʧː	0.067
w	l	0.117
w	v_e	0.127
ŋ	n_e	0.077
ɡ	ɟ	0.487
ɾ	e_r	0.07
ˈa	e_#>	0.057
ˈɔ	ˈɔ	0.757
e	e	0.458
l	j	0.208
l	l	0.618
n	n	0.78
s	ʧ	0.118
s	s	0.678
ʎ	l	0.068
ˈy	ˈu	0.958
ˈɛ	ˈe	0.368
m	-	0.069
r	r_n	0.089
t	tː_u	0.149
t	-	0.219
ð	d	0.309
ɡ	ɡ_w	0.09
ɣ	-	0.449
ɾ	r	0.859
ʦ	ʦː_u	0.069
ˈe	ˈɛ	0.699
β	v	0.569
