Emilian	Emilian	probability
ˈɛː	ˈa	1.0
ˈæ	ˈi	1.0
ˈuː	ˈo	1.0
ˈe	ˈi	1.0
ʧ	k_ʎ	1.0
ʤ	ɡ_ʎ	1.0
ɲ	m	1.0
ɡ_#>	k_#>	1.0
ð_e	ʤ	1.0
u	u	1.0
s_#>	s_#>	1.0
r_e	r	1.0
n_a	ə	1.0
n	n	1.0
m	m	1.0
k_w	p	1.0
k	k	1.0
i	i	1.0
f	f	1.0
e_r	r_u	1.0
d_a	t_ə	1.0
b	b	1.0
a_#>	#>	1.0
<#_ˈaː	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_f_j	<#_ˈi	1.0
<#_f	<#	1.0
a	ə	0.909
r	r	0.846
s	s	0.8
ˈo	ˈu	0.778
θ	ʦ	0.75
p	p	0.733
ŋ	n	0.727
ˈʌu̯	ˈu	0.714
d	d	0.667
ˈʌ	-	0.6
ˈiː	ˈe	0.6
ð	z	0.6
j	-	0.6
#>	i_#>	0.591
ˈɔː	o̯ˈa	0.556
ɡ	ɡ	0.556
ˈɛ	ˈa	0.552
t	t	0.55
ˈɔ	w_ˈo	0.5
ˈaː	ˈa	0.5
ˈaː	-	0.5
ˈa_j	ˈe	0.5
ˈa_j	e̯ˈa	0.5
z	ʦ	0.5
z	ʃ	0.5
e	r	0.5
e	-	0.5
v	v	0.412
l	r	0.412
ˈʌ	ˈo	0.4
ˈiː	e̯ˈa	0.4
ð	ʒ	0.4
j	l	0.4
ˈa	ˈɔ	0.385
t	p_t	0.3
l	l	0.294
ˈʌu̯	o̯ˈa	0.286
θ	ʧ	0.25
ˈɔ	ˈu	0.25
ˈɔ	ˈo	0.25
ˈa	ˈa	0.231
ˈɔː	ˈo	0.222
ˈɔː	ʎ	0.222
ˈo	ˈo	0.222
ɡ	k	0.222
ɡ	-	0.222
ˈɛ	ˈe	0.207
s	ʃ	0.2
#>	ə_#>	0.182
#>	u_#>	0.182
v	j	0.176
v	-	0.176
l	-	0.176
d	ʦ	0.167
d	t	0.167
ˈa	ˈe	0.154
ˈa	e̯ˈa	0.154
t	ʦ	0.15
p	kʲ	0.133
p	-	0.133
v	w_ə	0.118
v	p	0.118
l	ʎ	0.118
ˈɛ	ˈɔ	0.103
ŋ	ŋ	0.091
ŋ	m	0.091
ŋ	j_n	0.091
a	-	0.091
ˈa	ɔ	0.077
r	i	0.077
r	-	0.077
ˈɛ	ˈa_t	0.069
ˈɛ	-	0.069
