Elfdalian	Old High German	probability
ˈɪ̃ː	ˈi_r	1.0
ˈɪ	ˈi	1.0
ˈɛː	-	1.0
ˈɔ	ˈɑ	1.0
ˈɑːi̯	ˈiː	1.0
ˈɑː	ˈɑ	1.0
ˈɑ_r	ˈɑ_r	1.0
ˈɑ_n	ˈɑ_n	1.0
ˈɑ	ˈɑ	1.0
ˈœ	ˈi	1.0
ˈæ	ˈɛ	1.0
ˈyːœ̯	ˈuo̯	1.0
ˈyœ̯	-	1.0
ˈiːe̯	ˈei̯	1.0
ʥː	kː	1.0
ʥ	ɡ	1.0
ʏ	i	1.0
ɪ	-	1.0
ɡ_r	ɡ_r	1.0
ɡ	ɡ	1.0
ɔ̃	-	1.0
ɑ̃	i	1.0
w	w	1.0
sː	n_s	1.0
s_t	s_t	1.0
s	s	1.0
rː	rː	1.0
r	r	1.0
pʰ	p͡f	1.0
mː	mː	1.0
m	m	1.0
l̥	s_l	1.0
l	l	1.0
kː	ŋ_k	1.0
kʰ	kʰ	1.0
j_ˈʉːə̯	ˈio̯	1.0
j_ˈæ	ˈɛ	1.0
d	t	1.0
b	b	1.0
a	ə	1.0
f	f	0.937
ð	t	0.935
ɽ	l	0.927
ʨ	k	0.837
v	b	0.776
n	n	0.775
ɣ	ɡ	0.771
ˈɑːu̯	ˈuː	0.753
p	f	0.753
ʉ	-	0.742
ŋ	ŋ	0.742
ˈo	-	0.719
nː	nː	0.709
ɔ	ɑ	0.663
ˈʏː	ˈiu̯	0.642
ˈʉ	ˈu	0.626
ɛ	ɑ	0.621
ˈʏ	ˈu	0.6
tʰ	d	0.599
k	x	0.584
tː	x_t	0.568
ɡː	-	0.555
ˈʉːə̯	ˈuo̯	0.547
ˈœː	ˈou̯	0.54
ˈʉə̯	ˈo	0.531
lː	lː	0.506
lː	-	0.494
t	s̻	0.491
ˈʉː	-	0.476
ˈæː	-	0.474
ˈʉə̯	ˈu	0.469
ˈœː	ˈoː	0.46
j	ˈɛ	0.46
ˈɔː	ˈɑː	0.451
ˈoː	-	0.446
ɡː	kː_ɑ	0.445
tː	-	0.432
ˈɪː	ˈiː	0.419
tʰ	ʦ	0.401
ˈʏ	-	0.4
ˈʏː	-	0.358
ˈʉːə̯	l	0.349
ɔ	n	0.337
ˈɪː	ˈi	0.331
j	ˈeː	0.329
k	k	0.326
ɑ	ɑ_n	0.324
ˈoː	h	0.314
ˈɛ	ˈe	0.307
nː	n_d	0.291
ˈo	ˈɑ	0.281
ˈʉː	ˈu	0.277
ˈæː	ˈoː	0.271
t	s̻ː	0.266
ʉ	i	0.258
ŋ	-	0.258
ˈæː	ˈie̯	0.256
ˈɪː	-	0.25
ˈʉː	ˈuː	0.247
ˈɑːu̯	-	0.247
ɑ	ɑ	0.245
ˈoː	ˈoː	0.24
ɣ	x	0.229
j	h	0.211
ˈɔː	ˈɑ_h	0.201
ˈɔː	-	0.201
ɑ	e	0.2
ˈɛ	ˈei̯	0.193
ˈɛ	ˈɛ	0.183
ˈɛ	-	0.18
ʨ	xː	0.163
p	p	0.161
ˈʉ	ˈo	0.155
n	-	0.155
ˈɔː	ˈɑ_l	0.146
ɛ	-	0.143
ɛ	ɛ	0.142
ˈɛ	ˈu	0.136
t	t	0.132
ɑ	n	0.117
v	i_f	0.113
ˈʉ	w_ˈo	0.11
v	f	0.11
t	ʦ	0.11
ˈʉ	w	0.109
ˈʉːə̯	ˈio̯	0.104
ɛ	i	0.093
k	xː	0.09
p	fː	0.086
ɑ	o	0.079
ɽ	l_ˈɑ	0.073
n	n_i	0.07
ð	tː	0.065
f	f_ˈo	0.063
