Old Frisian	Ripuarian	probability
ˈo_r	ˈoː	1.0
ˈi̯aː	ˈeː	1.0
ˈiː_ə	ˈøʏ̯	1.0
ˈi_ʣ	ˈi	1.0
ˈe_r	ʀ	1.0
ˈe_j	ˈɛː	1.0
ʦ	k	1.0
ɣ_ə	ɕ	1.0
ə_r	ɐ	1.0
ŋ	ŋ	1.0
ð	d	1.0
x_t	x	1.0
x	ɕ	1.0
tː	ʦ	1.0
s_w	z	1.0
s_k	ʃ	1.0
r_t	ʦ	1.0
pː	p	1.0
nː_ə	n	1.0
nː	n	1.0
n_d	ŋ	1.0
mː	m	1.0
m	m	1.0
lː	ɫ	1.0
kː	k	1.0
k_ə	ɕ	1.0
j_ə	ə	1.0
j	-	1.0
iː	e	1.0
i	ɪ	1.0
h	h	1.0
f	f	1.0
e	-	1.0
dː	d	1.0
bː	n	1.0
b	b	1.0
a	ə	1.0
r	ʀ	0.905
w	ʋ	0.885
ˈoː	ˈoː	0.767
θ	d	0.756
ɣ	j	0.743
n	n	0.732
z	z̥	0.709
v	v	0.693
ɡ	j	0.661
t	s	0.661
ˈa	ˈa	0.635
ˈu	ˈo	0.601
p	f	0.595
ˈuː	ˈuː	0.59
ˈɔː	ˈa	0.583
ˈi	ˈe	0.577
ə	ə	0.571
l	l	0.567
ˈi̯uː	ˈyː	0.541
k	k	0.541
ˈɛː	ˈeː	0.532
s	z	0.506
d	d̥	0.486
ˈiː	ˈiː	0.477
ˈi̯uː	-	0.459
l	ɫ	0.433
ə	-	0.429
ˈeː	ˈɔː	0.427
p	p	0.405
ˈu	-	0.399
ˈaː	ˈuː	0.396
s	ʃ	0.378
ˈe	ˈɛ	0.373
ˈa	ˈaː	0.365
ˈiː	-	0.333
k	x	0.326
ˈeː	ˈøː	0.315
v	-	0.307
z	-	0.291
d	d	0.282
ˈo	ˈo	0.278
n	ŋ	0.268
ˈeː	-	0.257
ɣ	-	0.257
θ	d̥	0.244
ˈo	ˈɔː	0.242
ˈɔː	-	0.233
ˈoː	-	0.233
t	t	0.229
ˈɛː	ˈyː	0.226
d	ɡ̊	0.198
ɡ	-	0.196
ˈiː	ˈɪ	0.19
ˈaː	ˈoː	0.188
ˈaː	-	0.184
ˈɔː	ˈo	0.183
ˈi	ˈɪ	0.15
ˈuː	ˈyː	0.146
ɡ	ɡ̊	0.143
ˈaː	ˈɔʊ̯	0.142
k	-	0.133
ˈuː	ˈɔʊ̯	0.132
ˈuː	ˈo	0.132
ˈo	ˈu	0.132
ˈɛː	-	0.125
ˈo	-	0.124
ˈe	ˈœ	0.122
ˈo	ˈy	0.12
ˈɛː	ˈiː	0.118
s	s	0.116
w	-	0.115
t	ʦ	0.11
ˈo	ˈɔ	0.104
ˈe	ˈaː	0.103
ˈi	ˈa	0.096
r	-	0.095
ˈaː	ˈeː	0.091
ˈe	ˈɛː	0.09
ˈe	ˈe	0.087
ˈi	-	0.079
ˈe	-	0.079
ˈe	ˈeː	0.073
ˈe	ˈa	0.073
