Bulgarian	Bulgarian	probability
ˈ_ɫ	l	1.0
ˈ	-	1.0
ʧ	ʧ	1.0
ʦʲ	ʦ	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɫ_a	w_o	1.0
ɫ_#>	w_#>	1.0
ɤ_ˈ	e	1.0
ɡ̊	x	1.0
ɡ	ɦ	1.0
ɛ_ˈ	e	1.0
ɛ_n	n_ɪ	1.0
ɐ_k	kʲ_i	1.0
ɐ_#>	a_#>	1.0
z̥	z̥	1.0
x_#>	xʲ_i_#>	1.0
x	x	1.0
vʲ	ɥ	1.0
u	u	1.0
tʲ	-	1.0
t_ɔ	t_ɔ	1.0
s_ɛ	s_a	1.0
s_#>	s_#>	1.0
s	s	1.0
r_#>	ʀ_ɪ_#>	1.0
pʲ	pʲ	1.0
o	ɔ	1.0
nʲ	ɲ	1.0
mʲ	mʲ	1.0
lʲ	l	1.0
l	l	1.0
k_ɐ	x	1.0
j_ɐ	ʨ	1.0
j	j	1.0
i_ˈ	ɪ	1.0
f	w_ɪ	1.0
d̥	d̥	1.0
dʲ	ʥ	1.0
b̥	b̥	1.0
bʲ	bʲ	1.0
a_ˈ	ɔ	1.0
<#_x	<#_x	1.0
<#_v	<#_w	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
z	z	0.857
k	k	0.84
b	b	0.8
m	m	0.789
i	i	0.786
p	p	0.727
<#	<#_w	0.7
a	a	0.674
ɫ	w	0.667
ɐ	-	0.667
d	d	0.667
v	ɥ	0.636
n	n	0.615
r	ʀ	0.6
ɔ	ɔ	0.591
t	t	0.533
ʦ	ʦ	0.5
ʦ	-	0.5
t	ʨ	0.467
ɛ	ɛ	0.429
ɔ	o	0.409
n	ɲ	0.385
ɤ	u	0.368
v	w	0.364
ɛ	ɔ	0.333
r	ʀʲ	0.333
ɤ	ɔ	0.316
<#	<#_j	0.3
p	pʲ	0.273
d	ʥ	0.238
a	e	0.217
i	-	0.214
ɤ	-	0.211
m	mʲ	0.211
b	-	0.2
k	-	0.16
ɫ	l	0.143
ɐ	ɔ	0.143
z	-	0.143
ɤ	o	0.105
ɫ	ɪ	0.095
ɫ	d_w	0.095
ɐ	w	0.095
ɐ	a	0.095
d	-	0.095
ɛ	e	0.071
ɛ	-	0.071
r	ʃ	0.067
a	ɛ	0.065
