Palatine German	Middle High German	probability
β_ˈɑ	w	1.0
ˈɑ̃ː	-	1.0
ˈɑ̃ɪ̯	ˈyː_n	1.0
ˈɑːɪ̯	-	1.0
ˈɑː_s	ˈɑ_s	1.0
ˈɑ	ˈɑ	1.0
ˈuː	ˈuə̯	1.0
ˈõː	ˈu_n	1.0
ˈo	ˈɑː	1.0
ˈĩː	ˈyə̯_n	1.0
ˈi	ˈiə̯	1.0
ˈẽː	ˈɛ_h	1.0
ˈau̯̯	ˈuː	1.0
ˈau̯	ˈuː	1.0
ʃ_d̥	s_t	1.0
ɪ_ʃ	ə_ɡ̊	1.0
ɪ	i	1.0
ɡ̊_s	x_s	1.0
ɡ̊_r	ɡ_r	1.0
ɡ̊_n	kʰ_n	1.0
ɑ	oː	1.0
ɐ_n	r_n	1.0
s_ˈɑ	s_ˈɑ	1.0
h	h	1.0
eː	ɛ_h	1.0
d̥_r	t_r	1.0
l	l	0.983
m	m	0.962
ʣ̥	ʦ	0.894
β	w	0.845
ə	ə_n	0.809
kʰ	kʰ	0.795
n	n	0.787
ˈɔ	ˈo	0.778
ˈu	ˈu	0.766
ˈɪ	ˈi	0.758
f	v	0.736
r	r	0.722
ˈiː	ˈiə̯	0.721
j	ɡ	0.703
b̥	b	0.685
ɡ̊	ɡ	0.661
ɐ	r	0.642
x	x	0.636
ˈɛː	ˈei̯	0.627
ˈaɪ̯	ˈiː	0.605
s	s	0.603
ɣ̊	ɡ_ə	0.6
ˈɑː	ˈɑ	0.569
ˈɛ	ˈɛ	0.552
ŋ	ŋ	0.53
d̥	t	0.511
ŋ	ŋ_ɡ	0.47
ˈoː	ˈɑː	0.431
ɣ̊	ɡ̊	0.4
ʃ	ʃ	0.398
ˈɑː	ˈou̯	0.389
ˈɛː	ˈɛ	0.373
x	xː	0.364
ˈeː	-	0.351
ˈaɪ̯	ˈyː	0.322
d̥	d	0.314
ˈoː	ˈoː	0.312
ʃ	x	0.307
s	s̻	0.307
j	j	0.297
ˈoː	ˈo	0.257
ˈɛ	ˈe	0.256
f	f	0.252
ˈeː	ˈeː	0.245
ˈeː	ˈei̯	0.243
ˈɪ	ˈy	0.242
ɐ	ə_r	0.237
ˈɔ	ˈu	0.222
kʰ	k	0.205
ɡ̊	kː	0.201
r	t	0.191
b̥	b̥	0.191
d̥	d̥	0.175
ə	ə	0.154
n	nː	0.148
ˈiː	ˈyə̯	0.146
ɡ̊	k	0.137
ˈiː	ˈi	0.133
ˈu	ˈuə̯	0.13
ʃ	ʃː	0.129
β	b	0.124
ˈɛ	ˈy	0.112
ˈeː	ˈøː	0.108
ʣ̥	ʦː	0.106
ˈu	ˈo	0.103
ʃ	ɡ̊	0.1
s	s̻ː	0.09
b̥	p͡f	0.089
ɐ	r_ə	0.087
ˈɛ	ˈɑ	0.081
ˈaɪ̯	-	0.074
ʃ	xː	0.066
n	n_d	0.065
ˈeː	ˈæː	0.054
r	d_ə	0.052
