East Franconian	Middle High German	probability
β	b_ə	1.0
ˈɛː	ˈæː	1.0
ˈɘ	ˈøː	1.0
ˈɒː	ˈɑ	1.0
ˈɒ	ˈɑ	1.0
ˈaʊ̯	ˈuː	1.0
ˈa	ˈɑ	1.0
ʃ_d̥	s_t	1.0
ɪ	ə	1.0
ɣ	ɡ	1.0
ɡ̊_s	x_s	1.0
ə	ə	1.0
ɐ_n	r_n	1.0
v̥	f_ə	1.0
v_ˈɔ	w_ˈɑ	1.0
v_ˈɒ	w	1.0
v	w	1.0
r_ˈɛː	r	1.0
r_ˈoː	r_ˈɑ	1.0
r	r	1.0
m_ˈʊ	m	1.0
m_a	m_ə	1.0
kʰ	kʰ	1.0
j	j	1.0
i	i	1.0
h	h	1.0
f_a	f	1.0
eː	ɛ_h	1.0
b̥͡v̥	p͡f	1.0
l	l	0.94
ˈɔ	ˈo	0.885
ˈʊ	ˈu	0.863
ʦ	ʦ	0.835
m	m	0.803
x	x	0.772
ʃ	ʃ	0.763
f	v	0.761
ˈɪ	ˈi	0.759
b̥	b	0.713
ɐ	r	0.691
ˈaɪ̯	ˈiː	0.654
ˈeː	ˈɛ	0.651
s	s	0.645
ˈɛ	ˈɛ	0.626
ç	x	0.61
ˈuː	ˈuə̯	0.596
n	n	0.591
ɾ	t_ə	0.574
d̥	t	0.572
ɡ̊	kː	0.531
ˈoː	ˈɑ	0.527
ˈaː	ˈei̯	0.521
a	ə	0.501
ˈoː	ˈɑː	0.473
ɡ̊	ɡ	0.469
ˈiː	ˈiə̯	0.441
ɾ	d_ə	0.426
ç	ɡ̊	0.39
a	ə_n	0.377
ˈɛ	ˈe	0.374
ɣ̊	ɡ̊	0.371
ŋ	ɡ_ə	0.36
s	s̻	0.355
ɣ̊	xː	0.354
ˈeː	-	0.349
ˈaɪ̯	ˈyː	0.346
ˈaː	ˈou̯	0.334
ŋ	ŋ_ɡ	0.319
ˈuː	ˈoː	0.317
z̥	s̻ː	0.293
ɣ̊	ɡ_ə	0.274
ˈiː	ˈi	0.258
z̥	s	0.257
z̥	s_ə	0.247
b̥	b̥	0.247
ˈɪ	ˈy	0.241
ʃ	ʃː	0.237
ŋ	ŋ	0.236
d̥	d	0.235
x	xː	0.228
f	f	0.226
z̥	s̻_ə	0.203
ɐ	ə_r	0.177
n	ə_n	0.169
d̥	d̥	0.167
ʦ	ʦː	0.165
ˈiː	ˈyə̯	0.143
ˈʊ	-	0.137
ɐ	r_ə	0.132
m	b_ə_n	0.125
n	ə	0.118
ˈɔ	ˈu	0.115
ˈaː	ˈei̯_n	0.112
ˈiː	-	0.107
ˈuː	ˈo	0.087
ŋ	ə	0.085
n	nː	0.075
a	ɑ	0.073
m	mː	0.072
ˈiː	ˈeː	0.051
