Mecklenburgisch-Vorpommersch	Nynorsk Norwegian	probability
ˈɛː	ˈeː	1.0
ˈɔ	-	1.0
ˈœ	-	1.0
ˈøː	ˈʊ	1.0
ˈoː_æ	ɾ	1.0
ˈeː	ˈoː	1.0
ˈaʊ̯_ɾ	ˈuː	1.0
ˈaʊ̯_d̥	ˈæʉ̯	1.0
ˈa_x	ˈɔ	1.0
ɾ_æ	ɾ	1.0
ɪ	-	1.0
ɣ	ˈiː	1.0
ɡ̊	-	1.0
ŋ_k	ʰkː	1.0
ç	ɡː	1.0
x	ɡ	1.0
w	ʋ	1.0
tʰ	tʰ	1.0
t_ae̯	tː	1.0
s	s	1.0
r	ɾ	1.0
pʰ	pʰ	1.0
n_ˈɛː	n	1.0
n_s	sː	1.0
l_ˈae̯	j_ˈʉː	1.0
f	f	1.0
d̥	-	1.0
b_m	ʋ_ɑ	1.0
b	b	1.0
p	p	0.932
æ	ɾ	0.886
m	m	0.88
h	h	0.875
ˈʊ	ˈʉ	0.86
ˈiː	ˈiː	0.827
l	l	0.815
ɡ	ɡ	0.809
k	k	0.798
ˈa	ˈɑ	0.742
t	t	0.738
kʰ	kʰ	0.737
ˈoː	ˈoː	0.72
z	s	0.697
ŋ	ŋː	0.672
ˈɒː	ˈoː	0.66
ˈʏ	ˈʏ	0.603
ˈaː	ˈɑ_ɾ	0.59
ˈae̯	ˈæɪ̯	0.568
ˈɔʏ̯	ˈøː	0.558
ˈyː	ˈyː	0.549
ˈɪ	ˈɪ	0.54
ˈuː	ˈʉː	0.522
ˈaʊ̯	ˈuː	0.477
ˈyː	-	0.451
ˈɔʏ̯	-	0.442
d	d	0.434
v	kʰ_ʋ	0.418
ˈœː	ˈɔ	0.415
d	tʰ	0.412
ˈɛ	ˈɛ	0.407
n	n	0.369
ˈɛ	j	0.345
ʃ	s	0.343
ˈœː	-	0.336
ʃ	ʂ	0.334
ʃ	s_k	0.323
ˈaː	ˈɑː	0.307
v	-	0.304
ˈoː	ˈæʉ̯	0.28
v	v	0.279
n	nː	0.273
kʰ	ç	0.263
ˈaʊ̯	ˈæʉ̯	0.261
n	ɑ	0.256
ˈɛ	-	0.248
ˈœː	ˈʉː	0.248
z	ʂ	0.209
t	ʰtː	0.207
k	ç	0.202
ˈʏ	ˈɛ	0.198
ˈʏ	-	0.198
ˈa	ˈɑː	0.194
ˈae̯	ˈyː	0.191
ɡ	j	0.191
ˈɒː	ˈɑ	0.189
l	lː	0.185
ˈiː	ˈyː	0.173
ŋ	ɡ_ɑ	0.164
ŋ	ɑ	0.164
ˈuː	ˈʊ	0.16
ˈuː	ˈuː	0.16
ˈuː	ˈɔ	0.158
ˈaʊ̯	-	0.154
ˈɒː	ˈɑː	0.151
ˈʊ	-	0.14
ˈae̯	ˈiː	0.14
ˈɪ	ˈiː	0.137
ˈɪ	-	0.136
ˈɪ	ˈɛ	0.135
h	-	0.125
ˈaʊ̯	ˈoː	0.107
ˈaː	ˈæ	0.102
ˈae̯	ˈʉː	0.101
z	s_e	0.094
d	-	0.081
m	mː	0.073
d	ç	0.073
p	ʰpː	0.068
ˈa	ˈɛ	0.064
n	n_d	0.064
t	-	0.055
ˈɪ	ɲ	0.052
