Western Lombard	Québécois French	probability
ã	ã	1.0
b	b	1.0
f	f	1.0
p	p	1.0
r	ʁ	1.0
t	t	1.0
u	ɔ	1.0
w	-	1.0
z	z	1.0
ʦ	s	1.0
ˈaː	æɛ̯	1.0
ˈẽː	ã	1.0
ˈĩː	ẽɪ̯̃	1.0
ˈu	u	1.0
ˈũː	ɒ̃ʊ̯̃	1.0
ˈøː	œ	1.0
a	a	0.541
l	l	0.741
s	-	0.111
s	s	0.771
ˈi	i	0.161
ˈi	ɪ	0.421
k	ʃ	0.312
m	-	0.052
ɲ	ẽɪ̯̃	0.402
ʋ	v	0.892
ʤ	ɡ	0.112
ʧ	s	0.502
ˈɔ	ɑɔ̯	0.912
d	-	0.593
e	œ	0.513
n	ã	0.103
n	n	0.83
ʧ	j	0.303
ˈãː	ã	0.173
ˈi	-	0.153
ˈy	ɥ	0.213
l	oʊ̯	0.154
ˈe	w_ɛ	0.534
j	-	0.415
l	-	0.105
ɡ	-	0.185
ɡ	ɡ	0.815
ʧ	k	0.195
ˈa	æɛ̯	0.445
d	d	0.386
ˈi	i_ʁ	0.266
ˈɛ	w_ɛ	0.106
ˈɛ	æɛ̯	0.726
e	-	0.487
n	-	0.067
ˈa	a	0.207
ˈãː	ẽɪ̯̃	0.827
ˈe	i	0.177
ˈy	y	0.787
j	j	0.248
j	l	0.338
k	k	0.688
m	m	0.948
s	t_ʁ	0.118
ɲ	ɲ	0.598
ʋ	v_w	0.108
ʤ	ʒ	0.888
ˈa	e	0.348
ˈɔ	ɔ	0.088
ˈɛ	ɛ	0.168
a	-	0.459
ˈe	ɛ	0.289
