Auvergnat	Auvergnat	probability
ˈɪ_w	ˈɛ_u	1.0
ˈɪ_l	ˈi_s	1.0
ˈɛ	ˈi_ɣ	1.0
ˈỹ	ˈu	1.0
ˈĩ	ˈi	1.0
ˈe_j	ˈa	1.0
ˈã	ˈa	1.0
ˈa_w	ˈɔ	1.0
ˈa_l	l	1.0
ʒ	ʒ	1.0
ʃ	ʧ	1.0
ʀ_ə	i	1.0
ʀ_ɔ	ɾ_a	1.0
ɪ	s	1.0
ɥ	ʧ_ˈi	1.0
œ	o	1.0
y	u	1.0
w_ˈɔ̃	ˈo	1.0
w_ʀ	ɾ	1.0
vʲ	b	1.0
ũ	u	1.0
s_ˈa	s_ˈa	1.0
s_ɔ	ʦ_a	1.0
pʲ	p_ˈi	1.0
p_l	p_ɾ	1.0
n	n	1.0
mʲ	m	1.0
m_#>	m_i_n_i_#>	1.0
m	m	1.0
lː	z_u	1.0
k_w	k	1.0
ĩ	i	1.0
fʲ	f	1.0
f	f	1.0
dʲ	-	1.0
ã	a	1.0
a	a	1.0
<#_ˈã	<#_ˈa	1.0
<#_ʤ	<#_ʤ	1.0
<#_ʎ	<#_l	1.0
<#_ɒ	<#_a	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_a	1.0
p	p	0.917
ˈy	ˈu	0.8
ˈi	ˈi	0.8
ˈa	ˈa	0.8
ɔ	a	0.789
ˈu	ˈu	0.773
ˈœ	ˈɔ	0.75
t	t	0.75
k	k	0.739
ˈẽ	ˈɛ	0.714
ɡ	ɡ	0.714
v	b	0.714
w_ˈɔ	ˈo	0.7
ʀ	ɾ	0.696
ʧ	k	0.692
ɒ	a	0.667
ɲ	n_ʤ	0.6
z	ʒ	0.6
b	b	0.579
#>	u_#>	0.515
ˈɪ̃	ˈɛ	0.5
ˈɪ̃	-	0.5
ˈũ	ˈo	0.5
ˈũ	-	0.5
e	i_ɾ	0.5
e	i	0.5
ə	i	0.486
ˈɪ	ˈi	0.471
#>	i_#>	0.465
l	l	0.464
ˈe	ˈɛ	0.452
u	ɔ	0.444
d	d	0.435
s	s	0.429
j	-	0.421
ˈɔ	ˈɔ	0.417
ʎ	ɣ	0.417
ˈɪ	ˈɛ	0.412
ɲ	n	0.4
z	-	0.4
ŋ	n	0.375
ˈe	ˈe	0.355
d	ð	0.348
ʤ	ʤ	0.333
ʎ	ɭː	0.333
ɒ	-	0.333
u	-	0.333
w_ˈɔ	ˈɔ	0.3
ˈẽ	ˈe	0.286
ɡ	-	0.286
ʀ	r	0.261
ə	u	0.257
ˈɔ	ˈo	0.25
ˈœ	ˈo	0.25
ʎ	u	0.25
w	ˈɔ	0.227
w	ɾ	0.227
ŋ	n_u	0.225
ʤ	β	0.222
ʤ	ɣ	0.222
ʤ	j	0.222
u	ˈɔ	0.222
d	-	0.217
ˈy	-	0.2
ˈi	ˈi_ɾ	0.2
ʧ	-	0.192
w	u	0.182
l	ɖː	0.179
k	ɣ_u	0.174
s	ʧ	0.171
ˈɔ	s	0.167
ˈɔ	-	0.167
j	u	0.158
b	β	0.158
b	-	0.158
ŋ	n_t	0.15
v	b_ɾ	0.143
v	-	0.143
s	ʒ	0.143
l	ɾ	0.143
ˈu	ˈo	0.136
w	ˈo	0.136
w	i	0.136
ˈe	-	0.129
ŋ	ŋ	0.125
t	z	0.125
t	s_t	0.125
ˈɪ	ˈi_ð	0.118
ʧ	t	0.115
s	ʃ	0.114
l	ɭː	0.107
l	-	0.107
ɔ	-	0.105
j	t_u	0.105
j	t_i	0.105
j	i	0.105
j	d	0.105
b	β_ɛ	0.105
ˈu	ˈɔ_ɾ	0.091
w	ˈu	0.091
k	ɡ	0.087
ə	ŭ	0.086
ə	j	0.086
ə	-	0.086
s	u_z	0.086
p	p_ɾ	0.083
ŋ	nː	0.075
ɔ	i	0.07
ˈe	ˈa	0.065
s	z	0.057
