Neapolitan	Neapolitan	probability
ˈɛ_ɾ	ˈe_ʀ	1.0
ˈɛ_lː	l	1.0
ˈu_tː	ˈu	1.0
ˈa_ɾ	ˈa	1.0
ˈa_t	ˈe_j	1.0
ˈa_#>	ˈa_#>	1.0
ʧː_ˈi	ʧ	1.0
ʧ	z	1.0
ʦː	s	1.0
ʤː	ʤ	1.0
ʎː_ə	ʎ_ɔ	1.0
ʎː	ʎ	1.0
ʃː	s	1.0
ɾ_t	ˈɔ_ʀ	1.0
ɾ_n	ʀ	1.0
ɲː	-	1.0
ɲ	ɲ	1.0
ɡ_ə	k	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
v_ə_#>	w_#>	1.0
tː_ə	j	1.0
tː	t	1.0
t_ˈa	t_ˈa	1.0
s_u	lː	1.0
s_t	t	1.0
rː	ʀ	1.0
r	ʀ	1.0
p_ˈe	pʲ	1.0
nː	ŋ	1.0
n_t	ŋ	1.0
mː	m	1.0
lː	l	1.0
l_ˈu	ʎ_ˈy	1.0
kː_ə	ʧ_ɔ	1.0
kː_j	ʎ	1.0
kː	-	1.0
k_ə_#>	k_#>	1.0
k_ə	ɔ	1.0
k_w	k	1.0
k_j	p_l	1.0
j_ˈɛ	ˈe	1.0
j_ˈe	ʤ	1.0
fː	f	1.0
e_#>	#>	1.0
e	-	1.0
dː	-	1.0
b	b	1.0
<#_ˈa	<#_ˈa	1.0
<#_w	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#_ʤ	1.0
<#_a	<#	1.0
<#	<#_ˈa	1.0
#>	ə_#>	1.0
ə_#>	#>	0.977
s	s	0.889
m	m	0.85
f	f	0.824
w	w	0.8
p	p	0.759
ɾ_ə	ʀ_ə	0.75
d	d	0.692
l	l	0.688
i	-	0.625
a	ɒ	0.588
ˈu	ˈu	0.586
u	u	0.556
ə	ɔ	0.551
ɾ	ʀ	0.538
ʃ	s	0.536
k	ʧ	0.533
v	v	0.52
ˈo	-	0.5
ˈe	ˈɪ	0.5
ˈa	ˈa	0.5
ʤ	ʤ	0.5
ʤ	-	0.5
ə_ɾ	ʀ	0.5
ə_ɾ	d_ʀ	0.5
t	d	0.5
sː	s	0.5
sː	-	0.5
o	ə	0.5
o	-	0.5
j	-	0.5
ˈi	ˈi	0.484
k	k	0.467
n	ŋ	0.447
u	-	0.444
ˈɛ	ˈe	0.4
n	n	0.368
ɾ	-	0.359
ˈɔ	ˈɔ	0.353
ˈa	ˈã	0.35
ˈɛ	ˈẽ	0.333
ˈi	ˈɪ	0.323
ˈe	-	0.312
i	ə	0.312
j	l	0.3
ˈo	ˈu	0.286
t	t	0.222
ˈo	ˈũ	0.214
ʃ	ɪ	0.214
ˈu	ˈy	0.207
ˈu	-	0.207
ˈɔ	ˈœ	0.206
w	-	0.2
v	vʲ	0.2
j	ˈɛ	0.2
ˈi	ˈĩ	0.194
ˈe	ˈe	0.188
l	ˈa_l	0.188
ˈɔ	w	0.176
f	fʲ	0.176
a	a	0.176
ə	ə	0.169
ɾ_ə	ə	0.167
t	-	0.167
v	b	0.16
d	dʲ	0.154
d	-	0.154
m	mʲ	0.15
ˈɛ	ˈa	0.133
ˈɛ	ə	0.133
n	-	0.132
l	ʎ	0.125
v	w	0.12
ˈɔ	w_ˈɔ	0.118
a	ˈa	0.118
a	-	0.118
t	ŋ	0.111
s	-	0.111
ʃ	-	0.107
p	-	0.103
ˈa	ˈe_j	0.1
ə	j	0.09
ˈɔ	ˈɔ̃	0.088
ɾ_ə	ɥ	0.083
ʃ	ʧ	0.071
ʃ	ʃ	0.071
p	b_ʀ	0.069
p	b	0.069
i	ĩ	0.062
ˈɔ	-	0.059
n	ˈɔ̃	0.053
ɾ	ˈɔ	0.051
ɾ	ə	0.051
