German	Yiddish	probability
b	b	1.0
d	d	0.877
d	-	0.073
d	t	0.063
f	f	0.973
f	v	0.038
h	h	1.0
j	j	1.0
k	k	0.8
k	ɡ	0.199
kʰ	k	0.977
kʰ	-	0.047
l	l	0.971
m	m	0.95
m	n	0.05
n	n	0.971
p	b	0.548
p	p	0.204
p	-	0.133
p͡f	p	0.629
p͡f	f	0.361
s	s	0.64
s	z	0.257
s	d_z	0.097
s_ə	s	1.0
t	t	0.811
t	d	0.187
tʰ	t	1.0
v	v	0.955
v	-	0.051
x	χ	1.0
z	z	1.0
ç	χ	0.716
ç	k	0.204
ç	ɡ	0.073
ŋ	ŋ	1.0
ɐ	ə	0.511
ɐ	ʀ	0.398
ɐ	ɛ	0.059
ə	-	0.744
ə	ə	0.198
ɡ	ɡ	0.933
ɡ	-	0.067
ɪ	ɪ	0.841
ɪ	ə	0.118
ʁ	ʀ	0.951
ʁ	ʁ	0.049
ʁ_ə	ʀ	1.0
ʃ	ʃ	0.904
ʃ	ʧ	0.092
ʦ	ʦ	0.9
ʦ	t	0.099
ˈa	ˈa	0.864
ˈa	ˈɔ	0.102
ˈa	ˈɛ	0.039
ˈaɪ̯	ˈaɪ̯	0.548
ˈaɪ̯	ˈɛɪ̯	0.448
ˈaʊ̯	ˈɔɪ̯	1.0
ˈaː	ˈɔ	0.957
ˈaː	ˈa	0.055
ˈeː	ˈɛ	0.919
ˈeː	ˈɛɪ̯	0.08
ˈiː	ˈɪ	1.0
ˈoː	ˈɔɪ̯	0.759
ˈoː	ˈʊ	0.12
ˈoː	ˈɔ	0.12
ˈuː	ˈʊ	1.0
ˈyː	ˈɪ	0.668
ˈyː	ˈi	0.23
ˈøː	ˈɛ	0.53
ˈøː	ˈɛɪ̯	0.209
ˈøː	ˈɔɪ̯	0.125
ˈœ	ˈɛ	1.0
ˈɔ	ˈɔ	0.732
ˈɔ	ˈʊ	0.238
ˈɔ	ˈɔɪ̯	0.045
ˈɔɪ̯	ˈɔɪ̯	0.521
ˈɔʏ̯	ˈaɪ̯	1.0
ˈɛ	ˈɛ	0.878
ˈɛ	ˈa	0.112
ˈɛː	ˈɛ	1.0
ˈɪ	ˈɪ	1.0
ˈʊ	ˈʊ	0.901
ˈʊ	ˈɔ	0.097
ˈʏ	ˈɪ	1.0
