Belarusian	Bulgarian	probability
ʧ_a	ʧ_ɛ	1.0
ʦ_a	ʦ_ɛ	1.0
ʦ	ʦʲ	1.0
ʤ̥	d̥	1.0
ʐ̊	ʒ̊	1.0
ʐ	ʒ	1.0
ʌ	-	1.0
ʉ	u	1.0
ʂ	ʃ	1.0
ɨ	i	1.0
ɣʲ	ɐ_ɡ̊	1.0
ɣ	ɡ	1.0
ɛ	-	1.0
z̥	-	1.0
zʲ	z	1.0
z	z	1.0
xʲ	x	1.0
x	x	1.0
v_ɨ	f	1.0
t_ɨ	t	1.0
t_o	t_ɔ	1.0
t	t	1.0
sʲ	s	1.0
s_ɨ	s_i	1.0
s	s	1.0
r_ɨ	r	1.0
r_o	r_ɛ	1.0
r_a	r_ɛ	1.0
r	r	1.0
p	p	1.0
n_ɨ	ɛ_n	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
kʲ	k	1.0
j	j	1.0
e_ˈ	ɛ_ˈ	1.0
d̥ʲ	d_ɐ	1.0
d̥	d̥	1.0
d	d	1.0
b̥	b̥	1.0
b	b	1.0
a_ˈ	ˈ	1.0
a_r	r_a	1.0
k	k	0.943
ɫ	ɫ	0.897
v	v	0.879
ˈ	ˈ	0.875
ʣʲ	d	0.832
bʲ	b	0.802
pʲ	p	0.746
æ	ɛ	0.72
nʲ	n	0.673
ɫ_ɨ	ɫ	0.648
i	i	0.641
e	a	0.621
u	ɤ	0.619
lʲ	l	0.612
ʦʲ	t	0.585
o_ˈ	o	0.571
ʧ	ʃ_t	0.551
a	a	0.548
vʲ	vʲ	0.54
vʲ	v	0.46
ʧ	ʧ	0.449
o_ˈ	ˈ	0.429
lʲ	lʲ	0.388
w	ɫ	0.381
ɵ	ɛ	0.379
o	ɔ	0.377
w	f	0.364
ɫ_ɨ	ɐ_ɫ	0.352
ɵ	ɤ	0.346
nʲ	-	0.327
o	ɤ	0.316
u	u	0.292
ɵ	-	0.276
w	v	0.254
pʲ	pʲ	0.254
i	-	0.225
æ	a	0.222
a	o	0.207
bʲ	bʲ	0.198
e	ɐ	0.174
ʣʲ	dʲ	0.168
ʦʲ	j_ɐ	0.149
i	i_ˈ	0.133
ˈ	-	0.125
a	ɐ	0.123
v	-	0.121
e	ɤ	0.111
ʦʲ	m	0.109
ʦʲ	-	0.109
o	ɛ	0.105
ɫ	-	0.103
e	ɛ	0.094
u	ɐ	0.09
o	-	0.077
o	ɐ	0.072
a	ɔ	0.059
æ	a_ˈ	0.058
k	rʲ	0.057
o	a	0.054
