Nynorsk Norwegian	Middle High German	probability
ˈʉ_ɾ	rː	1.0
ˈɪ	ˈi	1.0
ˈɛ_tː	ɛ	1.0
ˈɑ	ˈɑ	1.0
ˈœʏ̯	-	1.0
ˈœ	-	1.0
ˈæː	-	1.0
ˈæɪ̯	ˈei̯	1.0
ˈæ	ˈɛ	1.0
ˈeː_ɡ	ˈi_x	1.0
ʰpː	f	1.0
ʰkː	k	1.0
ʉ	ə_t	1.0
ɾ_n	r_n	1.0
ɲ	ŋ	1.0
ɡː	kː	1.0
ə	ə	1.0
ŋː	ŋ	1.0
ŋ	ə_ɡ̊	1.0
v	w_ˈo	1.0
sː	n_s	1.0
s_k	ʃː	1.0
s_e	s_ə	1.0
pʰ	p͡f	1.0
m_j	mː	1.0
m	m	1.0
l	l	1.0
kʰ_ʋ	w	1.0
kʰ	kʰ	1.0
jː	-	1.0
j_ˈʉː	l_ˈiə̯	1.0
h	h	1.0
f	v	1.0
d_ɾ	t_r	1.0
b	b	1.0
ɾ	r	0.924
n	n	0.889
ˈɑː	ˈɑ	0.79
ɑ	ə_n	0.77
k	xː	0.763
ç	-	0.748
ˈʉː	ˈuː	0.729
e	ə	0.724
ɡ	ɡ	0.693
ˈiː	ˈiː	0.679
ʋ	w	0.643
ʂ	ʃ	0.617
ˈʉ	ˈu	0.613
s	s	0.61
tʰ	d	0.604
ˈʊ	ˈo	0.6
ˈoː	ˈɑː	0.592
ʰtː	x_t	0.585
lː	l	0.585
ˈæʉ̯	ˈoː	0.55
d	t	0.519
p	f	0.515
ˈuː	ˈuə̯	0.509
ˈyː	ˈiə̯	0.505
j	ɡ	0.498
ˈyː	ˈyː	0.495
ˈøː	ˈyə̯	0.494
d	d	0.481
ˈeː	ˈɛ	0.457
nː	n	0.444
t	s̻	0.442
ʰtː	t	0.415
ˈʏ	ˈy	0.403
ˈʊ	-	0.4
tʰ	ʦ	0.396
ˈɔ	ˈu	0.39
s	ʃ	0.39
ʂ	s	0.383
ˈæʉ̯	ˈou̯	0.364
ˈɛ	ˈɛ	0.359
ˈøː	ə	0.347
ˈɔ	-	0.33
j	ˈɛ	0.31
ɡ	ɡ̊	0.307
ˈʏ	-	0.306
ˈʏ	ˈi	0.291
ˈʉ	ˈo	0.288
ç	xː	0.252
nː	n_d̥	0.246
t	t	0.245
k	-	0.237
ˈeː	ˈiə̯	0.22
p	p͡f	0.219
ˈiː	ˈi	0.215
t	s̻ː	0.214
ˈɑː	ˈɑ_t	0.21
lː	lː	0.208
lː	l_d̥	0.208
ˈɛ	ˈe	0.202
nː	nː	0.2
ˈɛ	ˈɑ	0.196
j	-	0.192
ˈuː	r	0.183
e	-	0.175
ˈɛ	-	0.168
ʋ	b	0.166
ˈeː	-	0.164
ˈʉː	ˈiə̯	0.163
ɑ	ə	0.161
ˈɔ	ˈo	0.159
ˈøː	ˈeː	0.159
ˈeː	ˈi	0.158
ˈuː	ˈo	0.154
ˈuː	-	0.154
ˈoː	-	0.133
p	p	0.133
p	fː	0.133
ʋ	f	0.126
ˈɔ	ˈɑ_x	0.121
nː	n_d	0.11
ˈʉː	ˈo	0.108
ˈiː	n	0.106
e	ɡ_ə	0.101
ˈʉ	-	0.099
ˈoː	ˈeː	0.099
t	ʦ	0.099
ˈoː	ˈɑ	0.096
ˈæʉ̯	ou̯	0.085
ˈoː	ɑː	0.08
ˈɛ	ˈei̯	0.074
n	-	0.069
ʋ	b_ə	0.065
ɑ	n	0.06
