Dutch	Dutch	probability
χ_t	x_t	1.0
ˈɛ_ɾ	ʁ_ˈi	1.0
ˈɑu̯	ˈɒ_l	1.0
ˈøː	ˈɒː	1.0
ˈyː	ˈiː	1.0
ˈu_t	ˈiː_s	1.0
ˈoː_d̥	ˈoː_t	1.0
ʋ	ʋ	1.0
ɾ	ʁ	1.0
ɫ	l	1.0
ɪ_ŋ	i	1.0
ɦ	h	1.0
ə_ɫ	l	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
z_ʋ	ʃ_w	1.0
z	s	1.0
w	-	1.0
v̥_#>	b̥_#>	1.0
v̥	f	1.0
s_χ	ʃ	1.0
s_#>	#>	1.0
n_#>	#>	1.0
k_#>	ʃ_#>	1.0
j	j	1.0
i	eː	1.0
d̥	t	1.0
d_ɾ	t_ʁ	1.0
b	b̥	1.0
<#_ˈɛi̯	<#_ˈəi̯	1.0
<#_ɾ	<#_ʁ	1.0
<#_n	<#_n	1.0
m	m	0.917
v	f	0.909
s	ʃ	0.882
n	n	0.868
ˈu	ˈʊː	0.818
ə	ə	0.804
d	d̥	0.786
ˈɪ	ˈi	0.762
d̥_#>	d̥_#>	0.75
ˈœy̯	ˈyː	0.727
χ	ɡ̊	0.706
p	f	0.7
k	kʰ	0.684
χ_ə	j	0.667
ˈʏ	ˈu	0.667
ˈɑ	ˈɒ	0.667
ˈɔ	ˈu	0.632
χ_#>	k_#>	0.571
ˈɛi̯	ˈiː	0.5
χ_#>	#>	0.429
ˈaː	ˈoː	0.412
ˈi	ˈiː	0.385
ˈɔ	ˈo	0.368
t	ʦ	0.368
t	s	0.342
χ_ə	ʋ	0.333
ˈʏ	ˈe	0.333
ˈɛ	ˈe	0.333
ˈɑ	ˈɒː	0.296
t	t	0.289
ˈeː	ˈəi̯	0.286
d̥_#>	#>	0.25
ˈɪ	-	0.238
ˈoː	ˈu	0.238
ˈaː	ˈɒ	0.235
ˈaː	-	0.235
ˈi	ˈei̯	0.231
ˈi	-	0.231
d	t	0.214
ˈɛi̯	ˈəi̯	0.2
ˈɛi̯	-	0.2
ˈɛ	ˈæ	0.2
ˈɛ	ˈi	0.2
p	p͡f	0.2
ə	-	0.196
ˈoː	ˈʊː	0.19
ˈoː	ˈoː	0.19
ˈoː	ˈo	0.19
ˈœy̯	-	0.182
ˈu	ˈøː	0.182
χ	ʃ	0.176
ˈi	ˈeː	0.154
ˈeː	ˈæː	0.143
ˈɛ	ˈeː	0.133
ˈɛ	-	0.133
χ	x	0.118
ˈaː	ˈæː	0.118
s	k_s	0.118
k	x	0.105
k	k	0.105
k	i_ʃ	0.105
ˈɛi̯	e	0.1
p	p	0.1
ˈoː	ˈeː	0.095
ˈeː	ˈæ	0.095
ˈeː	ˈi	0.095
ˈeː	ˈeː	0.095
ˈeː	ˈei̯	0.095
ˈeː	ˈe	0.095
ˈeː	-	0.095
n	ə	0.094
ˈœy̯	ˈøi̯	0.091
v	ʋ	0.091
m	m_ə	0.083
