Bokmål Norwegian	Proto-Germanic	probability
b	b	1.0
d	d	0.599
d	t	0.137
d	ð_ɑ̃	0.094
d	θ	0.07
d	-	0.07
e	ɔ̃ː	1.0
f	ɸ	0.986
h	x	0.94
i	ɑ	1.0
j	ɣ	0.401
j	x	0.341
j	-	0.194
k	k	0.536
k	k_ɑ	0.228
k	k_i	0.139
k	x	0.069
kʰ	k	0.754
kʰ	kʷ	0.148
kʰ	ɸ	0.098
kː	ŋ_k	0.663
kː	k	0.213
kː	kː	0.124
l	l	0.794
l	l_ɑ	0.17
lː	l	0.387
lː	lː	0.232
lː	l_β	0.19
lː	l_d	0.105
lː	r	0.055
m	m	0.763
m	m_ɑ	0.237
mː	mː	0.714
mː	m	0.286
n	n	0.802
n	n_ɑ	0.137
nː	n	0.345
nː	n_d	0.16
nː	nː	0.13
nː	nː_i	0.123
nː	j	0.091
nː	n_θ	0.077
p	p	0.542
p	p_ɑ	0.458
pː	pː	1.0
s	s	0.925
s	s_ɑ̃	0.066
sː	s	1.0
t	t	0.54
t	t_ɑ	0.426
tʰ	θ	0.537
tʰ	t	0.314
tʰ	d	0.073
tː	t	0.631
tː	t_ɑ	0.234
tː	x_t	0.135
ŋ	ɑ̃	0.468
ŋ	n	0.276
ŋ	-	0.128
ŋ	ɡ	0.128
ŋː	ŋ_ɡ	0.685
ŋː	ɡʷ	0.228
ŋː	n	0.086
ɕ	k	0.804
ɕ	d	0.132
ɕ	θ	0.064
ə	n_ɑ̃	0.206
ə	ɔ̃ː	0.174
ə	ɔːː	0.133
ə	e	0.069
ə	i_j	0.063
ə	ɑ̃	0.058
ə	i	0.052
ɡ	ɣ	0.679
ɡ	ɣ_ɑ	0.265
ɡː	ɣ_j	0.737
ɡː	jː	0.263
ɪ	iː	0.5
ɪ	ɑ	0.5
ɳ	n_ɑ̃	0.612
ɳ	r_n	0.262
ɳ	-	0.126
ɾ	r	0.708
ɾ	-	0.068
ɾ	x_r	0.051
ʂ	s	0.702
ʂ	m	0.298
ʃ	s_k	1.0
ʈ	t	1.0
ʈː	t	1.0
ʋ	w	0.606
ʋ	xʷ	0.094
ʋ	β	0.087
ʋ	β_ɑ	0.086
ʋ	-	0.083
ˈeː	ˈɑ	0.196
ˈeː	ˈe_w	0.19
ˈeː	ˈɑi̯	0.166
ˈeː	ˈe	0.159
ˈeː	-	0.108
ˈeː	ˈi	0.078
ˈeː	ɑ	0.063
ˈiː	ˈiː	0.384
ˈiː	ˈe	0.301
ˈiː	ˈi	0.19
ˈiː	ˈiː_ð	0.106
ˈoː	ˈɛː	0.539
ˈoː	ˈɑ	0.152
ˈoː	ˈɑi̯	0.122
ˈoː	ˈɑː	0.083
ˈuː	ˈɔː	0.263
ˈuː	ˈu	0.217
ˈuː	ˈu_r	0.141
ˈuː	ˈɔː_ð	0.1
ˈuː	w	0.093
ˈuː	ˈɔː_θ	0.092
ˈuː	-	0.081
ˈyː	ˈeu̯	0.772
ˈyː	ˈiu̯	0.167
ˈyː	ˈɔː	0.061
ˈæ	ˈe	1.0
ˈæɪ̯	ˈɑi̯	0.611
ˈæɪ̯	ˈe_ɣ	0.203
ˈæɪ̯	ˈi	0.154
ˈæː	ˈe	0.734
ˈæː	ˈeː	0.164
ˈæː	ˈiu̯	0.101
ˈøː	ˈɑu̯	0.384
ˈøː	ˈɔː	0.248
ˈøː	ˈɑu̯_ð	0.156
ˈøː	ˈɑi̯	0.082
ˈøː	ɔːː	0.067
ˈøː	ˈɑ	0.063
ˈœ	ˈu	0.295
ˈœ	ˈɔː	0.226
ˈœ	ˈi	0.199
ˈœ	ˈɑu̯	0.111
ˈœ	-	0.085
ˈœ	ˈe	0.084
ˈœʏ̯	ˈɑu̯	1.0
ˈɑ	ˈɑ	0.889
ˈɑ	ˈɑ_t	0.085
ˈɑː	ˈɑ	0.749
ˈɑː	ˈɑ_r	0.251
ˈɔ	ˈu	0.648
ˈɔ	ˈɑ	0.199
ˈɔ	ˈe	0.153
ˈɛ	ˈɑ	0.372
ˈɛ	ˈe	0.296
ˈɛ	ˈɑi̯	0.155
ˈɛ	ˈi	0.151
ˈɛː	ˈe	1.0
ˈɪ	ˈi	0.654
ˈɪ	ˈi_n	0.213
ˈɪ	ˈe	0.068
ˈʉ	ˈu	0.948
ˈʉː	ˈuː	0.642
ˈʉː	ˈeu̯	0.132
ˈʉː	ˈu	0.105
ˈʉː	ˈe	0.072
ˈʊ	ˈu	0.933
ˈʊ	ˈɑi̯	0.067
ˈʏ	ˈu	0.595
ˈʏ	ˈi	0.166
ˈʏ	ˈiu̯	0.158
ˈʏ	ˈeu̯	0.081
