Bokmål Norwegian	Proto-Germanic	probability
b	b	1.0
d	d	0.607
d	θ	0.118
d	ð_ɑ̃	0.103
d	t	0.059
d	β	0.059
e	ɔ̃ː	1.0
f	ɸ	1.0
h	x	0.946
h	-	0.054
i	ɑ	1.0
j	ɣ	0.315
j	ˈe	0.252
j	-	0.207
j	ɑ	0.101
j	x	0.079
k	k	0.32
k	k_s	0.202
k	k_ɑ	0.19
k	k_i	0.133
k	kʷ	0.077
kʰ	k	0.646
kʰ	kʷ	0.183
kʰ	ɸ_r	0.137
kː	ŋ_k	0.85
kː	k	0.077
l	l	0.775
l	l_ɑ	0.14
l	ɑ_l	0.08
lː	l	0.54
lː	lː	0.193
lː	k	0.094
lː	r	0.092
m	m	0.762
m	m_ɑ	0.236
mː	m	0.683
mː	mː	0.222
n	n	0.786
n	n_ɑ	0.104
n	j	0.04
n	ð	0.038
n	-	0.033
nː	nː	0.241
nː	n	0.232
nː	n_θ	0.145
nː	n_d	0.142
nː	m	0.094
p	p	1.0
s	s	0.978
sː	s	1.0
t	t	0.717
t	t_s	0.156
t	t_ɑ̃	0.122
tʰ	θ	0.555
tʰ	t	0.425
tʰ	d	0.034
tː	t	0.367
tː	x_t	0.367
tː	t_ɑ	0.251
ç	k	0.871
ç	θ	0.073
ŋ	ɡ	0.454
ŋ	ɑ̃	0.336
ŋ	z	0.193
ŋː	ŋ_ɡ	0.687
ŋː	n	0.138
ŋː	ɡʷ	0.104
ŋː_ə	ŋ	1.0
ə	ɑ_n	0.219
ə	i	0.159
ə	ɔ̃ː	0.148
ə	ɔːː	0.109
ə	-	0.067
ɡ	ɣ	0.731
ɡ	ɣ_ɑ	0.169
ɡ	wː	0.089
ɡː	ɣ_j	0.623
ɡː	jː	0.349
ɪ	ɑ	0.686
ɪ	iː	0.302
ɳ	n_ɑ̃	0.514
ɳ	n	0.351
ɳ	ɔːː	0.089
ɾ	r	0.657
ɾ	z	0.104
ɾ	ɛː_r	0.053
ɾ	r_ɔː	0.037
ɾ	r_u	0.033
ʂ	s	0.594
ʂ	m	0.392
ʃ	k	0.12
ʈ	t	0.493
ʈː	t	1.0
ʋ	w	0.504
ʋ	β	0.224
ʋ	xʷ	0.113
ʋ	-	0.071
ʋ	ɑ	0.038
ˈeː	ˈɑ	0.22
ˈeː	ˈe_w	0.191
ˈeː	ˈi	0.191
ˈeː	ˈe	0.16
ˈeː	ˈɑi̯	0.101
ˈiː	ˈiː	0.462
ˈiː	ˈe	0.158
ˈiː	ˈi	0.117
ˈiː	ˈi_n	0.117
ˈiː	ˈiː_ð	0.117
ˈoː	ˈɛː	0.416
ˈoː	ˈɑ_x	0.224
ˈoː	ˈu	0.141
ˈoː	ˈɑ	0.088
ˈoː	ˈɑi̯	0.066
ˈuː	ˈɔː	0.328
ˈuː	ˈu_r	0.161
ˈuː	ˈɔː_θ	0.127
ˈuː	w	0.096
ˈuː	ˈɔː_ð	0.096
ˈyː	ˈeu̯	0.601
ˈyː	ˈeu̯_x	0.173
ˈyː	ˈiu̯	0.103
ˈyː	ˈɔː	0.089
ˈæ	ˈe	1.0
ˈæɪ̯	ˈɑi̯	0.415
ˈæɪ̯	ˈe	0.189
ˈæɪ̯	ˈi	0.153
ˈæɪ̯	ˈɑ	0.153
ˈæː	ˈe	0.488
ˈæː	r	0.183
ˈæː	ˈeː	0.183
ˈøː	ˈɑu̯	0.39
ˈøː	ˈɑ	0.155
ˈøː	ˈɑu̯_ð	0.155
ˈøː	w	0.135
ˈøː	ˈɔː	0.102
ˈøː_ɾ	ˈɑu̯	0.243
ˈœ	ˈu	0.425
ˈœ	ˈɑu̯	0.202
ˈœ	ˈe	0.162
ˈœ	ˈɔː	0.11
ˈœ	ˈi	0.073
ˈœʏ̯	ˈɑu̯	0.493
ˈɑ	ˈɑ	0.832
ˈɑ	ˈɑ_t	0.123
ˈɑ	ˈu	0.046
ˈɑː	ˈɑ	1.0
ˈɔ	ˈu	0.53
ˈɔ	ˈɑ	0.3
ˈɔ_ʋ	ˈu	1.0
ˈɛ	ˈɑ	0.408
ˈɛ	ˈe	0.199
ˈɛ	ˈɑi̯	0.169
ˈɛ	ˈi	0.1
ˈɛ	r	0.066
ˈɛː	ˈe	0.493
ˈɪ	ˈi	0.767
ˈɪ	-	0.075
ˈɪ	j	0.075
ˈɪ	ˈɔː	0.075
ˈʉ	ˈu	0.691
ˈʉ	w_ˈu	0.167
ˈʉ	ˈuː	0.08
ˈʉ	ˈe	0.049
ˈʉː	ˈuː	0.657
ˈʉː	ˈu	0.152
ˈʉː	ˈe	0.101
ˈʉː	ˈeu̯	0.069
ˈʊ	ˈu	0.855
ˈʊ	ˈɑi̯	0.144
ˈʏ	ˈu	0.437
ˈʏ	ˈiu̯	0.229
ˈʏ	ˈeu̯	0.151
ˈʏ	ˈi	0.11
