Romagnol	Romagnol	probability
θ_#>	w_#>	1.0
θ	s	1.0
ˈʌ̃_#>	ˈa_#>	1.0
ˈʌ̃	ˈa	1.0
ˈɛ̃	ˈe	1.0
ˈɛə̯_s	ˈe_s	1.0
ˈɔə̯	ˈɒ	1.0
ˈõũ̯_#>	#>	1.0
ˈõũ̯	ˈo	1.0
ˈou̯_n	ˈu_n	1.0
ˈi_#>	ˈi_r_#>	1.0
ˈeə̯_d	ˈa	1.0
ˈe	ˈæ	1.0
ˈaː	l_ˈa	1.0
ˈa	ˈa	1.0
ʤ	ɡ_l	1.0
ɲ	ɲ	1.0
ɡ_#>	k_#>	1.0
ɐ_r	ɾ_e	1.0
ɐ_n	n	1.0
ɐ_#>	#>	1.0
ŋ	ŋ	1.0
ð_#>	ʧ_#>	1.0
ð	ʤ	1.0
v_ɐ	w	1.0
v_r	β_ɾ	1.0
u	o	1.0
t_ˈeə̯	t_ˈa	1.0
t_m	mː	1.0
t_#>	#>	1.0
r_m	r_m	1.0
p_#>	s_#>	1.0
p	p	1.0
o	-	1.0
n_#>	#>	1.0
m_#>	m_#>	1.0
m	m	1.0
l_#>	l_#>	1.0
k_v	w	1.0
k_r	k_ɾ	1.0
k_#>	k_#>	1.0
k	k	1.0
j̃	-	1.0
j_ˈɔə̯	ˈi	1.0
f	f	1.0
e	ˈe	1.0
d_ˈɛ	d_ˈi	1.0
a	a	1.0
<#_θ	<#_s	1.0
<#_ˈɔə̯	<#_ˈɒ	1.0
<#_ˈo	<#_ˈu	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɐ	<#_a	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_ʎ	1.0
<#	<#_r	1.0
s	s	0.892
r_#>	r_#>	0.818
t	t	0.816
n	n	0.771
v	v	0.759
d	d	0.722
ʧ	ʎ	0.714
b	b	0.7
ˈi	ˈi	0.667
ˈẽ	ˈi	0.667
ˈeː	ˈæ	0.667
d_#>	t_#>	0.667
ˈu	ˈu	0.625
ˈɛə̯	ˈe	0.588
ˈou̯	ˈo	0.562
ˈeə̯	ˈa	0.536
l	ʎ	0.516
r	ɾ	0.513
ˈɔ	ˈɒ	0.5
z	w	0.5
v_#>	w_#>	0.5
v_#>	#>	0.5
i	i	0.5
i	e	0.5
ˈɛ	ˈæ	0.464
j	l	0.438
l	l	0.419
ˈo	ˈo	0.4
#>	s_#>	0.4
r	r	0.385
ˈu	ˈɒ	0.375
j	-	0.375
ɡ	ɣ	0.364
ˈo	ˈu	0.35
ɐ	ɐ	0.348
ˈɔ	ˈu	0.333
ˈẽ	ˈe	0.333
ˈeː	ˈe	0.333
d_#>	#>	0.333
ˈou̯	ˈɒ	0.312
z	s	0.3
ʧ	k_l	0.286
d	ð	0.278
ɡ	ɡ	0.273
ˈo	ˈɒ	0.25
ˈeə̯	ˈa_r	0.25
ɐ	ɜ	0.239
ˈɛə̯	ˈæ	0.235
ˈi	ˈæ	0.222
ˈɛ	ˈe	0.214
z	-	0.2
#>	ɐ_#>	0.2
ɐ	ɞ	0.185
ɡ	k	0.182
ɡ	-	0.182
r_#>	#>	0.182
ˈɛə̯	ˈi	0.176
v	w	0.172
ˈɔ	-	0.167
b	β	0.15
b	-	0.15
#>	w_#>	0.15
#>	r_#>	0.15
ˈɛ	ˈi	0.143
n	-	0.143
ɐ	a	0.13
ˈou̯	ˈæ	0.125
j	z	0.125
ˈi	ˈe	0.111
s	ʃ	0.108
ˈɛ	ˈe_j	0.107
ˈeə̯	ˈa_l	0.107
ˈeə̯	r	0.107
#>	t_#>	0.1
n	ɲ	0.086
t	ð	0.079
ɐ	e	0.076
ˈɛ	e	0.071
v	β	0.069
l	-	0.065
j	ɫː	0.062
t	t_ɾ	0.053
t	j_t	0.053
r	ɾ_e	0.051
r	-	0.051
