Lower Sorbian	Slovenian	probability
a	a	1.0
b	b	1.0
bʲ	b	1.0
d	d	1.0
i	i	1.0
m	m	1.0
mʲ	m	1.0
n	n	1.0
p	p	1.0
pʲ	p	1.0
r	r	1.0
vʲ	ʋ	1.0
x	x	1.0
z	z	1.0
ɡ	ɡ	1.0
ɨ	ə	1.0
ɲ	n	1.0
ʂ	ʃ	1.0
ʐ	ʒ	1.0
ʑ	d	1.0
ʨ	t	1.0
ˈɨ	ìː	1.0
k	k	0.871
ɔ	óː	0.241
ʦ	ʦ	0.271
ˈɔ	òː	0.051
ˈɔ	óː	0.421
ˈɛ	óː	0.081
ˈɛ	òː	0.11
ˈɛ	ɔ̀ː	0.541
ˈɪ	e	0.1
k	x	0.072
s	s	0.962
ɕ	<#_ʋ	0.092
ɛ	èː	0.542
ˈɔ	áː	0.242
e	éː	0.793
l	l	0.843
t	t	0.93
v	-	0.063
ɔ	ɔ	0.643
ɛ	éː	0.123
ɛ	ɛ	0.23
ˈa	éː	0.103
ˈa	ə́	0.163
ˈe	ɛ	0.23
ˈɪ	èː	0.343
j	j	0.654
rʲ	r	0.984
w	-	0.244
ɕ	t_i	0.264
ˈa	á	0.054
ˈa	àː	0.324
ˈi	íː	0.374
ɕ	-	0.135
ɛ	ə	0.105
ˈe	èː	0.085
ˈu	óː	0.25
ˈu	úː	0.75
j	-	0.346
ˈa	ə̀	0.356
ˈe	ɛ̀ː	0.406
ˈi	ìː	0.626
e	ɛ	0.207
k	-	0.057
l	w	0.157
t	d	0.07
v	ʋ	0.937
ɔ	ɛ	0.117
ˈɔ	ɔ̀ː	0.197
w	w	0.348
w	l	0.408
ˈɪ	ɛ̀ː	0.138
ɕ	t	0.509
ʦ	ʧ	0.729
ˈe	e	0.279
ˈɔ	àː	0.089
ˈɛ	o	0.269
ˈɪ	éː	0.419
