Gothic	Northern Low Saxon	probability
β_a	m	1.0
β	m	1.0
ˈɛ_h	ˈø	1.0
ˈɔ_r	ˈɔː	1.0
ˈɔ	ˈaʊ̯	1.0
ˈiː	ˈiː	1.0
ˈi_ɣ	i	1.0
ˈeː	ˈoː	1.0
ˈa_r	ˈaː	1.0
ʍ	v	1.0
ɣ_a	ŋ	1.0
ɡʷː	ˈuː	1.0
ɡʷ	-	1.0
ɔː	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
ð	d	1.0
x	ç	1.0
u	-	1.0
t_a	d	1.0
s_k	ʃ	1.0
r_u	ɐ	1.0
r_t	d	1.0
p	b	1.0
nː	n	1.0
n_d	n	1.0
n	n	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
iː	-	1.0
i	-	1.0
f	f	1.0
e	-	1.0
d	d	1.0
aː	-	1.0
a_r	ɐ	1.0
k	ɡ	0.899
b	b	0.893
w	v	0.866
oː	-	0.849
ˈoː	ˈaʊ̯	0.792
j	-	0.763
θ	d	0.725
a	-	0.696
ˈɛː	ˈaɪ̯	0.695
ˈu	ˈʊ	0.684
t	d	0.684
ɡ	-	0.66
r	ɐ	0.623
ˈi	ˈɪ	0.617
ˈuː	ˈuː	0.577
ˈiu̯	ˈaɪ̯	0.572
ˈa_l	l	0.567
h	h	0.55
ˈa	ˈa	0.513
ˈɔː	ˈaʊ̯	0.509
ˈɛ	-	0.487
ˈa_l	ˈaʊ̯_l	0.433
s	ʃ	0.426
ˈuː	-	0.423
s	s	0.39
r	r	0.377
ˈɛ	ˈaɪ̯	0.351
t	t	0.316
ˈɛː	ˈɪ	0.305
h	x	0.283
θ	-	0.275
ˈiu̯	-	0.248
ˈɔː	ˈɔʏ̯	0.246
ˈɔː	-	0.246
ˈa	ˈoː	0.242
ɡ	ɡ	0.224
ˈoː	-	0.208
j	ʒ	0.185
ˈu	-	0.181
ˈiu̯	ˈyː	0.18
h	-	0.166
a	m	0.163
ˈɛ	ˈɛɪ̯	0.162
oː	ɐ	0.151
s	-	0.148
ˈi	-	0.145
ˈu	ˈøː	0.134
w	-	0.134
a	ɐ	0.117
ɡ	j	0.116
b	-	0.107
ˈi	ˈʏ	0.103
k	k	0.101
ˈi	ˈeː	0.082
ˈa	ˈɛ	0.082
ˈa	ˈaʊ̯	0.082
ˈa	-	0.082
ˈi	ˈɛ	0.052
j	ˈɛː	0.052
