Upper Sorbian	Upper Sorbian	probability
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʥ	ɟ	1.0
ʒ̊	ʒ̊	1.0
ʒ	ʒ	1.0
ʀʲ	r	1.0
ʀ_ɔ	r_a	1.0
ɲ	ɲ	1.0
ɦ	ɦ	1.0
ɥ	ʋ	1.0
ɔ_ʀ	r̩ː	1.0
ɔ_w	ɫ̩	1.0
z̥	z̥	1.0
z	z	1.0
xʲ	x	1.0
x	x	1.0
w_u	l̩	1.0
w_o	ɫ_a	1.0
t	t	1.0
s	s	1.0
pʲ	p	1.0
o_s	ɔ_s	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
kʲ	k	1.0
k	k	1.0
e_ʀ	r̩	1.0
e_s	ɛ_s	1.0
d̥	d̥	1.0
d	d	1.0
b̥	b̥	1.0
bʲ	b	1.0
b	b	1.0
a_w	aː_ʋ	1.0
<#_w_ɔ	<#_ɔ	1.0
<#_w_u	<#_u	1.0
ʀ	r	0.895
ʨ	c	0.87
a	a	0.87
p	p	0.778
j	j	0.727
ɛ	ɛ	0.692
ɔ	ɔ	0.646
u	u	0.562
i	i	0.562
ɔ_#>	ɛ_#>	0.5
ɔ_#>	#>	0.5
o	ɔ	0.5
l	ʎ	0.474
ɪ	iː	0.438
i	iː	0.438
w	ʋ	0.419
w	ɫ	0.419
ɪ	i	0.406
e	ɪ̯ɛ	0.389
e	ɛ	0.389
l	l	0.368
ʃ	ʃ	0.333
ʃ	r	0.333
ʃ	-	0.333
j	-	0.273
u	uː	0.25
o	a	0.25
o	-	0.25
p	f	0.222
e	-	0.222
ɔ	ɛ	0.208
u	-	0.188
w	l	0.161
l	ɫ	0.158
ɛ	-	0.154
ɪ	-	0.125
ʀ	r̩	0.105
ʨ	t	0.087
ɛ	ɪ̯ɛ	0.077
ɛ	e	0.077
ɔ	ɪ̯ɛ	0.062
