Swabian	Swabian	probability
ˈɪ	ˈi	1.0
ˈɛː	ˈi	1.0
ˈɔː	ˈeː	1.0
ˈɔə̯	ˈoː	1.0
ˈɔe̯	ˈɛː	1.0
ˈɔ	-	1.0
ˈuː	-	1.0
ˈuə̯	ˈoː	1.0
ˈu	-	1.0
ˈiː	ˈi	1.0
ˈiə̯	ˈiu̯	1.0
ˈeə̯	h_u	1.0
ˈa	ˈa	1.0
ʦ	t	1.0
ʃ_d	s_t	1.0
ʁ	r	1.0
ɪ	a	1.0
ç	k	1.0
x_d	h_t	1.0
x	h	1.0
t	-	1.0
n_d	n	1.0
m	m	1.0
kʰ	k	1.0
j	j	1.0
h	h	1.0
e	a	1.0
b̥͡f	-	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʦ	<#_t	1.0
<#_ʁ	<#_r	1.0
<#_ɡ	<#_ɡ	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_h	1.0
ʋ	w	0.882
l	l	0.857
ˈi	ˈi	0.833
ʕ	r	0.833
n	n	0.833
ˈo	ˈu	0.818
s	t	0.727
f	f	0.682
ˈəi̯	ˈiː	0.667
b	b	0.667
#>	s_#>	0.64
ˈaː	ˈa	0.6
a	a	0.6
ʃ	s_k	0.583
ˈae̯	-	0.571
<#_d	<#_d	0.571
ˈeː	ˈɔː	0.5
ˈeː	ˈi	0.5
ˈe	ˈi_ŋ	0.5
ˈe	ˈi	0.5
ŋ	ŋ_ɡ	0.5
ʌ	a_r	0.467
d	θ	0.452
<#_d	<#_θ	0.429
ʃ	s	0.417
ˈaː	ˈa_n	0.4
ˈoː	ˈɔː	0.375
ˈoː	-	0.375
ˈao̯	ˈɔː	0.375
ˈao̯	ˈuː	0.375
ˈɛ	ˈɛ	0.357
ˈɛ	ˈi	0.357
ɡ	ɡ	0.357
ˈəi̯	ˈiu̯	0.333
d	d	0.323
f	p	0.318
#>	n_#>	0.292
ˈɛ	ˈa	0.286
ˈae̯	ˈiː	0.286
ɡ	ɣ	0.286
s	s	0.273
ˈoː	ˈɔ	0.25
ˈao̯	-	0.25
ŋ	ɡ	0.25
ŋ	ŋ	0.25
b	β	0.238
ɡ	x	0.214
ʌ	r	0.2
ʌ	-	0.2
ˈo	-	0.182
ˈi	-	0.167
ʕ	ˈɔ_r	0.167
a	n	0.167
a	j_a	0.167
ˈae̯	ɡʷː	0.143
ɡ	-	0.143
ʌ	a	0.133
ʋ	ʍ	0.118
n	-	0.111
d	ð	0.097
b	f	0.095
l	lː	0.071
l	l_θ	0.071
a	oː	0.067
d	t	0.065
d	iː_s	0.065
n	aː	0.056
