Slovenian	Lower Sorbian	probability
á	ˈa	1.0
áː	ˈɔ	1.0
i	i	1.0
íː	ˈi	1.0
o	ˈɛ	1.0
òː	ˈɛ	1.0
s	s	1.0
úː	ˈu	1.0
z	z	1.0
ɔ	ɔ	1.0
ə̀	ˈa	1.0
ə́	ˈa	1.0
ʃ	ʂ	1.0
ʒ	ʐ	1.0
ʦ	ʦ	1.0
ʧ	ʦ	1.0
e	ˈɪ	0.641
èː	ɛ	0.11
óː	ˈɛ	0.051
óː	ˈɔ	0.491
ɛ	ˈe	0.141
ɛ	ɛ	0.141
ɛ̀ː	ˈe	0.351
àː	ˈɔ	0.42
l	l	0.582
m	m	0.482
ɔ̀ː	ˈɔ	0.502
b	bʲ	0.653
éː	ˈa	0.143
éː	e	0.223
ìː	ˈi	0.583
j	j	0.223
w	w_ɨ	0.233
w	w	0.53
ə	ɨ	0.253
èː	ˈɪ	0.824
k	k	0.884
l	d_w	0.054
p	pʲ	0.444
r	-	0.244
ɡ	ɡ	0.904
ʋ	-	0.064
n	n_ɨ	0.235
óː	ˈu	0.065
óː	ɔ	0.375
x	x_ɨ	0.135
x	k	0.475
ʋ	vʲ	0.585
d	d	0.556
èː	ˈe	0.066
k	kʲ_i	0.116
p	p	0.556
r	rʲ	0.226
ɡ	ɨ_#>	0.096
a	a	0.967
b	b	0.347
éː	ˈɪ	0.497
ìː	ˈɨ	0.417
j	-	0.777
l	-	0.187
n	ɲ	0.487
r	r	0.517
w	l	0.237
àː	ˈa	0.58
d	ʑ	0.418
éː	ɛ	0.138
l	w	0.178
m	mʲ	0.518
t	ɕ	0.408
t	t	0.548
ɔ̀ː	ˈɛ	0.498
ə	-	0.608
ɛ	e	0.138
ɛ	ɔ	0.58
ʋ	v	0.348
e	ˈe	0.359
n	n	0.279
x	x	0.39
ə	ɛ	0.139
ɛ̀ː	ˈɪ	0.649
