Romagnol	Sassarese	probability
ˈɛə̯_t	ˈɛ_tː	1.0
ˈɔə̯_r	ˈɔ_ɬ	1.0
ˈou̯_n	ˈu_n	1.0
ˈe	ˈe_ɮ	1.0
ˈa_t	ˈa_tː	1.0
ˈa	ˈa	1.0
ʤ	ʤ	1.0
ɲ	ɲː	1.0
ɐ_r	ˈi	1.0
ɐ_n	a_n	1.0
ŋ	ŋ	1.0
w	tː_ˈu	1.0
r_k	xː	1.0
o	u	1.0
n_ð	ɲː	1.0
n	n	1.0
j̃	n	1.0
e	i	1.0
d_ɐ	dː_a	1.0
f	f	0.961
ˈʌ̃	ˈa	0.897
p	p	0.896
ˈɔə̯	ˈɔ	0.823
b	b	0.811
a	a	0.811
ˈeə̯	ˈa	0.804
u	u	0.772
ˈou̯	ˈo	0.771
k	k	0.76
d	d	0.751
m	m	0.738
ˈɔ	ˈɔ	0.733
i	i	0.727
ɐ	a	0.725
r	r	0.725
ʧ	ʧː	0.719
ˈu	ˈu	0.7
ˈɛə̯	ˈɛ	0.675
ˈeː	ˈe	0.667
ˈẽ	ˈi	0.6
s	s	0.599
ˈeə̯_l	ˈa	0.591
ˈõũ̯	ˈo_n	0.53
ˈi	ˈi	0.529
ð	ʤ	0.528
j	j	0.516
ˈo	ˈu	0.506
ɡ	ɡ	0.491
ˈõũ̯	ˈɔ_n	0.47
ˈɛ	ˈɛ	0.465
t	t	0.45
θ	ʦː	0.41
v	v	0.41
ˈeə̯_l	ˈa_r	0.409
ˈẽ	ˈɛ	0.4
l	r	0.398
ˈi	ˈe	0.379
ɡ	ɡː	0.371
l	dː	0.371
z	ʦ_i	0.36
θ	-	0.357
ˈɛə̯	ˈe	0.325
ð	-	0.308
ˈu	ˈɔ	0.3
ˈɛ	ˈi	0.294
ʧ	ʧ	0.281
j	-	0.277
i	ˈi	0.273
ˈɔ	ˈo	0.267
m	mː	0.262
ˈo	ˈo	0.256
d	dː	0.249
z	ʒ	0.245
ˈɛ	ˈe	0.241
t	dː	0.238
ˈo	ˈɔ	0.237
θ	ʦ	0.233
v	β	0.232
ˈou̯	ˈɔ	0.229
u	o	0.228
ɐ	i	0.218
t	tː	0.214
z	z	0.213
j	ʎː	0.207
v	-	0.2
ˈeː	ˈɛ	0.196
ˈeə̯	ˈa_ɬ	0.196
b	-	0.189
a	e	0.189
z	ʦ	0.183
ˈɔə̯	-	0.177
s	sː	0.169
ð	ʣ	0.165
l	u	0.156
ɡ	-	0.138
ˈeː	ˈi	0.137
r	rː	0.133
k	kː	0.107
p	pː	0.104
ˈʌ̃	ˈa_n	0.103
s	ɬ	0.097
ˈi	r	0.092
v	w	0.085
r	j	0.076
l	lː	0.075
v	b	0.073
k	-	0.067
s	ʃː	0.061
t	t_i	0.06
ɐ	u	0.057
