Old Church Slavonic	Czech	probability
ˈ_z	z̥	1.0
ˈ	-	1.0
ʧ	ʧ	1.0
ʊ_ˈ	u	1.0
ʃ	ʦ	1.0
ɯ_ˈ	iː	1.0
ɯ	ɪ	1.0
ɪ_ˈ	ɛ	1.0
ɪ	-	1.0
ɡ	ɦ	1.0
ɛ	ɛ	1.0
ɔ	o	1.0
æ_ˈ	iː	1.0
x	x	1.0
v_ɛ	v_ɛ	1.0
v	v	1.0
t_ʊ	t_iː	1.0
t_ɑ	t_a	1.0
s	s	1.0
rʲ	r̝	1.0
r_ɪ	r̩	1.0
r_æ	r̝_ɛ	1.0
p	p	1.0
nʲ	ɲ	1.0
n	n	1.0
m_ɪ	m̩	1.0
m	m	1.0
lʲ	ɲ	1.0
l_ɪ	l̩	1.0
k	k	1.0
j	j	1.0
i_ˈ	ɪ	1.0
d_ʊ	d̥	1.0
a	a	1.0
l	l	0.947
z	z	0.937
t	t	0.904
d	d	0.839
ʦ	ʦ	0.821
b	b	0.798
ɔ_ˈ	uː	0.76
ɑ	a	0.737
ʒ	ʒ	0.672
ɔ̃	u	0.667
u	u	0.658
ɛ̃	j_ɛ	0.651
s_ʊ	s_ɛ	0.647
ʊ	iː	0.603
r_ʊ	r	0.578
ɛ̃_ˈ	a	0.571
æ	ɛ	0.504
i	-	0.459
ɛ̃_ˈ	ɛ	0.429
r_ʊ	r_iː	0.422
r	r	0.383
s_ʊ	s	0.353
ɛ̃	-	0.349
i	iː	0.348
u	-	0.342
ɔ̃	ou̯	0.333
ʒ	ʒ̊	0.328
r	r̝	0.31
æ	j_ɛ	0.308
r	r̝̊	0.307
ʊ	-	0.285
ɔ_ˈ	ɛ	0.24
b	b̥	0.202
i	ɪ	0.194
æ	ɛː	0.188
ɑ	aː	0.185
ʦ	-	0.179
d	ɟ	0.161
ʊ	ɛ	0.112
t	c	0.096
z	-	0.063
ɑ	-	0.054
l	d_l	0.053
