Mecklenburgisch-Vorpommersch	West Frisian	probability
ˈɛɪ̯	ˈiː	1.0
ˈɛ_l	l	1.0
ˈœ	-	1.0
ˈøː	ˈeː	1.0
ˈuː_æ	ˈoə̯	1.0
ˈeː	-	1.0
ˈaʊ̯_ɾ	ˈuə̯	1.0
ˈaɪ̯	-	1.0
ˈae̯_n	ˈiə̯_n	1.0
ɪ	ɪ	1.0
ɣ̊	-	1.0
ɣ	ˈɔ_ɣ	1.0
ɡ̊	-	1.0
w	v	1.0
v̥	f	1.0
tʰ	t	1.0
t_n	t_ə	1.0
t	t	1.0
pʰ	p	1.0
p	p	1.0
n_t	n_t	1.0
n_n	n_ə	1.0
kʰ	ʦ	1.0
j	ɡ	1.0
h	h	1.0
f	f	1.0
d̥	d̥	1.0
b	b	1.0
ae̯	j_ɪ	1.0
l	l	0.968
m	m	0.942
v	ʋ	0.902
z	s	0.886
r	r	0.879
k	k	0.853
s	s	0.786
ɡ	ɡ	0.689
ŋ	ŋ	0.669
n	n	0.656
ʃ	s_k	0.602
d	d	0.577
ˈɔ	-	0.576
ˈɪ	ˈɪ	0.566
ˈoː	ˈiə̯	0.562
x	χ	0.56
ˈʊ	ˈɔ	0.558
ɾ	-	0.547
ˈyː	j_ˈuə̯	0.542
æ	r	0.542
ˈa	ˈa	0.531
ˈœː	ˈoə̯	0.523
ˈɔʏ̯	ˈiə̯	0.501
ç	ɣ̥	0.483
ˈuː	-	0.48
ˈœː	-	0.477
ˈɛ	ˈɪ	0.46
ˈyː	-	0.458
ɾ	d	0.453
ˈɒː	-	0.446
ˈʏ	ˈɪ	0.441
x	-	0.44
ˈoː	ˈɪə̯	0.438
ˈɔ	ˈɔ	0.424
ˈɔʏ̯	-	0.404
ˈuː	ˈuː	0.404
ˈaʊ̯	ˈɪə̯	0.402
ˈɛː	-	0.399
ʃ	s	0.398
ˈaː	ˈɛ_r	0.383
ˈaʊ̯	ˈuə̯	0.379
ˈɛː	ˈaː	0.363
ˈaː	ˈaː	0.362
d	t	0.353
ˈae̯	ˈɪə̯	0.314
ˈiː	ˈi	0.291
ˈiː	j	0.281
ˈʊ	ˈu	0.265
ˈaː	ˈɛː	0.255
ˈɛː	ˈiː	0.237
æ	ə_r	0.227
ˈiː	ˈiː	0.226
s	ˈoə̯_s	0.214
n	ə	0.201
ŋ	n	0.2
ˈɪ	ˈi	0.196
ˈɛ	ˈɛi̯	0.196
ˈɛ	ˈɛ	0.196
ˈʏ	ˈɛː	0.194
ˈʏ	ˈɛ	0.194
ˈa	ˈɔː	0.178
ˈʊ	ˈuː	0.176
ɡ	ɣ_j	0.174
ç	χ_t	0.172
ç	ɣ_ə	0.172
ç	j	0.172
ˈʏ	ˈøə̯	0.171
ˈae̯	ˈiː	0.166
ˈɒː	ˈaː	0.162
ˈɒː	ˈoə̯	0.153
ˈa	ˈaː	0.151
ˈae̯	ˈeː	0.149
ˈɛ	ˈɔ	0.147
k	k_ə	0.147
ɡ	-	0.137
ˈiː	ˈiə̯	0.134
ŋ	z	0.131
ˈae̯	ˈɪ	0.13
ˈaʊ̯	ˈoː	0.126
r	-	0.121
ˈɒː	ˈɪə̯	0.119
ˈɒː	ˈa	0.119
ˈuː	ˈoː	0.116
z	ɕ	0.114
æ	-	0.101
ˈɪ	ˈiː	0.098
v	v	0.098
ˈɪ	ˈɛi̯	0.096
ˈɔʏ̯	ˈu̯o	0.095
ˈaʊ̯	-	0.093
ˈae̯	j_ˈɪ	0.082
ˈae̯	ˈiə̯	0.08
ˈae̯	ˈaː	0.08
æ	ˈɪ_r	0.077
d	ʦ	0.07
ˈiː	ˈɛ	0.067
n	n_ə	0.06
m	ə	0.058
ˈa	-	0.057
ˈa	ˈɪə̯	0.055
æ	ə	0.053
