Old West Norse	Mecklenburgisch-Vorpommersch	probability
θ	d	1.0
ˈɛː	-	1.0
ˈɔː	ˈaʊ̯	1.0
ˈɒu̯	ˈaʊ̯	1.0
ˈɑ_r	ˈaː	1.0
ˈøy̯	-	1.0
ˈuː_ɣ	ŋ	1.0
ˈuː	ˈuː	1.0
ˈeː	-	1.0
ˈa	-	1.0
ʦ	t	1.0
ʝː	ŋ	1.0
ɾ	æ	1.0
ɡː	-	1.0
ɟː	-	1.0
ɑː	ae̯	1.0
ð_ɑ	d_n	1.0
ð_r̥	d̥	1.0
ð_i	ɾ	1.0
ç	h	1.0
x	v	1.0
w_ˈɑ	ˈa	1.0
v_ɑ	b_m	1.0
v_r̥	v̥	1.0
v_n	m	1.0
u	-	1.0
tʰ	tʰ	1.0
s_k	ʃ	1.0
s_c	ʃ	1.0
r̥ː	æ	1.0
r_i	æ	1.0
pː	p	1.0
pʰ	pʰ	1.0
p	p	1.0
n̥	n	1.0
n_d	n	1.0
n	n	1.0
m	m	1.0
l̥	l	1.0
lː	l	1.0
l	l	1.0
kː	ŋ_k	1.0
kʰ	kʰ	1.0
k	k	1.0
j_ˈɔ	ˈɛ	1.0
j_ˈuː	ˈae̯	1.0
j_ɑ	n	1.0
h	h	1.0
f_r̥	v̥	1.0
f	f	1.0
e	ˈɪ	1.0
d_r̥	d̥	1.0
d	d̥	1.0
cː	k	1.0
cʰ	kʰ	1.0
c	k	1.0
b	b	1.0
a	n	1.0
t	t	0.924
ˈɛi̯	ˈae̯	0.874
ŋ	ŋ	0.866
ˈɔ	-	0.798
ˈi	ˈɪ	0.75
ˈɑu̯	ˈaʊ̯	0.746
ɑ	n	0.714
nː	n	0.701
ˈøː	ˈɔʏ̯	0.67
ɡ_r̥	æ	0.667
ˈiː	ˈiː	0.656
i	-	0.632
ɣ	ç	0.572
ð	d̥	0.568
tː	t	0.563
ˈɛ	ˈa	0.561
s	z	0.526
ˈoː	-	0.521
ɡ	ç	0.518
r̥	ç	0.514
ˈu	ˈʊ	0.511
ɡ	-	0.482
j	ˈae̯	0.469
ˈɑ	ˈa	0.467
r	æ	0.453
ˈɛ	ˈɛː	0.439
tː	x	0.437
r	r	0.433
ˈyː	ˈyː	0.393
ˈoː	ˈaʊ̯	0.376
i	æ	0.368
ð	ɾ	0.363
ˈo	ˈuː	0.362
ɟ	ɡ	0.359
ɟ	j	0.359
ˈe	-	0.355
ɡ_r̥	ɡ̊	0.333
ˈøː	-	0.33
ˈy	ˈʏ	0.322
ˈɑː	ˈɒː	0.32
v	m	0.32
ˈe	ˈɛ	0.316
j	-	0.313
ˈyː	ˈiː	0.304
ˈyː	-	0.304
nː	-	0.299
ɟ	-	0.281
ˈɑ	-	0.275
r̥	æ	0.257
ˈɑu̯	ˈoː	0.254
ɣ	ɣ̊	0.253
v	w	0.253
s	ʃ	0.253
ˈi	-	0.25
r̥	d̥	0.23
ˈy	ˈɪ	0.227
ˈy	-	0.227
ˈy	ˈœː	0.224
s	s	0.221
ˈɑː	ˈaʊ̯	0.22
j	ˈiː	0.218
ˈɑː	ˈoː	0.211
ˈɔ	ˈa	0.202
ɑ	-	0.183
v	v	0.181
ˈiː	-	0.177
ˈu	ˈɔ	0.175
ɣ	ɡ	0.175
ˈe	ˈɪ	0.164
ˈe	ˈɛː	0.164
ˈɑː	ˈa	0.15
ˈo	ˈɒː	0.149
ˈo	ˈœ	0.144
v	v̥	0.143
ˈɑ	ˈɒː	0.137
ˈo	ˈœː	0.137
ŋ	-	0.134
ˈo	-	0.13
ˈɛi̯	ˈɪ	0.126
ˈiː	n	0.121
ˈu	ˈuː	0.118
r	-	0.114
ˈu	ˈʏ	0.11
v	-	0.104
ˈoː	ˈɔ	0.103
ɑ	ɪ	0.103
ˈɑː	ˈeː	0.099
ˈu	-	0.085
ˈo	ˈøː	0.078
t	-	0.076
ð	t	0.069
