Lower Sorbian	Bulgarian	probability
b	b	1.0
d	d	1.0
i	ˈi	1.0
j	-	1.0
m	m	1.0
p	p	1.0
pʲ	p	1.0
r	r	1.0
rʲ	r	1.0
v	v	1.0
w	ɫ	1.0
x	x	1.0
z	z	1.0
ɡ	ɡ	1.0
ɲ	n	1.0
ʐ	ʒ	1.0
ʑ	d	1.0
ʨ	t	1.0
ˈi	ˈi	1.0
e	ɛ	0.541
l	ɫ	0.221
n	ɛ_n	0.131
s	s	0.981
t	t	0.921
ʂ	ʃ	0.091
ʦ	ʧ	0.471
ˈɔ	ˈɛ	0.061
mʲ	m	0.672
vʲ	vʲ	0.162
ɕ	-	0.362
ˈa	ˈa	0.432
ˈɔ	ˈɤ	0.082
a	ɐ	0.383
ˈu	ˈɤ	0.453
ˈɛ	ˈɛ	0.123
ˈɪ	ˈa	0.553
ɨ	-	0.934
ˈa	ˈɤ	0.154
ˈu	ɐ	0.174
ˈɨ	i	0.474
ɔ	ˈɔ	0.35
ɛ	ˈɛ	0.175
ɛ	ɛ	0.825
ˈa	ˈɛ	0.275
ˈe	ɛ	0.345
ˈɔ	ˈɔ	0.305
ɨ	ɛ	0.066
ˈɨ	ˈi	0.526
a	ˈa	0.617
ɔ	ɛ	0.07
ɕ	t	0.607
ˈɔ	ˈa	0.287
l	l	0.388
mʲ	mʲ	0.328
vʲ	v	0.838
ɔ	o	0.58
ˈe	-	0.078
ˈe	ˈɛ	0.408
ˈɔ	ɛ	0.128
ˈɔ	o	0.138
ˈɛ	ˈɔ	0.488
ˈɪ	ˈɛ	0.098
e	ˈɛ	0.459
k	k	0.959
l	lʲ	0.39
n	n	0.869
t	d	0.079
ʂ	r	0.909
ʦ	ʦ	0.529
ˈa	ɛ	0.139
ˈe	ˈɤ	0.169
ˈu	ˈu	0.329
ˈɛ	o	0.389
ˈɪ	ɛ	0.349
