German	Zeelandic	probability
ˈɛː	ˈɛː	1.0
ˈiː	ˈiː	1.0
ˈa_l	ˈɑu̯	1.0
ʦ	t	1.0
ɪ	ŋ	1.0
ɡ̊_#>	x_#>	1.0
ŋ	ŋ	1.0
z_ə	z̥	1.0
z	z	1.0
x_t	x_t	1.0
v	ʋ	1.0
tʰ	d	1.0
s_n	t_ə	1.0
p͡f	p	1.0
n_#>	#>	1.0
m	m	1.0
kʰ	k	1.0
k_ə	x_ə	1.0
k_n	k_ə	1.0
j	j	1.0
h	-	1.0
f_n	p_ə	1.0
d̥	d̥	1.0
d	d	1.0
b̥	v̥	1.0
<#_ˈa	<#_ˈɛː	1.0
<#_ʁ	<#_ɾ	1.0
<#_n	<#_n	1.0
ɡ	x	0.9
l	ɫ	0.86
ʁ	ɾ	0.842
n	n	0.797
ə	ə	0.786
f	v	0.742
ˈaː	ˈɛː	0.733
b	b	0.727
ˈa	ˈɑ	0.72
ˈɛ	ˈæ	0.667
x	k	0.667
#>	ɡ̊_#>	0.667
ˈaʊ̯	ˈyː	0.647
ˈɪ	ˈɪ	0.632
ˈoː	ˈʊə̯	0.615
ˈɔʏ̯	ˈiː	0.6
ˈʊ	ˈɔ	0.583
ʃ	s	0.583
ç	k	0.583
ˈɔ	ˈɔ	0.571
ˈuː	ˈuː	0.571
ɐ	ɾ	0.521
ˈʏ	ˈɪ	0.5
ˈʏ	ˈɔ	0.5
ˈyː	ˈuː	0.5
ˈyː	ˈiː	0.5
k	k_ə	0.5
k	k	0.5
s	s	0.476
t	d̥	0.471
ˈuː	ˈu	0.429
s	t	0.429
t	t	0.412
ˈɔʏ̯	ˈyː	0.4
ˈaɪ̯	ˈi	0.4
ˈaʊ̯	ˈʊə̯	0.353
ˈaɪ̯	ˈɪə̯	0.35
ˈɛ	ˈeː	0.333
x	x	0.333
#>	w_#>	0.333
ɐ	ə_ɾ	0.312
ˈeː	ˈɪə̯	0.3
ˈeː	ˈɛː	0.3
ˈɔ	ˈʊə̯	0.286
ˈaː	ˈɑ	0.267
ˈɪ	ˈi	0.263
ˈʊ	ˈu	0.25
ˈaɪ̯	ˈæi̯	0.25
ç	x	0.25
ˈoː	ˈøː	0.231
ə	-	0.214
ʃ	z	0.208
ʃ	s_x	0.208
n	ə	0.203
ˈeː	ˈiː	0.2
ˈeː	ˈeː	0.2
b	v	0.182
ˈʊ	ˈʏ	0.167
ç	ɡ̊	0.167
f	p	0.161
ʁ	-	0.158
ˈoː	ˈɛː	0.154
ˈɔ	ˈʏ	0.143
ɐ	ɾ_ə	0.125
ˈa	ˈɛː	0.12
ˈɪ	ˈæ	0.105
ɡ	x_ə	0.1
f	f	0.097
s	t_ə	0.095
l	ɫ_ə	0.093
b	-	0.091
ˈa	ˈɒː	0.08
ˈa	ˈæ	0.08
t	d	0.059
t	-	0.059
